Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114,HYEB_rep111,HYEB_rep112,HYEB_rep113,HYEB_rep114
Q06677,SWA2_YEAST,SWA2,Auxilin-like clathrin uncoating factor SWA2,1,1,,7566.67,,,,,,
Q06679,UTP4_YEAST,UTP4,U3 small nucleolar RNA-associated protein 4,2,2,2087.28,,1330.87,2694.68,,,,
Q06682,UBX5_YEAST,UBX5,UBX domain-containing protein 5,2,2,,,,,,,,
Q06685,VIP1_YEAST,VIP1,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase,4,4,17319.8,20610,13228,22339.5,,17798.1,10325.3,7277.02
Q06698,YL419_YEAST,YLR419W,Putative ATP-dependent RNA helicase YLR419W,1,1,806.704,,1291.78,1174.13,,,,
Q06704,IMH1_YEAST,IMH1,Golgin IMH1,3,3,11406.8,8832.01,14195.7,9649.66,,5630.28,,5658.17
Q06705,CSR1_YEAST,CSR1,Phosphatidylinositol transfer protein CSR1,4,4,,5932.96,5510.67,8336.82,,,,
Q06706,ELP1_YEAST,IKI3,Elongator complex protein 1,3,3,10723.8,16012.2,13332.9,12758.2,11976.8,,8949.8,10738.2
Q06708,VAC14_YEAST,VAC14,Vacuole morphology and inheritance protein 14,1,1,16477.9,,14553.8,,7450.62,,,
Q06709,REH1_YEAST,REH1,Cytoplasmic 60S subunit biogenesis factor REH1,1,1,885.312,2383.71,1823.83,,639.211,,,
Q06787,FMR1_HUMAN,FMR1,Fragile X messenger ribonucleoprotein 1,3,2,93649.2,208558,125000,116823,144292,163489,95652.8,178271
Q06815,MRL1_YEAST,MRL1,Mannose 6-phosphate receptor-like protein 1,1,1,,12966,,,,,,
Q06830,PRDX1_HUMAN,PRDX1,Peroxiredoxin-1,6,5,6.33E+06,8.10E+06,7.05E+06,7.78E+06,7.28E+06,8.76E+06,6.86E+06,9.38E+06
Q06833,NVJ2_YEAST,NVJ2,Nucleus-vacuole junction protein 2,1,1,,,,900.502,,,,410.738
Q07020,RL18_HUMAN,RPL18,Large ribosomal subunit protein eL18,3,3,3.62E+06,4.23E+06,3.60E+06,4.09E+06,3.49E+06,3.99E+06,3.55E+06,4.08E+06
Q07021,C1QBP_HUMAN,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",1,1,768641,766197,633943,747758,1.07E+06,1.14E+06,933622,1.06E+06
Q07065,CKAP4_HUMAN,CKAP4,Cytoskeleton-associated protein 4,17,17,298286,354868,325088,370724,319679,372376,320293,377960
Q07157,ZO1_HUMAN,TJP1,Tight junction protein ZO-1,13,13,21645.8,28361.9,25648.7,28507.1,28041.9,22669,32018,32252.5
Q07362,PBP4_YEAST,PBP4,Protein PBP4,2,2,6021.5,,,10272.9,,,,
Q07418,PEX19_YEAST,PEX19,Peroxisomal membrane protein import receptor PEX19,2,2,8752.8,,,,,,,8112.32
Q07451,YET3_YEAST,YET3,Endoplasmic reticulum transmembrane protein 3,5,5,146339,148823,131597,169374,70529.1,58238.2,66522.4,52753.4
Q07457,BRE1_YEAST,BRE1,E3 ubiquitin-protein ligase BRE1,2,2,,,7781.46,1555.71,1313.24,,,1029.77
Q07478,SUB2_YEAST,SUB2,ATP-dependent RNA helicase SUB2,5,5,147821,171821,156777,172621,61588.2,73177.9,72538.8,77070.3
Q07505,DLHH_YEAST,YDL086W,Putative carboxymethylenebutenolidase,1,1,27261.2,21454.1,32483.7,23021.7,,15814.5,12017.7,10775.9
Q07527,TRM3_YEAST,TRM3,tRNA (guanosine(18)-2'-O)-methyltransferase,2,2,,28691.8,,,,,,
Q07540,FRDA_YEAST,YFH1,"Frataxin homolog, mitochondrial",1,1,21890.9,18630.3,,16249.4,,,,
Q07551,KAR_YEAST,YDL124W,NADPH-dependent alpha-keto amide reductase,7,7,412118,444960,386852,419446,197001,226529,190390,203136
Q07589,YD144_YEAST,YDL144C,Uncharacterized protein YDL144C,1,1,,,2377.45,,,,,
Q07617,SPAG1_HUMAN,SPAG1,Sperm-associated antigen 1,2,2,,,,,,,,
Q07648,DTD_YEAST,DTD1,D-aminoacyl-tRNA deacylase,1,1,34026.3,47019.6,39605.1,42051.6,,,,
Q07653,HBT1_YEAST,HBT1,Protein HBT1,4,4,4679.51,2949.98,7875.77,6020.13,,4863.29,,3296.96
Q07657,SHS1_YEAST,SHS1,Seventh homolog of septin 1,4,4,10625,11932.4,13549.8,19029.3,2327.55,,,
Q07666,KHDR1_HUMAN,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",3,2,391926,519893,419281,487558,396869,557098,429906,455394
Q07688,YPD1_YEAST,YPD1,Phosphorelay intermediate protein YPD1,2,2,67671.9,69515.5,,,,46619.3,,
Q07716,AIM6_YEAST,AIM6,Altered inheritance of mitochondria protein 6,2,2,,8049.89,,12237.9,3770.32,,,
Q07807,PUF3_YEAST,PUF3,mRNA-binding protein PUF3,3,3,3922.68,9608.19,2649.76,6412.73,2021.48,3885.71,,4162.6
Q07812,BAX_HUMAN,BAX,Apoptosis regulator BAX,3,3,306876,349000,346051,378322,354108,384604,350144,377090
Q07825,FRA1_YEAST,FRA1,Putative Xaa-Pro aminopeptidase FRA1,2,2,3249.96,4846.88,2090.36,4549.18,2119.38,,2694.12,2926.52
Q07844,RIX7_YEAST,RIX7,Ribosome biogenesis ATPase RIX7,3,3,5132,,9849.73,,,,3604.32,
Q07864,DPOE1_HUMAN,POLE,DNA polymerase epsilon catalytic subunit A,5,5,3030.06,4480.36,,5366.25,5261.63,4504.82,,3709.19
Q07866,KLC1_HUMAN,KLC1,Kinesin light chain 1,8,8,56396.8,53033.8,54890.2,61372.2,55424.5,63242.2,56534.9,60203
Q07878,VPS13_YEAST,VPS13,Intermembrane lipid transfer protein VPS13,8,8,7308.08,14409.9,26961.4,15399.1,,15916.6,,7449.57
Q07889,SOS1_HUMAN,SOS1,Son of sevenless homolog 1,1,1,,1243.74,,,,,,
Q07896,NOC3_YEAST,NOC3,Nucleolar complex-associated protein 3,1,1,,,,,,,,
Q07897,CMS1_YEAST,CMS1,Protein CMS1,1,1,,,1071.38,,,,,
Q07923,LOT6_YEAST,LOT6,NAD(P)H-dependent FMN reductase LOT6,1,1,,,,,,1167.13,,
Q07938,MTAP_YEAST,MEU1,S-methyl-5'-thioadenosine phosphorylase,1,1,,10923.3,7902.36,,4170,,,
Q07955,SRSF1_HUMAN,SRSF1,Serine/arginine-rich splicing factor 1,5,5,1.46E+06,1.54E+06,1.47E+06,1.57E+06,1.41E+06,1.64E+06,1.45E+06,1.65E+06
Q07960,RHG01_HUMAN,ARHGAP1,Rho GTPase-activating protein 1,5,5,286176,366888,286676,338444,278598,321926,271184,392560
Q08001,LAM6_YEAST,LAM6,Membrane-anchored lipid-binding protein LAM6,3,3,,,2204.75,,,,,
Q08032,CDC45_YEAST,CDC45,Cell division control protein 45,1,1,,,,5471.02,,,,
Q08096,RCL1_YEAST,RCL1,RNA 3'-terminal phosphate cyclase-like protein,1,1,,2470.77,,,,,,
Q08117,TLE5_HUMAN,TLE5,TLE family member 5,1,1,,19163,,,,,16391.2,15165.4
Q08144,TLG2_YEAST,TLG2,t-SNARE affecting a late Golgi compartment protein 2,2,2,2362.07,2501.94,,,,,,
Q08162,RRP44_YEAST,DIS3,Exosome complex exonuclease DIS3,1,1,,,25500,,,,19873.9,
Q08179,MDM38_YEAST,MDM38,Mitochondrial distribution and morphology protein 38,3,3,,42514,28932.8,36911.5,,18027,,
Q08193,GAS5_YEAST,GAS5,"1,3-beta-glucanosyltransferase GAS5",2,2,51674.4,69660.3,59443.5,65608.4,,33926.6,21630,24306.5
Q08208,NOP12_YEAST,NOP12,Nucleolar protein 12,3,3,18720,13648.7,19030.2,24627.2,,9235.91,8312.06,8918.13
Q08209,PP2BA_HUMAN,PPP3CA,Protein phosphatase 3 catalytic subunit alpha,5,3,166205,230612,155664,146080,190285,219535,171301,202226
Q08211,DHX9_HUMAN,DHX9,ATP-dependent RNA helicase A,15,15,943913,1.13E+06,957863,1.11E+06,1.03E+06,1.19E+06,1.06E+06,1.14E+06
Q08220,GSHB_YEAST,GSH2,Glutathione synthetase GSH2,6,6,58158.6,63651.6,68122.6,56988.7,24042.6,29520,26063.6,40901.6
Q08225,DPP3_YEAST,YOL057W,Probable dipeptidyl peptidase 3,2,2,18499.8,12158.7,16260.2,13154,,,,
Q08229,NBA1_YEAST,NBA1,Protein NBA1,2,2,,,4839.85,6046.33,,4237.32,,
Q08245,ZEO1_YEAST,ZEO1,Protein ZEO1,5,5,1.41E+06,1.53E+06,1.44E+06,1.54E+06,725413,733111,722832,814573
Q08257,QOR_HUMAN,CRYZ,Quinone oxidoreductase,6,6,102050,100177,114825,128736,88925.1,116419,98395.5,120016
Q08378,GOGA3_HUMAN,GOLGA3,Golgin subfamily A member 3,15,15,17565.3,23889.3,26795.1,30050.8,24993,25470.2,23391.7,26586.4
Q08379,GOGA2_HUMAN,GOLGA2,Golgin subfamily A member 2,9,9,31226.5,28415.7,25854.3,32346.8,31233.2,37657.7,37133.4,36511.2
Q08380,LG3BP_HUMAN,LGALS3BP,Galectin-3-binding protein,7,7,223496,247513,215228,250118,180756,231599,242037,284140
Q08412,CUE5_YEAST,CUE5,Ubiquitin-binding protein CUE5,6,6,47240.4,50516.8,49455.8,47495.7,30153.9,29445.6,27608.9,15951.5
Q08421,ETT1_YEAST,ETT1,Enhancer of translation termination 1,2,2,59046.5,72953.1,82758,98702.5,,35795.5,,27704.2
Q08426,ECHP_HUMAN,EHHADH,Peroxisomal bifunctional enzyme,4,4,66025,31435.4,47388.3,95743.2,19596.7,82407.1,16717.6,56711.7
Q08446,SGT1_YEAST,SGT1,Protein SGT1,2,2,,8572.63,9042.13,9308.6,4010.5,7672.19,,
Q08499,PDE4D_HUMAN,PDE4D,"3',5'-cyclic-AMP phosphodiesterase 4D",3,1,17854.6,27616.5,20709.1,19311.4,27232.6,21226.3,19872.5,13290.5
Q08548,ALE1_YEAST,ALE1,Lysophospholipid acyltransferase,1,1,7177.21,6911.89,,13387.2,,7546.9,,
Q08581,SLK19_YEAST,SLK19,Kinetochore protein SLK19,1,1,,,,,,,,
Q08601,MCA1_YEAST,MCA1,Metacaspase-1,2,2,3777.32,1915.25,2117.31,,,1224.32,,
Q08623,HDHD1_HUMAN,PUDP,Pseudouridine-5'-phosphatase,3,3,22337.6,26847.9,16736.4,26097.1,28145.5,35026.5,25965,34695
Q08641,AB140_YEAST,ABP140,tRNA(Thr) (cytosine(32)-N(3))-methyltransferase,2,2,15228.7,14900.3,20394.2,18247.3,10306,,,
Q08645,FOLE_YEAST,MET7,Folylpolyglutamate synthase,2,2,63463.7,63386,57103.8,56868,26410.9,23699.2,,15114.3
Q08647,PUS7_YEAST,PUS7,Multisubstrate pseudouridine synthase 7,1,1,17835.7,17804,19097.8,21817.6,,,,
Q08686,THTR_YEAST,TUM1,Thiosulfate sulfurtransferase TUM1,6,6,23723.8,32697.4,36032.2,43513.5,20927.6,14158.7,20008.9,15632.6
Q08687,TMA16_YEAST,TMA16,Translation machinery-associated protein 16,1,1,,10871.5,,13361.4,,,,5066.34
Q08689,NAT5_YEAST,NAT5,N-alpha-acetyltransferase NAT5,1,1,,,,,,50030.2,,
Q08723,RPN8_YEAST,RPN8,26S proteasome regulatory subunit RPN8,5,5,145462,138922,126796,157215,57085,55072.1,55957.9,58028.6
Q08732,HRK1_YEAST,HRK1,Serine/threonine-protein kinase HRK1,3,3,,7161.69,4865.59,,,,3715.42,
Q08742,RDL2_YEAST,RDL2,"Thiosulfate sulfurtransferase RDL2, mitochondrial",1,1,33222.1,32744.2,51424.1,36896.3,,,,12659.6
Q08752,PPID_HUMAN,PPID,Peptidyl-prolyl cis-trans isomerase D,3,3,48024,57731.1,38304.6,37662.8,41562.9,60935.9,39402.3,72096.8
Q08816,YO352_YEAST,YOR352W,Uncharacterized protein YOR352W,2,2,,,4833.72,,,,,
Q08826,SNX3_YEAST,SNX3,Sorting nexin-3,1,1,,20362.7,12576.1,12084,,,,
Q08873,SCP1_YEAST,SCP1,Transgelin,3,3,2603.15,8874.5,5211.4,10118.9,,,,
Q08909,YO385_YEAST,YOR385W,Uncharacterized protein YOR385W,2,2,,,,1677.73,916.976,,,
Q08920,NCBP2_YEAST,CBC2,Nuclear cap-binding protein subunit 2,2,2,31199.1,33838.9,27172.8,38345.9,,17744.3,15746.3,30699.1
Q08924,WDR6_YEAST,RTT10,tRNA (34-2'-O)-methyltransferase regulator RTT10,1,1,,6448.12,10733.1,4980.56,,,,
Q08925,MRN1_YEAST,MRN1,RNA-binding protein MRN1,2,2,7441.26,9160.23,13909.2,9953.71,,,,6394.52
Q08945,SSRP1_HUMAN,SSRP1,FACT complex subunit SSRP1,7,7,777956,756682,761928,830319,778253,843435,777767,878030
Q08951,AP3D_YEAST,APL5,AP-3 complex subunit delta,1,1,,,,,,,,
Q08952,OXR1_YEAST,OXR1,Oxidation resistance protein 1,2,2,,1792.73,2207.44,,,,,
Q08954,YP199_YEAST,YPL199C,Smr domain-containing protein YPL199C,1,1,,,2056.02,797.186,,,,1206.46
Q08962,NIP7_YEAST,NIP7,60S ribosome subunit biogenesis protein NIP7,1,1,41155,49652.8,,,,,,
Q08965,BMS1_YEAST,BMS1,Ribosome biogenesis protein BMS1,2,2,,,19106.7,14378.8,,,,
Q08968,SELO_YEAST,FMP40,"Protein adenylyltransferase SelO, mitochondrial",2,2,,,,6467.74,,,,
Q08971,YP225_YEAST,YPL225W,Protein PBDC1 homolog,2,2,,223973,181007,38747.8,,23870.7,60245,143983
Q08972,NEW1_YEAST,NEW1,[NU+] prion formation protein 1,12,12,69524.1,90946.1,84143.8,101780,44164,36430.2,42390.5,43141.9
Q08977,CUB1_YEAST,CUB1,Cu(2+) suppressing and bleomycin sensitive protein 1,5,5,45324.1,57143.5,34284.7,30959.7,24315.4,34447.6,23152.7,31063.2
Q08985,SAM4_YEAST,SAM4,Homocysteine S-methyltransferase 2,2,2,3569.41,4598.11,2896.81,,,,,1987.87
Q08AD1,CAMP2_HUMAN,CAMSAP2,Calmodulin-regulated spectrin-associated protein 2,3,3,4695.41,8691.25,7906.38,9039.68,4397.48,14011.1,4884.82,4235.18
Q08AF3,SLFN5_HUMAN,SLFN5,Schlafen family member 5,4,4,40955.1,56476.9,36528.8,37720.7,46872.2,46589.8,36291.6,44070.6
Q08AM6,VAC14_HUMAN,VAC14,Protein VAC14 homolog,3,3,6850.62,8004.21,12695,8595.81,11919.7,9109.59,10936.2,9959.29
Q08J23,NSUN2_HUMAN,NSUN2,RNA cytosine C(5)-methyltransferase NSUN2,11,10,707748,823616,704875,784039,747746,824211,766729,850009
Q09028,RBBP4_HUMAN,RBBP4,Histone-binding protein RBBP4,4,4,266583,289442,299805,286894,241987,271101,261174,308160
Q09161,NCBP1_HUMAN,NCBP1,Nuclear cap-binding protein subunit 1,8,8,273719,309289,292037,326790,271043,321566,295146,329384
Q09472,EP300_HUMAN,EP300,Histone acetyltransferase p300,1,1,,,,,,,,
Q09666,AHNK_HUMAN,AHNAK,Neuroblast differentiation-associated protein AHNAK,93,93,2.20E+06,2.51E+06,2.28E+06,2.50E+06,2.34E+06,2.67E+06,2.40E+06,2.70E+06
Q0JRZ9,FCHO2_HUMAN,FCHO2,F-BAR domain only protein 2,3,3,25661,30865.6,16644.9,,24469.2,31165.4,,20394.8
Q0PNE2,ELP6_HUMAN,ELP6,Elongator complex protein 6,4,4,53601.6,72078.8,48439.6,73648.5,51911.9,54298.6,43044.8,38465.1
Q0VDF9,HSP7E_HUMAN,HSPA14,Heat shock 70 kDa protein 14,2,2,67747.4,59726,51795.8,76257.9,69499.6,56553.9,65788.2,91793
Q0VDG4,SCRN3_HUMAN,SCRN3,Secernin-3,2,2,,7321.93,,6499.7,5461.6,,,
Q10469,MGAT2_HUMAN,MGAT2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",2,2,5789.75,3439.86,4771.5,3829.42,2897.32,,,3059.44
Q10471,GALT2_HUMAN,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,9,8,280050,400485,335516,397457,416586,447667,383334,413558
Q10472,GALT1_HUMAN,GALNT1,Polypeptide N-acetylgalactosaminyltransferase 1,7,5,13384.6,29581.3,22567.8,24112.5,25470.1,30945.9,21056.8,32380.4
Q10567,AP1B1_HUMAN,AP1B1,AP-1 complex subunit beta-1,4,4,117742,136176,128021,124954,120308,153217,125543,142762
Q10570,CPSF1_HUMAN,CPSF1,Cleavage and polyadenylation specificity factor subunit 1,4,4,66734.8,70566.4,84519,83494.1,101310,123760,105857,125110
Q10589,BST2_HUMAN,BST2,Bone marrow stromal antigen 2,2,2,54972,86254,63793.5,83407.9,63370.8,103545,59633.5,77241.3
Q10713,MPPA_HUMAN,PMPCA,Mitochondrial-processing peptidase subunit alpha,5,5,128593,157119,133653,149911,142622,175649,144523,167017
Q10740,LKHA4_YEAST,LAP2,Leucine aminopeptidase 2,6,6,88907.1,99108.5,111329,60087.9,31698.7,41207.4,,57006.1
Q11206,SIA4C_HUMAN,ST3GAL4,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4",2,2,,398.194,,472.681,,,942.664,
Q12008,PMG2_YEAST,GPM2,Phosphoglycerate mutase 2,2,2,3919.01,3905.49,2911.4,,,2946.64,,
Q12009,TRMB_YEAST,TRM8,tRNA (guanine-N(7)-)-methyltransferase,2,2,4451.56,5550.53,4782.1,4995.16,,,,
Q12012,YO289_YEAST,YOR289W,Uncharacterized protein YOR289W,4,4,21836.5,29548.6,21250.3,17809.2,10411.4,13877.2,10708.6,
Q12018,CDC53_YEAST,CDC53,Cell division control protein 53,2,2,30554.8,18710.8,,24099,,,,
Q12019,MDN1_YEAST,MDN1,Midasin,4,4,3143.75,1143.98,5516.56,2535.08,,,,3013.18
Q12024,YTM1_YEAST,YTM1,Ribosome biogenesis protein YTM1,1,1,27939,41220,41322,47892.2,12666.1,14380.2,20923.6,
Q12025,EMC10_YEAST,EMC10,Endoplasmic reticulum membrane protein complex subunit 10,1,1,12030.2,,11715.6,,,,10108.5,
Q12028,AP1G1_YEAST,APL4,AP-1 complex subunit gamma-1,3,3,6489.59,5211.18,8832.84,8708.66,3024.43,3960.67,,4334.76
Q12032,AIM41_YEAST,AIM41,"Altered inheritance of mitochondria protein 41, mitochondrial",2,2,153504,205276,151316,154336,,98198,59805.3,79748.9
Q12040,YO283_YEAST,YOR283W,Broad-specificity phosphatase YOR283W,2,2,2115.34,1628.01,2946.72,2087.22,1172.53,1717.22,,806.513
Q12044,RCN2_YEAST,RCN2,Regulator of calcineurin 2,5,5,26440.9,31920.4,37817,34285.9,12243.9,16734,14468.2,22231.5
Q12055,KAD6_YEAST,FAP7,Adenylate kinase isoenzyme 6 homolog FAP7,2,2,,3790.39,,,,,,
Q12068,GRE2_YEAST,GRE2,NADPH-dependent methylglyoxal reductase GRE2,4,4,52869.4,45351.3,45124.6,62356.8,26837.2,25051.8,18368,30561.2
Q12074,SPEE_YEAST,SPE3,Spermidine synthase SPE3,2,2,631416,683612,643140,647617,331004,372786,313911,335366
Q12078,SMF3_YEAST,SMF3,Iron transporter SMF3,1,1,,,2265.37,,,4127.62,,
Q12080,NOP53_YEAST,NOP53,Ribosome biogenesis protein NOP53,1,1,12482.1,18041.6,13384.2,9278.65,,,,
Q12091,DAP1_YEAST,DAP1,Damage response protein 1,1,1,,2046.55,,1458.44,,,,
Q12096,GNT1_YEAST,GNT1,Glucose N-acetyltransferase 1,1,1,1778.2,,,,,,,
Q12109,SYWC_YEAST,WRS1,"Tryptophan--tRNA ligase, cytoplasmic",9,9,275630,392981,295319,372017,153991,161970,179464,146884
Q12114,CHS5_YEAST,CHS5,Chitin biosynthesis protein CHS5,6,6,34454.1,27583.7,40143.1,30982.7,14675.3,23169.8,12106.7,16015.8
Q12118,SGT2_YEAST,SGT2,Small glutamine-rich tetratricopeptide repeat-containing protein 2,5,5,577021,640484,552215,632215,268979,330310,311412,327124
Q12122,HOSM_YEAST,LYS21,"Homocitrate synthase, mitochondrial",10,3,224311,262705,244306,263036,138330,141042,141659,146816
Q12123,DCS2_YEAST,DCS2,Inactive diphosphatase DCS2,3,3,79562.2,126330,111908,68225,52779.3,67617.2,38825.8,66675.4
Q12125,GET4_YEAST,GET4,Golgi to ER traffic protein 4,2,2,108219,316707,258285,253869,,,235717,
Q12133,SPC3_YEAST,SPC3,Signal peptidase complex subunit 3,1,1,36439.6,46194.4,44100,44900.7,23670.2,20559.4,24326.3,
Q12136,SAS10_YEAST,SAS10,Something about silencing protein 10,2,2,15847.5,,,11561.6,,,,
Q12154,GET3_YEAST,GET3,ATPase GET3,4,4,310754,364960,331671,371367,164224,188729,161061,187098
Q12159,YRA1_YEAST,YRA1,RNA annealing protein YRA1,4,4,486703,503313,525176,508488,226561,270228,259212,288038
Q12164,POM33_YEAST,POM33,Pore membrane protein of 33 kDa,2,2,2068.19,2834.54,1561.67,1742.96,,1042.76,,
Q12168,ENG2_YEAST,ACF2,"Glucan endo-1,3-beta-D-glucosidase 2",3,3,13640.4,,,49829.1,,,52821.6,
Q12176,MAK21_YEAST,MAK21,Ribosome biogenesis protein MAK21,4,4,10005.7,12538.5,7360.72,5486.7,,,,8927.24
Q12178,FCY1_YEAST,FCY1,Cytosine deaminase,1,1,93376.5,126954,110966,152456,67419.4,83883.1,52171,72550.1
Q12189,RPIA_YEAST,RKI1,Ribose-5-phosphate isomerase,2,2,,6895.26,4679.52,,,,4886.54,4455.43
Q12191,BUG1_YEAST,BUG1,Binder of USO1 and GRH1 protein 1,1,1,,2512.2,4799.5,4580.44,1584.33,,,
Q12200,NPC1_YEAST,NCR1,NPC intracellular sterol transporter 1-related protein 1,2,2,4409.49,2159.48,3407.12,2588.19,2314.51,,1775.7,
Q12207,NCE2_YEAST,NCE102,Non-classical export protein 2,2,2,33494.7,42938.5,35657.5,52827.9,,,,18226.6
Q12211,PUS1_YEAST,PUS1,tRNA pseudouridine synthase 1,2,2,13007.2,,9814.86,7691.71,3489.99,,,
Q12220,UTP12_YEAST,DIP2,U3 small nucleolar RNA-associated protein 12,1,1,10972.9,,,,,,,
Q12230,LSP1_YEAST,LSP1,Sphingolipid long chain base-responsive protein LSP1,6,6,724934,823596,766358,741960,399723,433075,421180,396213
Q12242,RUP1_YEAST,RUP1,UBA domain-containing protein RUP1,1,1,4016.69,4583.95,,4844.66,,,,
Q12245,POC4_YEAST,POC4,Proteasome chaperone 4,1,1,7333.3,,,,,,,
Q12246,LCB4_YEAST,LCB4,Sphingoid long chain base kinase 4,1,1,8208.88,7509.65,6177.61,3629.5,,,,6538.57
Q12250,RPN5_YEAST,RPN5,26S proteasome regulatory subunit RPN5,4,4,44200.1,54211.1,48231.3,45960.3,24361.6,20073.9,22007.2,15180.8
Q12256,TPO4_YEAST,TPO4,Polyamine transporter 4,2,2,,,1361.29,,11636.9,,,1102.03
Q12265,KPR5_YEAST,PRS5,Ribose-phosphate pyrophosphokinase 5,4,4,30445.7,38033,38699.3,31216.8,12358.5,15734.1,16667.6,25201.9
Q12271,INP53_YEAST,INP53,Polyphosphatidylinositol phosphatase INP53,5,5,20697.8,10768.6,,9080.93,10322.3,11745.8,,
Q12276,HER1_YEAST,HER1,HMG2-induced ER-remodeling protein 1,2,1,,38041.1,69340.1,,,,,29732.3
Q12277,RRP42_YEAST,RRP42,Exosome complex component RRP42,1,1,,2713.95,2587.95,,,2830.33,,
Q12284,ERV2_YEAST,ERV2,FAD-linked sulfhydryl oxidase ERV2,1,1,5960.81,,,12325.4,,,,4256.31
Q12285,MDY2_YEAST,MDY2,Ubiquitin-like protein MDY2,1,1,25469.9,43501,34552.8,,,,,14803
Q12288,YL126_YEAST,YLR126C,Putative glutamine amidotransferase YLR126C,2,2,,4142.42,,,,,5484.77,
Q12292,ATG34_YEAST,ATG34,Autophagy-related protein 34,1,1,,,,,,,,
Q12296,MAM3_YEAST,MAM3,Protein MAM3,1,1,,,,2206.1,1208.75,,,
Q12305,RDL1_YEAST,RDL1,Thiosulfate:glutathione sulfurtransferase,1,1,14928.2,27279.3,16620.5,24602.7,10869.8,8867.26,9831.29,17622.8
Q12306,SMT3_YEAST,SMT3,Ubiquitin-like protein SMT3,1,1,700558,753222,715890,717434,349185,426979,357532,403287
Q12314,SFM1_YEAST,SFM1,Protein arginine N-methyltransferase SFM1,1,1,40905.2,31501.3,31431.8,39921.3,12374.4,12725.5,16024.1,18334.7
Q12324,YVC1_YEAST,YVC1,Calcium channel YVC1,1,1,,5486.73,,,,,,
Q12329,HSP42_YEAST,HSP42,Heat shock protein 42,1,1,50457.1,97582.2,79192.5,86940.3,51083.4,59880.9,39113.3,27526.8
Q12331,YFAS1_YEAST,YDR262W,FAS1 domain-containing protein YDR262W,1,1,,,29600.8,,,,,
Q12335,PST2_YEAST,PST2,Protoplast secreted protein 2,1,1,56914.2,82419.5,55843.3,79208.7,48345.4,48846.9,37159.1,59047.7
Q12341,HAT1_YEAST,HAT1,Histone acetyltransferase type B catalytic subunit,1,1,,,,,,,,
Q12344,GYP5_YEAST,GYP5,GTPase-activating protein GYP5,2,2,12764.4,15616.4,9468.1,,,,,
Q12345,IES3_YEAST,IES3,Ino eighty subunit 3,1,1,,13960.2,,12686.7,,,,
Q12363,WTM1_YEAST,WTM1,Transcriptional modulator WTM1,8,8,912760,1.01E+06,924119,1.10E+06,465296,495284,482659,505996
Q12377,RPN6_YEAST,RPN6,26S proteasome regulatory subunit RPN6,2,2,168712,193414,201655,216356,73944.5,68967.4,71823.7,121940
Q12387,NAA25_YEAST,MDM20,N-terminal acetyltransferase B complex subunit MDM20,5,5,9974.21,10545.2,13734.5,13213.6,7039.37,,,7205.67
Q12391,YN11A_YEAST,TY1A-NL1,Transposon Ty1-NL1 Gag polyprotein,1,0,,18501.2,17670.2,31000.5,,11165.2,7382.83,9236.99
Q12402,YOP1_YEAST,YOP1,Protein YOP1,2,2,406679,414827,418857,523197,211686,225400,206317,245632
Q12404,MPD1_YEAST,MPD1,Protein disulfide-isomerase MPD1,3,3,35458,15239.4,24825.8,42454.4,26285.6,19665.8,18631.1,20686.1
Q12427,STB3_YEAST,STB3,Protein STB3,1,1,,,,,,,,
Q12428,PRPD_YEAST,PDH1,Probable 2-methylcitrate dehydratase,4,4,,4942.13,,3196.01,,,,
Q12429,DPH6_YEAST,DPH6,Diphthine--ammonia ligase,1,1,3827.22,,,4154.25,,,,
Q12434,GDIR_YEAST,RDI1,Rho GDP-dissociation inhibitor,1,1,,36375.8,,,,,,
Q12443,RTN2_YEAST,RTN2,Reticulon-like protein 2,5,5,56438.3,58573.3,63932.9,65480.4,19793,27489.6,42018.6,18180.7
Q12446,LAS17_YEAST,LAS17,Proline-rich protein LAS17,2,2,4746.03,,11684.6,11065.3,6011.49,,,
Q12447,PAA1_YEAST,PAA1,Polyamine N-acetyltransferase 1,1,1,27809.4,50759.1,40828.6,,13762.4,13151.6,,24950.1
Q12449,AHA1_YEAST,AHA1,Hsp90 co-chaperone AHA1,5,5,44310.2,44352.1,43587.3,59230.7,16316.5,25052.7,24677.4,22756.2
Q12451,OSH2_YEAST,OSH2,Oxysterol-binding protein homolog 2,3,3,,3916.33,2436.96,,,,,3597.55
Q12452,ERG27_YEAST,ERG27,3-keto-steroid reductase ERG27,1,1,34563.2,50141.5,58451.7,60182,21813.2,,,
Q12453,CEX1_YEAST,CEX1,Cytoplasmic export protein 1,3,3,,3664.04,2205.13,,,,,3096.17
Q12458,YPR1_YEAST,YPR1,Putative reductase 1,2,2,14339.9,26066.7,14956.5,27672.7,6121.36,,,16999.5
