Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114,HYEB_rep111,HYEB_rep112,HYEB_rep113,HYEB_rep114
P25558,BUD3_YEAST,BUD3,Bud site selection protein 3,2,2,,,,,,338299,,
P25567,SRO9_YEAST,SRO9,RNA-binding protein SRO9,2,2,51697.3,47015.1,66044.9,60111.6,23990.1,16039.6,,33616.4
P25569,GID7_YEAST,GID7,Glucose-induced degradation protein 7,2,2,2046.79,,453.713,1414.38,,,1727.96,
P25574,EMC1_YEAST,EMC1,ER membrane protein complex subunit 1,2,2,87670.3,78193.9,65770,96114.7,27134.5,,,
P25586,KRR1_YEAST,KRR1,KRR1 small subunit processome component,3,3,,,37581.8,20189.8,,,,
P25605,ILV6_YEAST,ILV6,"Acetolactate synthase small subunit, mitochondrial",1,1,,16615.8,,,,,,
P25618,CWH43_YEAST,CWH43,Protein CWH43,2,2,33989.1,42759.1,52488.4,42094.5,,13393.6,,21480.4
P25623,SYP1_YEAST,SYP1,Suppressor of yeast profilin deletion,6,6,71909.2,75699,47733.7,86151.7,31009.4,,20738.7,20002.7
P25632,RSC6_YEAST,RSC6,Chromatin structure-remodeling complex protein RSC6,1,1,,,,,,,,
P25635,PWP2_YEAST,PWP2,Periodic tryptophan protein 2,1,1,,26608.8,,,,,,
P25644,PAT1_YEAST,PAT1,Deadenylation-dependent mRNA-decapping factor PAT1,2,2,28581.9,30027.6,34232.3,35136.2,8634.01,14509.7,14403.2,16365.6
P25655,NOT1_YEAST,CDC39,General negative regulator of transcription subunit 1,7,7,17037.6,10905.8,19581.2,29710.5,8706.79,,,
P25656,CDC50_YEAST,CDC50,Phospholipid-transporting ATPase accessory subunit CDC50,1,1,,,,,,,,
P25665,METE_ECOLI,metE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,4,4,12440,10895.2,,21102.7,43291.2,45603.9,43020.7,64081.6
P25685,DNJB1_HUMAN,DNAJB1,DnaJ homolog subfamily B member 1,5,4,254943,284335,265871,298420,274326,291070,274739,279400
P25686,DNJB2_HUMAN,DNAJB2,DnaJ homolog subfamily B member 2,1,0,,,,1716,,,,
P25694,CDC48_YEAST,CDC48,Cell division control protein 48,13,12,942023,1.09E+06,995938,1.04E+06,538529,698168,524038,626659
