Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
P62136,PP1A_HUMAN,PPP1CA,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,13,5,823511,804182,757083
P62140,PP1B_HUMAN,PPP1CB,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,4,4,244985,266851,284331
P62166,NCS1_HUMAN,NCS1,Neuronal calcium sensor 1,3,3,27102.1,27339.3,35288.4
P62191,PRS4_HUMAN,PSMC1,26S proteasome regulatory subunit 4,13,10,663222,620546,548953
P62195,PRS8_HUMAN,PSMC5,26S proteasome regulatory subunit 8,16,14,601187,471048,449744
P62241,RS8_HUMAN,RPS8,Small ribosomal subunit protein eS8,6,6,4.17E+06,3.95E+06,3.73E+06
P62244,RS15A_HUMAN,RPS15A,Small ribosomal subunit protein uS8,2,2,1.69E+06,1.45E+06,1.27E+06
P62249,RS16_HUMAN,RPS16,Small ribosomal subunit protein uS9,7,7,1.52E+06,1.62E+06,1.65E+06
P62256,UBE2H_HUMAN,UBE2H,Ubiquitin-conjugating enzyme E2 H,1,1,,,
P62258,1433E_HUMAN,YWHAE,14-3-3 protein epsilon,11,10,3.21E+06,3.35E+06,3.38E+06
P62263,RS14_HUMAN,RPS14,Small ribosomal subunit protein uS11,4,4,3.79E+06,3.80E+06,3.05E+06
P62266,RS23_HUMAN,RPS23,Small ribosomal subunit protein uS12,2,2,1.13E+06,900546,958582
P62269,RS18_HUMAN,RPS18,Small ribosomal subunit protein uS13,6,6,3.04E+06,3.23E+06,3.02E+06
P62277,RS13_HUMAN,RPS13,Small ribosomal subunit protein uS15,4,4,1.72E+06,1.91E+06,1.84E+06
P62280,RS11_HUMAN,RPS11,Small ribosomal subunit protein uS17,6,6,514552,408071,356699
P62304,RUXE_HUMAN,SNRPE,Small nuclear ribonucleoprotein E,3,3,517237,459745,477636
P62306,RUXF_HUMAN,SNRPF,Small nuclear ribonucleoprotein F,3,3,676314,738927,706749
P62310,LSM3_HUMAN,LSM3,U6 snRNA-associated Sm-like protein LSm3,1,1,295683,217832,226755
P62312,LSM6_HUMAN,LSM6,U6 snRNA-associated Sm-like protein LSm6,2,2,198797,162751,141077
P62314,SMD1_HUMAN,SNRPD1,Small nuclear ribonucleoprotein Sm D1,3,3,981721,731954,662334
P62316,SMD2_HUMAN,SNRPD2,Small nuclear ribonucleoprotein Sm D2,8,7,1.25E+06,1.34E+06,1.35E+06
P62318,SMD3_HUMAN,SNRPD3,Small nuclear ribonucleoprotein Sm D3,2,2,1.06E+06,1.06E+06,1.14E+06
P62328,TYB4_HUMAN,TMSB4X,Thymosin beta-4,1,1,7.99E+06,8.46E+06,9.76E+06
P62330,ARF6_HUMAN,ARF6,ADP-ribosylation factor 6,6,6,334419,262790,245848
P62333,PRS10_HUMAN,PSMC6,26S proteasome regulatory subunit 10B,10,10,434211,376075,334690
P62341,SELT_HUMAN,SELENOT,Thioredoxin reductase-like selenoprotein T,1,1,30546.7,16437.5,22325.1
P62380,TBPL1_HUMAN,TBPL1,TATA box-binding protein-like 1,1,1,10642.6,12807.7,21875.4
P62424,RL7A_HUMAN,RPL7A,Large ribosomal subunit protein eL8,7,7,3.23E+06,3.16E+06,3.09E+06
P62487,RPB7_HUMAN,POLR2G,DNA-directed RNA polymerase II subunit RPB7,4,4,75129.9,59689.2,65887.6
P62495,ERF1_HUMAN,ETF1,Eukaryotic peptide chain release factor subunit 1,13,12,565905,532220,505265
P62633,CNBP_HUMAN,CNBP,CCHC-type zinc finger nucleic acid binding protein,7,7,646843,758025,745349
P62699,YPEL5_HUMAN,YPEL5,Protein yippee-like 5,2,2,9888.38,8457.35,16701.4
