Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
O95757,HS74L_HUMAN,HSPA4L,Heat shock 70 kDa protein 4L,15,15,210606,184780,174226
O95758,PTBP3_HUMAN,PTBP3,Polypyrimidine tract-binding protein 3,3,3,109129,73055.9,85310.2
O95777,LSM8_HUMAN,LSM8,U6 snRNA-associated Sm-like protein LSm8,4,4,101712,105882,104104
O95782,AP2A1_HUMAN,AP2A1,AP-2 complex subunit alpha-1,24,19,272809,245431,237211
O95785,WIZ_HUMAN,WIZ,Protein Wiz,9,9,36798.4,40971,32461.1
O95793,STAU1_HUMAN,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,4,4,38871.3,28824.9,30249.1
O95801,TTC4_HUMAN,TTC4,Tetratricopeptide repeat protein 4,2,2,37721.3,42394.7,38540.1
O95807,TM50A_HUMAN,TMEM50A,Transmembrane protein 50A,1,1,,1800.92,
O95816,BAG2_HUMAN,BAG2,BAG family molecular chaperone regulator 2,6,6,365222,380715,411501
O95817,BAG3_HUMAN,BAG3,BAG family molecular chaperone regulator 3,11,11,107402,92309,97504.3
O95819,M4K4_HUMAN,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4,9,2,70494.1,62504.8,47378.4
O95825,QORL1_HUMAN,CRYZL1,Quinone oxidoreductase-like protein 1,4,4,49099.8,56778.2,49985.6
O95831,AIFM1_HUMAN,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",10,10,523956,499395,493556
O95833,CLIC3_HUMAN,CLIC3,Chloride intracellular channel protein 3,4,4,159182,174415,167519
O95834,EMAL2_HUMAN,EML2,Echinoderm microtubule-associated protein-like 2,6,5,80673.4,72066.2,60444.6
O95861,BPNT1_HUMAN,BPNT1,"3'(2'),5'-bisphosphate nucleotidase 1",6,6,73943.2,60449.7,51386
O95865,DDAH2_HUMAN,DDAH2,Putative hydrolase DDAH2,1,1,9399.29,12993.1,11601.7
O95870,ABHGA_HUMAN,ABHD16A,Phosphatidylserine lipase ABHD16A,3,3,21099,8916.58,12773.8
O95873,CF047_HUMAN,C6orf47,Uncharacterized protein C6orf47,1,1,4582.96,3032.13,
O95881,TXD12_HUMAN,TXNDC12,Thioredoxin domain-containing protein 12,3,3,218469,123561,119646
O95900,TRUB2_HUMAN,TRUB2,"Pseudouridylate synthase TRUB2, mitochondrial",2,2,5806.01,5436.25,8121.33
O95905,ECD_HUMAN,ECD,Protein ecdysoneless homolog,4,4,10995.3,11378.2,10845.7
O95926,SYF2_HUMAN,SYF2,Pre-mRNA-splicing factor SYF2,1,1,29205.8,18408.6,27775.2
O95967,FBLN4_HUMAN,EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2,1,1,3267.93,6239.42,
O95983,MBD3_HUMAN,MBD3,Methyl-CpG-binding domain protein 3,1,1,8567.09,4381.84,
O95985,TOP3B_HUMAN,TOP3B,DNA topoisomerase 3-beta-1,3,3,10840.6,7582.12,7273.37
O95989,NUDT3_HUMAN,NUDT3,Diphosphoinositol polyphosphate phosphohydrolase 1,3,3,67973.9,69922,65479.6
O95999,BCL10_HUMAN,BCL10,B-cell lymphoma/leukemia 10,6,6,27971.2,25200,23441.1
O96000,NDUBA_HUMAN,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,5,5,231243,237831,247605
O96005,CLPT1_HUMAN,CLPTM1,Putative lipid scramblase CLPTM1,4,4,24956.5,23797.1,26845.1
O96006,ZBED1_HUMAN,ZBED1,E3 SUMO-protein ligase ZBED1,2,2,,3789.4,4170.96
O96008,TOM40_HUMAN,TOMM40,Mitochondrial import receptor subunit TOM40 homolog,6,6,395865,285851,257713
O96011,PX11B_HUMAN,PEX11B,Peroxisomal membrane protein 11B,4,4,76215.2,77741.2,81105.7
O96013,PAK4_HUMAN,PAK4,Serine/threonine-protein kinase PAK 4,6,5,24378.8,18895.1,16043.2
O96017,CHK2_HUMAN,CHEK2,Serine/threonine-protein kinase Chk2,3,3,9813.6,9419.04,6691.87
O96019,ACL6A_HUMAN,ACTL6A,Actin-like protein 6A,9,6,216054,191827,198470
O96028,NSD2_HUMAN,NSD2,Histone-lysine N-methyltransferase NSD2,8,8,5092.74,4320.74,4999.95
O96033,MOC2A_HUMAN,MOCS2,Molybdopterin synthase sulfur carrier subunit,1,1,41767,43690.1,60657
P00044,CYC1_YEAST,CYC1,Cytochrome c isoform 1,2,2,26498.5,31715.5,32687.7
P00045,CYC7_YEAST,CYC7,Cytochrome c isoform 2,1,1,8400.95,23803,18630.5
P00156,CYB_HUMAN,MT-CYB,Cytochrome b,2,2,63589.1,51149.9,52412.3
P00330,ADH1_YEAST,ADH1,Alcohol dehydrogenase 1,10,7,4.34E+07,4.64E+07,4.75E+07
P00338,LDHA_HUMAN,LDHA,L-lactate dehydrogenase A chain,11,10,2.17E+07,2.46E+07,2.37E+07
P00358,G3P2_YEAST,TDH2,Glyceraldehyde-3-phosphate dehydrogenase 2,2,2,9.39E+06,1.16E+07,1.26E+07
P00359,G3P3_YEAST,TDH3,Glyceraldehyde-3-phosphate dehydrogenase 3,7,2,4.95E+07,6.61E+07,6.65E+07
P00360,G3P1_YEAST,TDH1,Glyceraldehyde-3-phosphate dehydrogenase 1,13,5,8.04E+07,8.07E+07,7.90E+07
P00367,DHE3_HUMAN,GLUD1,"Glutamate dehydrogenase 1, mitochondrial",13,4,633891,672442,721064
P00374,DYR_HUMAN,DHFR,Dihydrofolate reductase,3,3,96094.3,115807,126544
P00387,NB5R3_HUMAN,CYB5R3,NADH-cytochrome b5 reductase 3,6,6,272137,291059,290072
P00390,GSHR_HUMAN,GSR,"Glutathione reductase, mitochondrial",9,9,357171,355835,333894
P00395,COX1_HUMAN,MT-CO1,Cytochrome c oxidase subunit 1,1,1,62143.4,50318.2,40887.4
P00403,COX2_HUMAN,MT-CO2,Cytochrome c oxidase subunit 2,4,4,73903.8,75305.2,87053.1
P00414,COX3_HUMAN,MT-CO3,Cytochrome c oxidase subunit 3,1,1,16090,18668.7,18647.9
P00425,COX5B_YEAST,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",2,1,19807.8,13878.5,12958.3
P00427,COX6_YEAST,COX6,"Cytochrome c oxidase subunit 6, mitochondrial",2,2,89132,74981.9,77625.5
P00431,CCPR_YEAST,CCP1,"Cytochrome c peroxidase, mitochondrial",5,5,64767.1,60305.8,64592.6
P00441,SODC_HUMAN,SOD1,Superoxide dismutase [Cu-Zn],3,3,1.81E+06,1.83E+06,1.87E+06
P00445,SODC_YEAST,SOD1,Superoxide dismutase [Cu-Zn],7,7,5.82E+06,6.74E+06,6.94E+06
P00447,SODM_YEAST,SOD2,"Superoxide dismutase [Mn], mitochondrial",4,4,221203,194347,175194
P00450,CERU_HUMAN,CP,Ceruloplasmin,2,2,11556.1,16726.3,15570.3
P00488,F13A_HUMAN,F13A1,Coagulation factor XIII A chain,1,1,37211.9,55709.9,67708.6
P00491,PNPH_HUMAN,PNP,Purine nucleoside phosphorylase,8,8,260963,283619,227700
P00492,HPRT_HUMAN,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,7,7,317562,296970,296615
P00498,HIS1_YEAST,HIS1,ATP phosphoribosyltransferase,7,7,520877,468079,438426
P00505,AATM_HUMAN,GOT2,"Aspartate aminotransferase, mitochondrial",13,12,1.37E+06,1.08E+06,1.01E+06
P00519,ABL1_HUMAN,ABL1,Tyrosine-protein kinase ABL1,2,2,5703.81,8691.01,6557.54
P00533,EGFR_HUMAN,EGFR,Epidermal growth factor receptor,18,17,177321,194663,177061
P00546,CDK1_YEAST,CDC28,Cyclin-dependent kinase 1,8,7,117673,129321,126717
P00549,KPYK1_YEAST,CDC19,Pyruvate kinase 1,16,15,2.38E+07,2.43E+07,2.40E+07
P00558,PGK1_HUMAN,PGK1,Phosphoglycerate kinase 1,20,17,6.48E+06,6.54E+06,6.00E+06
P00560,PGK_YEAST,PGK1,Phosphoglycerate kinase,20,20,4.26E+07,3.60E+07,3.34E+07
P00568,KAD1_HUMAN,AK1,Adenylate kinase isoenzyme 1,8,7,434180,424843,402958
P00572,KTHY_YEAST,CDC8,Thymidylate kinase,2,2,33149.8,42609.3,41936.9
P00635,PPA5_YEAST,PHO5,Repressible acid phosphatase,2,2,23151.8,25118.4,31917.7
P00724,INV2_YEAST,SUC2,Invertase 2,7,7,249183,215833,192193
P00729,CBPY_YEAST,PRC1,Carboxypeptidase Y,3,3,225189,183728,193693
P00734,THRB_HUMAN,F2,Prothrombin,3,3,272097,221176,182313
P00740,FA9_HUMAN,F9,Coagulation factor IX,1,1,46071.8,38664.4,31258.1
P00742,FA10_HUMAN,F10,Coagulation factor X,1,1,349630,311667,
P00747,PLMN_HUMAN,PLG,Plasminogen,3,2,55316.4,76355.8,55193.9
P00812,ARGI_YEAST,CAR1,Arginase,4,4,126446,143676,84657
P00813,ADA_HUMAN,ADA,Adenosine deaminase,4,4,8590.11,13469.5,14444.1
P00815,HIS2_YEAST,HIS4,Histidine biosynthesis trifunctional protein,10,10,968574,988971,877050
P00817,IPYR_YEAST,IPP1,Inorganic pyrophosphatase,5,5,4.35E+06,3.72E+06,3.55E+06
P00830,ATPB_YEAST,ATP2,"ATP synthase subunit beta, mitochondrial",8,8,1.20E+06,1.14E+06,982488
P00846,ATP6_HUMAN,MT-ATP6,ATP synthase subunit a,1,1,300702,166281,145310
P00890,CISY1_YEAST,CIT1,"Citrate synthase, mitochondrial",10,9,250888,248354,247805
P00899,TRPE_YEAST,TRP2,Anthranilate synthase component 1,5,5,226891,237749,227595
P00924,ENO1_YEAST,ENO1,Enolase 1,6,6,1.75E+06,1.61E+06,1.50E+06
P00925,ENO2_YEAST,ENO2,Enolase 2,16,9,8.15E+07,8.14E+07,8.30E+07
P00927,THDH_YEAST,ILV1,"Threonine dehydratase, mitochondrial",2,2,23568.7,18895.5,12155.7
P00931,TRP_YEAST,TRP5,Tryptophan synthase,12,12,837354,762771,741010
P00937,TRPG_YEAST,TRP3,Multifunctional tryptophan biosynthesis protein,7,7,221834,265083,259738
P00942,TPIS_YEAST,TPI1,Triosephosphate isomerase,12,12,1.01E+07,9.91E+06,9.76E+06
P00950,PMG1_YEAST,GPM1,Phosphoglycerate mutase 1,11,11,1.15E+07,1.19E+07,1.16E+07
P00958,SYMC_YEAST,MES1,"Methionine--tRNA ligase, cytoplasmic",12,12,376906,321106,310280
P00966,ASSY_HUMAN,ASS1,Argininosuccinate synthase,10,10,1.08E+06,1.05E+06,991767
P00973,OAS1_HUMAN,OAS1,2'-5'-oligoadenylate synthase 1,1,1,9824.28,4459.83,12666.5
P01008,ANT3_HUMAN,SERPINC1,Antithrombin-III,2,2,816352,576648,656887
P01023,A2MG_HUMAN,A2M,Alpha-2-macroglobulin,4,2,1.54E+06,1.20E+06,1.15E+06
P01024,CO3_HUMAN,C3,Complement C3,19,19,1.84E+06,1.82E+06,1.76E+06
P01031,CO5_HUMAN,C5,Complement C5,2,2,161513,175114,154602
P01033,TIMP1_HUMAN,TIMP1,Metalloproteinase inhibitor 1,4,4,72505.3,56469.5,64512.8
P01094,IPA3_YEAST,PAI3,Protease A inhibitor 3,1,1,213933,228570,276758
P01097,ATIF_YEAST,INH1,"F(1)-ATPase inhibitor IF(1), mitochondrial",1,1,,9970.84,9063.07
P01106,MYC_HUMAN,MYC,Myc proto-oncogene protein,1,1,,33699,
P01111,RASN_HUMAN,NRAS,GTPase NRas,3,1,90648.4,65463.9,66857.8
P01116,RASK_HUMAN,KRAS,GTPase KRas,4,2,159426,118104,118106
P01119,RAS1_YEAST,RAS1,Ras-like protein 1,2,2,16045.9,27599.1,29730.9
P01120,RAS2_YEAST,RAS2,Ras-like protein 2,6,6,262459,340983,363429
P01123,YPT1_YEAST,YPT1,GTP-binding protein YPT1,4,4,263342,217652,197277
P01130,LDLR_HUMAN,LDLR,Low-density lipoprotein receptor,8,8,63020,56075,45029.5
P01137,TGFB1_HUMAN,TGFB1,Transforming growth factor beta-1 proprotein,1,1,,,
P01215,GLHA_HUMAN,CGA,Glycoprotein hormones alpha chain,2,2,1822.25,1785.5,
P01266,THYG_HUMAN,TG,Thyroglobulin,2,2,35669.4,35044.8,30984
P01833,PIGR_HUMAN,PIGR,Polymeric immunoglobulin receptor,1,1,,,
P01834,IGKC_HUMAN,IGKC,Immunoglobulin kappa constant,1,1,,20951.5,
P01857,IGHG1_HUMAN,IGHG1,Immunoglobulin heavy constant gamma 1,2,1,18134.9,14988.2,14336.4
P01889,HLAB_HUMAN,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",2,1,221323,194676,176585
P01893,HLAH_HUMAN,HLA-H,"Putative HLA class I histocompatibility antigen, alpha chain H",1,1,165574,127715,118273
P02309,H4_YEAST,HHF1,Histone H4,3,3,3.81E+06,3.57E+06,3.53E+06
P02400,RLA4_YEAST,RPP2B,Large ribosomal subunit protein P2B,6,6,7.97E+06,8.40E+06,7.75E+06
P02406,RL28_YEAST,RPL28,Large ribosomal subunit protein uL15,5,4,3.52E+06,2.87E+06,2.86E+06
P02407;P14127,RS17A_YEAST;RS17B_YEAST,RPS17A;RPS17B,Small ribosomal subunit protein eS17A,5,0,3.95E+06,4.19E+06,3.19E+06
P02533,K1C14_HUMAN,KRT14,"Keratin, type I cytoskeletal 14",1,1,16961.5,8779.49,27375.1
P02538;P48668,K2C6A_HUMAN;K2C6C_HUMAN,KRT6A;KRT6C,"Keratin, type II cytoskeletal 6A",2,0,11346.2,11411.4,34483.5
P02545,LMNA_HUMAN,LMNA,Prelamin-A/C,26,25,3.91E+06,4.16E+06,4.41E+06
P02557,TBB_YEAST,TUB2,Tubulin beta chain,6,6,815384,751875,701450
P02649,APOE_HUMAN,APOE,Apolipoprotein E,1,1,31113.1,30205.5,26305.5
P02656,APOC3_HUMAN,APOC3,Apolipoprotein C-III,1,1,40969.5,55152.6,63972.9
P02671,FIBA_HUMAN,FGA,Fibrinogen alpha chain,2,2,88530.8,126807,134391
P02675,FIBB_HUMAN,FGB,Fibrinogen beta chain,1,1,53532.9,35923.2,58851.9
P02679,FIBG_HUMAN,FGG,Fibrinogen gamma chain,2,2,11203.3,12284.2,11311.4
P02748,CO9_HUMAN,C9,Complement component C9,1,1,161370,130626,106155
P02751,FINC_HUMAN,FN1,Fibronectin,7,7,81654.6,77648,70083.2
P02760,AMBP_HUMAN,AMBP,Protein AMBP,1,1,669122,811973,823158
P02765,FETUA_HUMAN,AHSG,Alpha-2-HS-glycoprotein,2,2,5.40E+06,6.64E+06,6.48E+06
P02768,ALBU_HUMAN,ALB,Albumin,7,7,8.08E+06,7.60E+06,7.79E+06
P02771,FETA_HUMAN,AFP,Alpha-fetoprotein,1,1,601549,553636,399383
P02786,TFR1_HUMAN,TFRC,Transferrin receptor protein 1,19,19,1.53E+06,1.53E+06,1.37E+06
P02788,TRFL_HUMAN,LTF,Lactotransferrin,2,2,244667,183110,185934
P02794,FRIH_HUMAN,FTH1,Ferritin heavy chain,5,5,94569.3,102612,98923.6
P02795,MT2_HUMAN,MT2A,Metallothionein-2,3,1,1.12E+06,1.37E+06,1.12E+06
P02810,PRPC_HUMAN,PRH1,Salivary acidic proline-rich phosphoprotein 1/2,1,1,3074.83,3671.24,3614.28
P02829,HSP82_YEAST,HSP82,ATP-dependent molecular chaperone HSP82,5,5,750321,831497,863931
P02992,EFTU_YEAST,TUF1,"Elongation factor Tu, mitochondrial",6,6,128537,133185,124930
P02994,EF1A_YEAST,TEF1,Elongation factor 1-alpha,12,9,2.11E+07,1.89E+07,1.96E+07
P03871,REP1_YEAST,REP1,Partitioning protein REP1,1,1,16609.5,10850,26907.4
P03872,REP2_YEAST,REP2,Partitioning protein REP2,3,3,23980.6,32084.6,33675.1
P03905,NU4M_HUMAN,MT-ND4,NADH-ubiquinone oxidoreductase chain 4,1,1,12074.2,12676,
P03915,NU5M_HUMAN,MT-ND5,NADH-ubiquinone oxidoreductase chain 5,2,2,60829.6,73145.8,44559.7
P03923,NU6M_HUMAN,MT-ND6,NADH-ubiquinone oxidoreductase chain 6,1,1,29061.1,26140.6,25252.7
P03928,ATP8_HUMAN,MT-ATP8,ATP synthase protein 8,1,1,44516.2,83295.3,45442.2
P03951,FA11_HUMAN,F11,Coagulation factor XI,2,2,7066.65,7765.5,8860.31
P03965,CARB_YEAST,CPA2,Carbamoyl phosphate synthase arginine-specific large chain,9,9,146049,123777,106723
P03973,SLPI_HUMAN,SLPI,Antileukoproteinase,1,1,64009.5,42324.3,67863.8
P04004,VTNC_HUMAN,VTN,Vitronectin,4,4,134376,90628.5,98176.9
P04037,COX4_YEAST,COX4,"Cytochrome c oxidase subunit 4, mitochondrial",2,2,35009.3,31556.7,34179.1
P04040,CATA_HUMAN,CAT,Catalase,15,15,475652,543312,549440
P04046,PUR1_YEAST,ADE4,Amidophosphoribosyltransferase,11,11,205269,180335,169986
P04049,RAF1_HUMAN,RAF1,RAF proto-oncogene serine/threonine-protein kinase,3,2,15466.3,23060.8,11699.8
P04050,RPB1_YEAST,RPO21,DNA-directed RNA polymerase II subunit RPB1,16,16,201956,189625,185995
P04051,RPC1_YEAST,RPO31,DNA-directed RNA polymerase III subunit RPC1,3,3,18243.2,30338.8,21407.4
P04062,GBA1_HUMAN,GBA1,Lysosomal acid glucosylceramidase,5,5,73775.5,74071.5,80569.8
P04066,FUCO_HUMAN,FUCA1,Tissue alpha-L-fucosidase,2,2,,,
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,19,16,7.67E+06,7.61E+06,7.22E+06
P04076,ARLY_YEAST,ARG4,Argininosuccinate lyase,6,5,128741,113846,131284
P04080,CYTB_HUMAN,CSTB,Cystatin-B,5,5,1.25E+06,1.37E+06,1.43E+06
P04083,ANXA1_HUMAN,ANXA1,Annexin A1,12,12,2.28E+06,2.09E+06,1.96E+06
P04114,APOB_HUMAN,APOB,Apolipoprotein B-100,7,7,220214,223595,228692
P04147,PABP_YEAST,PAB1,"Polyadenylate-binding protein, cytoplasmic and nuclear",11,11,1.04E+06,1.25E+06,1.29E+06
P04150,GCR_HUMAN,NR3C1,Glucocorticoid receptor,15,15,53560.8,49185.7,47269.8
P04156,PRIO_HUMAN,PRNP,Major prion protein,1,1,45086.8,26189.9,28132.6
P04161,PUR3_YEAST,ADE8,Phosphoribosylglycinamide formyltransferase,2,2,41259.6,24497.9,27169.5
P04179,SODM_HUMAN,SOD2,"Superoxide dismutase [Mn], mitochondrial",4,4,371524,353967,357988
P04180,LCAT_HUMAN,LCAT,Phosphatidylcholine-sterol acyltransferase,1,1,48109.2,29359.7,41638.9
P04181,OAT_HUMAN,OAT,"Ornithine aminotransferase, mitochondrial",5,5,65002.4,48118.4,47533.3
P04183,KITH_HUMAN,TK1,"Thymidine kinase, cytosolic",6,6,38312.7,22798.3,29777.2
P04264,K2C1_HUMAN,KRT1,"Keratin, type II cytoskeletal 1",12,12,2.99E+06,2.41E+06,2.16E+06
P04278,SHBG_HUMAN,SHBG,Sex hormone-binding globulin,1,1,32617.2,21660.9,20746.8
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,10,10,2.54E+07,2.38E+07,2.25E+07
P04424,ARLY_HUMAN,ASL,Argininosuccinate lyase,1,1,27261.2,15716.4,15961.7
P04439,HLAA_HUMAN,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",1,1,127588,164753,178880
P04449,RL24A_YEAST,RPL24A,Large ribosomal subunit protein eL24A,4,0,1.06E+06,756893,796549
P04456,RL25_YEAST,RPL25,Large ribosomal subunit protein uL23,5,5,5.27E+06,6.51E+06,6.45E+06
P04626,ERBB2_HUMAN,ERBB2,Receptor tyrosine-protein kinase erbB-2,2,2,2117.98,,3399.85
P04632,CPNS1_HUMAN,CAPNS1,Calpain small subunit 1,4,3,499893,556883,434885
P04650,RL39_YEAST,RPL39,Large ribosomal subunit protein eL39,1,1,5.56E+06,4.26E+06,4.11E+06
P04732,MT1E_HUMAN,MT1E,Metallothionein-1E,1,1,70926.5,72308.9,64382.4
P04733,MT1F_HUMAN,MT1F,Metallothionein-1F,1,1,,8634.55,
P04786,TOP1_YEAST,TOP1,DNA topoisomerase 1,8,8,46793.8,60887.7,50904.9
P04792,HSPB1_HUMAN,HSPB1,Heat shock protein beta-1,5,5,1.56E+06,1.20E+06,1.14E+06
P04801,SYTC_YEAST,THS1,"Threonine--tRNA ligase, cytoplasmic",14,14,461690,394908,401803
P04802,SYDC_YEAST,DPS1,"Aspartate--tRNA ligase, cytoplasmic",13,13,1.21E+06,1.36E+06,1.31E+06
P04806,HXKA_YEAST,HXK1,Hexokinase-1,16,14,2.33E+06,2.34E+06,2.29E+06
P04807,HXKB_YEAST,HXK2,Hexokinase-2,12,12,4.77E+06,3.77E+06,3.74E+06
P04818,TYSY_HUMAN,TYMS,Thymidylate synthase,3,3,20417.1,22605,15732.6
P04819,DNLI1_YEAST,CDC9,DNA ligase 1,4,4,26368.4,30778,37566.8
P04821,CDC25_YEAST,CDC25,Cell division control protein 25,4,4,11479.9,18854.2,12697.5
P04840,VDAC1_YEAST,POR1,Non-selective voltage-gated ion channel 1,13,13,4.56E+06,4.36E+06,4.46E+06
P04843,RPN1_HUMAN,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,17,17,602913,631592,627292
P04844,RPN2_HUMAN,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,8,8,361904,369060,377795
P04899,GNAI2_HUMAN,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2,8,4,1.02E+06,986598,788167
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1,H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2A3_HUMAN;H2AJ_HUMAN,H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ,Histone H2A type 1-B/E,1,0,7876.14,18338,4849.02
P04920,B3A2_HUMAN,SLC4A2,Anion exchange protein 2,7,6,30672.3,26006,22607.6
P05023,AT1A1_HUMAN,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,27,17,611529,632598,584043
P05026,AT1B1_HUMAN,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,6,6,171417,180009,177123
P05030,PMA1_YEAST,PMA1,Plasma membrane ATPase 1,12,4,3.72E+06,4.37E+06,4.40E+06
P05062,ALDOB_HUMAN,ALDOB,Fructose-bisphosphate aldolase B,3,3,55703.8,38273.9,40447.3
P05067,A4_HUMAN,APP,Amyloid-beta precursor protein,6,6,22016.9,23451,18192.6
P05091,ALDH2_HUMAN,ALDH2,"Aldehyde dehydrogenase, mitochondrial",5,5,28258.7,36677.8,46388.5
P05107;P26010,ITB2_HUMAN;ITB7_HUMAN,ITGB2;ITGB7,Integrin beta-2,1,0,,8516.57,13819.6
P05109,S10A8_HUMAN,S100A8,Protein S100-A8,2,2,36888.4,21266.4,19847.9
P05114,HMGN1_HUMAN,HMGN1,Non-histone chromosomal protein HMG-14,1,1,52724,68081.9,64762.8
P05121,PAI1_HUMAN,SERPINE1,Plasminogen activator inhibitor 1,2,2,,,
P05141,ADT2_HUMAN,SLC25A5,ADP/ATP translocase 2,8,4,3.57E+06,3.42E+06,3.29E+06
P05161,ISG15_HUMAN,ISG15,Ubiquitin-like protein ISG15,3,3,7574.03,5127.25,5701.09
P05165,PCCA_HUMAN,PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial",6,6,34347.6,35997.5,37552.1
P05166,PCCB_HUMAN,PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial",9,9,17788.4,18530.2,17680.5
P05198,IF2A_HUMAN,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1,16,16,1.65E+06,1.79E+06,1.67E+06
P05204,HMGN2_HUMAN,HMGN2,Non-histone chromosomal protein HMG-17,3,1,739808,965105,1.02E+06
P05317,RLA0_YEAST,RPP0,Large ribosomal subunit protein uL10,8,8,5.82E+06,5.01E+06,4.78E+06
P05318,RLA1_YEAST,RPP1A,Large ribosomal subunit protein P1A,1,1,,30734.4,
P05319,RLA2_YEAST,RPP2A,Large ribosomal subunit protein P2A,4,4,7.57E+06,8.76E+06,6.23E+06
P05362,ICAM1_HUMAN,ICAM1,Intercellular adhesion molecule 1,8,8,64160.3,60597,70713.1
P05373,HEM2_YEAST,HEM2,Delta-aminolevulinic acid dehydratase,6,6,115887,121090,114164
P05374,CHO2_YEAST,CHO2,Phosphatidylethanolamine N-methyltransferase,6,6,127379,111486,124219
P05387,RLA2_HUMAN,RPLP2,Large ribosomal subunit protein P2,5,5,4.97E+06,4.94E+06,4.79E+06
P05388,RLA0_HUMAN,RPLP0,Large ribosomal subunit protein uL10,8,2,2.81E+06,2.40E+06,2.35E+06
P05423,RPC4_HUMAN,POLR3D,DNA-directed RNA polymerase III subunit RPC4,2,2,38009,23950.4,34631.4
P05453,ERF3_YEAST,SUP35,Eukaryotic peptide chain release factor GTP-binding subunit,6,5,480648,547412,500026
P05455,LA_HUMAN,SSB,Lupus La protein,11,11,1.29E+06,1.29E+06,1.23E+06
P05543,THBG_HUMAN,SERPINA7,Thyroxine-binding globulin,3,3,728519,602097,627058
P05549,AP2A_HUMAN,TFAP2A,Transcription factor AP-2-alpha,2,1,26321.6,26841.4,31162.6
P05556,ITB1_HUMAN,ITGB1,Integrin beta-1,13,13,342127,356279,359524
P05694,METE_YEAST,MET6,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,23,23,1.05E+06,955238,931442
P05737;Q12213,RL7A_YEAST;RL7B_YEAST,RPL7A;RPL7B,Large ribosomal subunit protein uL30A,6,0,1.08E+07,9.37E+06,8.54E+06
P05738,RL9A_YEAST,RPL9A,Large ribosomal subunit protein uL6A,6,1,3.57E+06,4.20E+06,4.51E+06
P05739,RL6B_YEAST,RPL6B,Large ribosomal subunit protein eL6B,2,2,1.60E+06,1.85E+06,1.22E+06
P05740,RL17A_YEAST,RPL17A,Large ribosomal subunit protein uL22A,4,1,3.37E+06,3.82E+06,3.82E+06
P05743,RL26A_YEAST,RPL26A,Large ribosomal subunit protein uL24A,2,1,1.55E+06,1.96E+06,2.02E+06
P05744;P41056,RL33A_YEAST;RL33B_YEAST,RPL33A;RPL33B,Large ribosomal subunit protein eL33A,2,0,532699,570954,709365
P05747,RL29_YEAST,RPL29,Large ribosomal subunit protein eL29,1,1,,,
P05748,RL15A_YEAST,RPL15A,Large ribosomal subunit protein eL15A,2,1,2.30E+06,1.56E+06,1.69E+06
P05749;P56628,RL22A_YEAST;RL22B_YEAST,RPL22A;RPL22B,Large ribosomal subunit protein eL22A,1,0,2.28E+06,2.91E+06,2.83E+06
P05750,RS3_YEAST,RPS3,Small ribosomal subunit protein uS3,7,7,3.99E+06,3.76E+06,3.94E+06
P05755,RS9B_YEAST,RPS9B,Small ribosomal subunit protein uS4B,6,1,1.31E+06,1.23E+06,1.08E+06
P05756,RS13_YEAST,RPS13,Small ribosomal subunit protein uS15,4,4,3.66E+06,3.21E+06,3.02E+06
P05759,RS31_YEAST,RPS31,Ubiquitin-ribosomal protein eS31 fusion protein,5,1,4.10E+06,4.12E+06,3.81E+06
P05783,K1C18_HUMAN,KRT18,"Keratin, type I cytoskeletal 18",20,17,8.35E+06,9.04E+06,9.06E+06
P05787,K2C8_HUMAN,KRT8,"Keratin, type II cytoskeletal 8",26,21,8.65E+06,9.40E+06,8.83E+06
