Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
P0ADE6,KBP_ECOLI,kbp,Potassium binding protein Kbp,4,4,55573.2,77615,53144.6,65769.9
P0ADE8,YGFZ_ECOLI,ygfZ,tRNA-modifying protein YgfZ,4,4,113472,137358,120872,121664
P0ADF8,ILVN_ECOLI,ilvN,Acetolactate synthase isozyme 1 small subunit,2,2,33345.1,,,31377.8
P0ADG4,SUHB_ECOLI,suhB,Nus factor SuhB,6,6,37518.2,37535.5,47370.5,53360.6
P0ADG7,IMDH_ECOLI,guaB,Inosine-5'-monophosphate dehydrogenase,5,5,18841,23456,27942.2,38706.3
P0ADI4,ENTB_ECOLI,entB,Enterobactin synthase component B,2,2,4704.01,16794.9,,22122.4
P0ADI7,YECD_ECOLI,yecD,Isochorismatase family protein YecD,1,1,,,,
P0ADK0,YIAF_ECOLI,yiaF,Uncharacterized protein YiaF,1,1,,,,11649.2
P0ADK8,YIBL_ECOLI,yibL,Uncharacterized protein YibL,3,3,,10856.3,,
P0ADN2,YIFE_ECOLI,yifE,UPF0438 protein YifE,4,4,51951.6,,50604.6,68441
P0ADP0,YIGB_ECOLI,yigB,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB,1,1,,,,
P0ADP2,YIGI_ECOLI,yigI,Medium/long-chain acyl-CoA thioesterase YigI,1,1,,6034.68,,
P0ADQ2,FABY_ECOLI,fabY,Probable acyltransferase FabY,1,1,,,,
P0ADQ7,YGAM_ECOLI,ygaM,Uncharacterized protein YgaM,1,1,169934,225263,109478,169817
P0ADR6,RLMM_ECOLI,rlmM,Ribosomal RNA large subunit methyltransferase M,1,1,,,,
P0ADR8,PPNN_ECOLI,ppnN,Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase,1,1,,,3472.66,5224.91
P0ADS2,ZAPA_ECOLI,zapA,Cell division protein ZapA,3,3,9930.78,14014,,9265.84
P0ADS9,YGGN_ECOLI,yggN,Uncharacterized protein YggN,3,3,,29801,,20671.1
P0ADT5,YGIC_ECOLI,ygiC,Putative acid--amine ligase YgiC,3,3,29740,,18000.2,
P0ADT8,YGIM_ECOLI,ygiM,Uncharacterized protein YgiM,1,1,,,,
P0ADU5,YGIW_ECOLI,ygiW,Protein YgiW,3,3,9341.82,,,8390.99
P0ADV7,MLAC_ECOLI,mlaC,Intermembrane phospholipid transport system binding protein MlaC,4,4,256601,294614,268503,307768
P0ADW3,ZAPG_ECOLI,zapG,Z-ring associated protein G,2,2,,,,
P0ADW8,YHEV_ECOLI,yheV,Uncharacterized protein YheV,1,1,,,,
P0ADX1,YHFA_ECOLI,yhfA,Protein YhfA,2,2,163212,149972,152116,157779
P0ADX7,YHHA_ECOLI,yhhA,Uncharacterized protein YhhA,1,1,28371.6,,33103.7,48855.2
P0ADY1,PPID_ECOLI,ppiD,Periplasmic chaperone PpiD,10,10,47036.1,52980.7,44261,62907
P0ADY3,RL14_ECOLI,rplN,Large ribosomal subunit protein uL14,1,1,,,,
P0ADY7,RL16_ECOLI,rplP,Large ribosomal subunit protein uL16,1,1,186590,221854,183700,
P0ADZ0,RL23_ECOLI,rplW,Large ribosomal subunit protein uL23,1,1,314684,277950,313636,252138
P0ADZ4,RS15_ECOLI,rpsO,Small ribosomal subunit protein uS15,1,1,136642,,178969,
P0ADZ7,YAJC_ECOLI,yajC,Sec translocon accessory complex subunit YajC,2,2,135580,146834,171965,152942
P0AE01,TRMJ_ECOLI,trmJ,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,1,1,,12522.5,,
P0AE06,ACRA_ECOLI,acrA,Multidrug efflux pump subunit AcrA,4,4,36394.1,,22963.6,30427.8
P0AE08,AHPC_ECOLI,ahpC,Alkyl hydroperoxide reductase C,6,6,2.55E+06,2.76E+06,2.56E+06,2.78E+06
P0AE12,AMN_ECOLI,amn,AMP nucleosidase,2,2,24404.9,23136.2,15408.4,8748.32
P0AE18,MAP1_ECOLI,map,Methionine aminopeptidase,4,4,63089,46503.8,50533.8,50013.3
P0AE22,APHA_ECOLI,aphA,Class B acid phosphatase,2,2,,29503.4,23620,30483.5
P0AE37,ASTA_ECOLI,astA,Arginine N-succinyltransferase,4,4,44872.8,57240.7,50680.2,
P0AE48,YTFP_ECOLI,ytfP,Gamma-glutamylcyclotransferase family protein YtfP,2,2,,,,
P0AE52,BCP_ECOLI,bcp,Peroxiredoxin Bcp,5,5,21469.4,30490.1,28689.7,35920.8
P0AE70,MAZF_ECOLI,mazF,Endoribonuclease toxin MazF,1,1,,,,
P0AE78,CORC_ECOLI,corC,Magnesium and cobalt efflux protein CorC,2,2,9505.49,,20782.1,
P0AE85,CPXP_ECOLI,cpxP,Periplasmic protein CpxP,2,2,,,,2783.35
P0AE88,CPXR_ECOLI,cpxR,Transcriptional regulatory protein CpxR,1,1,13110,29508.8,,
P0AE91,CREA_ECOLI,creA,Protein CreA,2,2,,,,
P0AEB2,DACA_ECOLI,dacA,D-alanyl-D-alanine carboxypeptidase DacA,3,3,,,,
P0AEC3,ARCB_ECOLI,arcB,Aerobic respiration control sensor protein ArcB,1,1,12853.3,,,
P0AED5,UVRY_ECOLI,uvrY,Response regulator UvrY,3,3,4080.18,,6972.26,
P0AED7,DAPE_ECOLI,dapE,Succinyl-diaminopimelate desuccinylase,2,2,,,,
P0AEE1,DCRB_ECOLI,dcrB,Inner membrane lipoprotein DcrB,2,2,2815.3,,,
P0AEE5,MGLB_ECOLI,mglB,D-galactose/methyl-galactoside binding periplasmic protein MglB,10,10,1.32E+06,1.58E+06,1.36E+06,1.48E+06
P0AEF0,DNAC_ECOLI,dnaC,Replicative helicase loader DnaC,2,2,,,,
P0AEG4,DSBA_ECOLI,dsbA,Thiol:disulfide interchange protein DsbA,3,3,193615,210786,147860,225963
P0AEG6,DSBC_ECOLI,dsbC,Thiol:disulfide interchange protein DsbC,1,1,104485,140511,139103,43366.9
P0AEH3,ELAA_ECOLI,elaA,Protein ElaA,1,1,5323.74,,,6756.19
P0AEH5,ELAB_ECOLI,elaB,Protein ElaB,1,1,155283,186054,180048,184072
P0AEI1,MIAB_ECOLI,miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,4,4,,18337,,14625.9
P0AEI4,RIMO_ECOLI,rimO,Ribosomal protein uS12 methylthiotransferase RimO,3,3,,,,
P0AEK2,FABG_ECOLI,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG,3,3,49113.6,59291.3,50123.1,41295.1
P0AEK4,FABI_ECOLI,fabI,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,5,5,196400,215380,193693,207767
P0AEL0,FDOI_ECOLI,fdoI,"Formate dehydrogenase, cytochrome b556(fdo) subunit",1,1,,,,
P0AEM9,TCYJ_ECOLI,tcyJ,L-cystine-binding protein TcyJ,7,7,378013,406011,385390,388546
P0AEN1,FRE_ECOLI,fre,NAD(P)H-flavin reductase,3,3,23522.4,20270,,26927.1
P0AEP3,GALU_ECOLI,galU,UTP--glucose-1-phosphate uridylyltransferase,4,4,175795,163367,180836,203064
P0AEQ3,GLNH_ECOLI,glnH,Glutamine-binding periplasmic protein,4,4,145412,139997,159448,165276
P0AES4,GYRA_ECOLI,gyrA,DNA gyrase subunit A,9,9,92454.4,87737.5,79469.6,98513.9
P0AES6,GYRB_ECOLI,gyrB,DNA gyrase subunit B,9,9,54036,49994.7,33945,49671.6
P0AET2,HDEB_ECOLI,hdeB,Acid stress chaperone HdeB,1,1,,,,
P0AET8,HDHA_ECOLI,hdhA,7alpha-hydroxysteroid dehydrogenase,4,4,95952.8,195116,153161,159758
P0AEU0,HISJ_ECOLI,hisJ,Histidine-binding periplasmic protein,3,3,65010.8,55535.3,58786.2,69390.7
P0AEU7,SKP_ECOLI,skp,Chaperone protein Skp,2,2,865020,1.02E+06,996954,1.06E+06
P0AEX9,MALE_ECOLI,malE,Maltose/maltodextrin-binding periplasmic protein,9,9,887594,1.07E+06,962271,773927
P0AEY5,MDAB_ECOLI,mdaB,NADPH:quinone oxidoreductase MdaB,2,2,,,,
P0AEZ3,MIND_ECOLI,minD,Septum site-determining protein MinD,5,5,77006,72934.3,82865.6,86612.3
P0AEZ9,MOAB_ECOLI,moaB,Molybdenum cofactor biosynthesis protein B,3,3,7524.01,10378.1,,
P0AF03,MOG_ECOLI,mog,Molybdopterin adenylyltransferase,3,3,61762.9,66768.8,58001.2,29509.5
P0AF12,MTNN_ECOLI,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,2,2,97356.7,122446,115469,139970
P0AF18,NAGA_ECOLI,nagA,N-acetylglucosamine-6-phosphate deacetylase,3,3,13179.4,26708.9,30864.8,
P0AF20,NAGC_ECOLI,nagC,N-acetylglucosamine repressor,4,4,,25211.4,,
P0AF28,NARL_ECOLI,narL,Nitrate/nitrite response regulator protein NarL,1,1,,,,
P0AF36,ZAPB_ECOLI,zapB,Cell division protein ZapB,1,1,,,12737.9,22712
P0AF50,YJBR_ECOLI,yjbR,Uncharacterized protein YjbR,1,1,,,,
P0AF52;Q46817,GHXP_ECOLI;GHXQ_ECOLI,ghxP;ghxQ,Guanine/hypoxanthine permease GhxP,1,0,,,,
P0AF54,YJCH_ECOLI,yjcH,Inner membrane protein YjcH,1,1,,70571.6,,
P0AF67,TSAE_ECOLI,tsaE,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,1,1,,,,
P0AF90,RRAB_ECOLI,rraB,Regulator of ribonuclease activity B,1,1,33855.6,45104.2,62782.9,50338.5
P0AF93,RIDA_ECOLI,ridA,2-iminobutanoate/2-iminopropanoate deaminase,1,1,820739,1.17E+06,832534,1.01E+06
P0AF96,TABA_ECOLI,tabA,Toxin-antitoxin biofilm protein TabA,2,2,147662,173352,137724,187454
P0AFA7,NHAB_ECOLI,nhaB,Na(+)/H(+) antiporter NhaB,1,1,,,,
P0AFB8,NTRC_ECOLI,glnG,DNA-binding transcriptional regulator NtrC,1,1,,,,
P0AFC3,NUOA_ECOLI,nuoA,NADH-quinone oxidoreductase subunit A,2,2,,,14763.3,15392.6
P0AFC7,NUOB_ECOLI,nuoB,NADH-quinone oxidoreductase subunit B,1,1,,,14993.9,
P0AFD4,NUOH_ECOLI,nuoH,NADH-quinone oxidoreductase subunit H,1,1,,,,
P0AFD6,NUOI_ECOLI,nuoI,NADH-quinone oxidoreductase subunit I,1,1,6009.81,,,
P0AFE4,NUOK_ECOLI,nuoK,NADH-quinone oxidoreductase subunit K,1,1,,,,
P0AFF0,NUON_ECOLI,nuoN,NADH-quinone oxidoreductase subunit N,1,1,7730.47,,,
P0AFF2,NUPC_ECOLI,nupC,Nucleoside permease NupC,1,1,,,,
P0AFF6,NUSA_ECOLI,nusA,Transcription termination/antitermination protein NusA,10,10,57583.1,77457.9,68839.1,76734.5
P0AFG0,NUSG_ECOLI,nusG,Transcription termination/antitermination protein NusG,2,2,120811,127252,125045,143929
P0AFG3,ODO1_ECOLI,sucA,2-oxoglutarate dehydrogenase E1 component,14,14,197962,241518,198406,232627
P0AFG6,ODO2_ECOLI,sucB,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,7,7,463513,475420,426473,499243
P0AFG8,ODP1_ECOLI,aceE,Pyruvate dehydrogenase E1 component,9,9,621478,719567,601683,702523
P0AFH8,OSMY_ECOLI,osmY,Osmotically-inducible protein Y,6,6,1.79E+06,2.28E+06,1.83E+06,2.16E+06
P0AFI2,PARC_ECOLI,parC,DNA topoisomerase 4 subunit A,4,4,,,5964.69,10294.5
P0AFI7,PDXH_ECOLI,pdxH,Pyridoxine/pyridoxamine 5'-phosphate oxidase,1,1,,,,
P0AFJ7,PITA_ECOLI,pitA,Low-affinity inorganic phosphate transporter PitA,1,1,,,,
P0AFK0,PMBA_ECOLI,pmbA,Metalloprotease PmbA,7,7,26104.6,25450.5,30182.9,29968.6
P0AFL6,PPX_ECOLI,ppx,Exopolyphosphatase,2,2,,,,
P0AFM2,PROX_ECOLI,proX,Glycine betaine/proline betaine-binding periplasmic protein,1,1,,,,
P0AFM4,PSIF_ECOLI,psiF,Phosphate starvation-inducible protein PsiF,1,1,,20123.9,20474.8,
P0AFM6,PSPA_ECOLI,pspA,Phage shock protein A,2,2,,44247.1,,18544.2
P0AFP6,GCH1L_ECOLI,ybgI,GTP cyclohydrolase 1 type 2 homolog,1,1,69939.7,96622.7,69797.6,116126
P0AFR4,YCIO_ECOLI,yciO,Uncharacterized protein YciO,2,2,,,,
P0AFS3,FOLM_ECOLI,folM,Dihydromonapterin reductase,1,1,,6050,,
P0AFT5,BTSR_ECOLI,btsR,Transcriptional regulatory protein BtsR,1,1,,,,8842.87
P0AFU8,RISA_ECOLI,ribC,Riboflavin synthase,1,1,,21340.7,,
P0AFX4,RSD_ECOLI,rsd,Regulator of sigma D,2,2,28014.4,,27667.6,
P0AFX9,RSEB_ECOLI,rseB,Sigma-E factor regulatory protein RseB,2,2,,,,
P0AFY8,SEQA_ECOLI,seqA,Negative modulator of initiation of replication,3,3,17807.8,9987.72,15302.7,19317.6
P0AFZ1,SSEB_ECOLI,sseB,Protein SseB,1,1,,15592.4,,
P0AFZ3,SSPB_ECOLI,sspB,Stringent starvation protein B,3,3,24933.4,,,19115.8
P0AG00,WZZE_ECOLI,wzzE,ECA polysaccharide chain length modulation protein,1,1,,,,
P0AG07,RPE_ECOLI,rpe,Ribulose-phosphate 3-epimerase,1,1,,35661.4,50268.1,
P0AG14,SOHB_ECOLI,sohB,Probable protease SohB,2,2,,,,
P0AG16,PUR1_ECOLI,purF,Amidophosphoribosyltransferase,5,5,55985.9,79763.3,58978.9,
P0AG18,PURE_ECOLI,purE,N5-carboxyaminoimidazole ribonucleotide mutase,2,2,33982.8,46021.9,,43686.2
P0AG20,RELA_ECOLI,relA,GTP pyrophosphokinase,2,2,,,,15938.1
P0AG24,SPOT_ECOLI,spoT,Bifunctional (p)ppGpp synthase/hydrolase SpoT,3,3,,,,
P0AG27,YIBN_ECOLI,yibN,Uncharacterized protein YibN,1,1,,,,
P0AG30,RHO_ECOLI,rho,Transcription termination factor Rho,12,12,114260,119057,117525,120232
P0AG40,RIBF_ECOLI,ribF,Bifunctional riboflavin kinase/FMN adenylyltransferase,3,3,,22406.8,,
P0AG44,RL17_ECOLI,rplQ,Large ribosomal subunit protein bL17,1,1,30715.6,27215.3,45779.8,21249.1
P0AG48,RL21_ECOLI,rplU,Large ribosomal subunit protein bL21,2,2,480498,689421,454775,220581
P0AG51,RL30_ECOLI,rpmD,Large ribosomal subunit protein uL30,2,2,576852,644969,551237,681457
P0AG55,RL6_ECOLI,rplF,Large ribosomal subunit protein uL6,4,4,127080,150488,100138,138514
P0AG59,RS14_ECOLI,rpsN,Small ribosomal subunit protein uS14,1,1,465048,540488,530562,528091
P0AG63,RS17_ECOLI,rpsQ,Small ribosomal subunit protein uS17,1,1,,,,
P0AG67,RS1_ECOLI,rpsA,Small ribosomal subunit protein bS1,14,14,1.88E+06,2.07E+06,1.88E+06,1.87E+06
P0AG78,SUBI_ECOLI,sbp,Sulfate-binding protein,3,3,31042.3,30163,20818.7,
P0AG80,UGPB_ECOLI,ugpB,sn-glycerol-3-phosphate-binding periplasmic protein UgpB,8,8,119740,166810,136480,140351
P0AG82,PSTS_ECOLI,pstS,Phosphate-binding protein PstS,3,3,,,,
P0AG84,YGHA_ECOLI,yghA,Uncharacterized oxidoreductase YghA,6,6,165712,178368,160377,204291
P0AG86,SECB_ECOLI,secB,Protein-export protein SecB,1,1,86875.5,78154.1,109034,104323
P0AG90,SECD_ECOLI,secD,Protein translocase subunit SecD,10,10,,12696.7,,
P0AG93,SECF_ECOLI,secF,Protein translocase subunit SecF,1,1,,,,
P0AG99,SECG_ECOLI,secG,Protein-export membrane protein SecG,1,1,,14684.2,15768.7,
P0AGB0,SERB_ECOLI,serB,Phosphoserine phosphatase,3,3,18255.2,13563.1,,
P0AGB6,RPOE_ECOLI,rpoE,ECF RNA polymerase sigma-E factor,1,1,,,,
P0AGC3,SLT_ECOLI,slt,Soluble lytic murein transglycosylase,3,3,,,,
P0AGD1,SODC_ECOLI,sodC,Superoxide dismutase [Cu-Zn],3,3,76939.6,100902,73440.4,84213.3
P0AGD3,SODF_ECOLI,sodB,Superoxide dismutase [Fe],2,2,,,,
P0AGD7,SRP54_ECOLI,ffh,Signal recognition particle protein,3,3,,,2099.85,
P0AGE0,SSB_ECOLI,ssb,Single-stranded DNA-binding protein,2,2,,,,
P0AGE9,SUCD_ECOLI,sucD,Succinate--CoA ligase [ADP-forming] subunit alpha,5,4,,21583.4,,20654.5
P0AGG2,TESB_ECOLI,tesB,Acyl-CoA thioesterase 2,2,2,,,,
P0AGG4,THIO2_ECOLI,trxC,Thioredoxin 2,2,2,,,,
P0AGG8,TLDD_ECOLI,tldD,Metalloprotease TldD,2,2,17563.8,15416.4,21373.9,17338.8
P0AGI1,RBSC_ECOLI,rbsC,Ribose import permease protein RbsC,3,3,43199.1,48300.3,41348.7,32960.1
P0AGI8,TRKA_ECOLI,trkA,Trk system potassium uptake protein TrkA,2,2,,,,
P0AGJ5,YFIF_ECOLI,yfiF,Uncharacterized tRNA/rRNA methyltransferase YfiF,4,4,56102.3,42496.1,41455.8,66903.1
P0AGJ9,SYY_ECOLI,tyrS,Tyrosine--tRNA ligase,4,4,66667,62506.3,69405.6,67627.2
P0AGK4,YHBY_ECOLI,yhbY,RNA-binding protein YhbY,1,1,13925.4,36829.7,,31106.4
P0AGL7,RSME_ECOLI,rsmE,Ribosomal RNA small subunit methyltransferase E,2,2,,,,
P0C037,PPNP_ECOLI,ppnP,Pyrimidine/purine nucleoside phosphorylase,3,3,49882.1,45826.7,47181.6,58811.6
P0C0K3,SRKA_ECOLI,srkA,Stress response kinase A,1,1,,,,
P0C0L2,OSMC_ECOLI,osmC,Peroxiredoxin OsmC,6,6,856920,898964,770639,906448
P0C0L4;P0C0L5,CO4A_HUMAN;CO4B_HUMAN,C4A;C4B,Complement C4-A,2,0,378765,399092,328364,280242
P0C0L7,PROP_ECOLI,proP,Proline/betaine transporter,1,1,53465.9,,,
P0C0R7,RLME_ECOLI,rlmE,Ribosomal RNA large subunit methyltransferase E,2,2,8792.91,,11334.2,11146.8
P0C0S1,MSCS_ECOLI,mscS,Small-conductance mechanosensitive channel,1,1,,,,
P0C0S5;Q71UI9,H2AV_HUMAN;H2AZ_HUMAN,H2AZ1;H2AZ2,Histone H2A.Z,1,0,4.78E+06,5.63E+06,5.33E+06,5.33E+06
P0C0T4;Q3E792,RS25A_YEAST;RS25B_YEAST,RPS25A;RPS25B,Small ribosomal subunit protein eS25B,2,0,90573.5,80383.9,71269.8,51448
P0C0V0,DEGP_ECOLI,degP,Periplasmic serine endoprotease DegP,12,12,42671.3,51809.8,52362.3,53953.9
P0C0V8;Q3E754,RS21A_YEAST;RS21B_YEAST,RPS21A;RPS21B,Small ribosomal subunit protein eS21A,2,0,2.24E+06,2.42E+06,2.29E+06,2.49E+06
P0C0W1,RS22A_YEAST,RPS22A,Small ribosomal subunit protein uS8A,1,0,1.21E+06,1.42E+06,1.35E+06,1.42E+06
P0C0W9;Q3E757,RL11A_YEAST;RL11B_YEAST,RPL11A;RPL11B,Large ribosomal subunit protein uL5A,2,0,2.18E+06,2.36E+06,2.22E+06,2.37E+06
P0C0X0;Q3E7X9,RS28A_YEAST;RS28B_YEAST,RPS28A;RPS28B,Small ribosomal subunit protein eS28B,2,0,555818,1.11E+06,617048,658267
P0C2H6;P0C2H7,RL27A_YEAST;RL27B_YEAST,RPL27A;RPL27B,Large ribosomal subunit protein eL27A,2,0,1.30E+06,1.41E+06,1.38E+06,1.47E+06
P0C2H8,RL31A_YEAST,RPL31A,Large ribosomal subunit protein eL31A,2,0,1.11E+06,1.21E+06,1.10E+06,1.21E+06
P0C7P0,CISD3_HUMAN,CISD3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",1,1,30252.4,25806.3,30408.1,29219.4
P0C7P3,SLN14_HUMAN,SLFN14,Protein SLFN14,1,1,,,,
P0C8J6,GATY_ECOLI,gatY,"D-tagatose-1,6-bisphosphate aldolase subunit GatY",4,4,114721,133625,105789,131755
P0C8J8,GATZ_ECOLI,gatZ,"D-tagatose-1,6-bisphosphate aldolase subunit GatZ",6,5,274929,328739,265722,205427
P0CAP2,GRL1A_HUMAN,POLR2M,DNA-directed RNA polymerase II subunit GRINL1A,2,2,,8264.59,,
P0CE47;P0CE48,EFTU1_ECOLI;EFTU2_ECOLI,tufA;tufB,Elongation factor Tu 1,8,0,5.13E+06,6.88E+06,5.27E+06,6.25E+06
P0CG12,DERPC_HUMAN,DERPC,Decreased expression in renal and prostate cancer protein,2,2,,,12611.8,13104.7
P0CG19,RNPH_ECOLI,rph,Truncated inactive ribonuclease PH,1,1,8015.65,13536.6,18041.1,8270.67
P0CG29;P0CG30,GST2_HUMAN;GSTT2_HUMAN,GSTT2;GSTT2B,Glutathione S-transferase theta-2,2,0,9280.92,15439.2,14035.4,10016
P0CS90,HSP77_YEAST,SSC1,"Import motor subunit, mitochondrial",9,8,1.92E+06,2.27E+06,2.07E+06,2.26E+06
P0CT04,IPB2_YEAST,PBI2,Protease B inhibitor 2,1,1,41002,56553,29996.3,44380.1
P0CX23;P0CX24,RL20A_YEAST;RL20B_YEAST,RPL20A;RPL20B,Large ribosomal subunit protein eL20A,2,0,371626,469957,413725,81090.1
P0CX25;P0CX26,RL43A_YEAST;RL43B_YEAST,RPL43A;RPL43B,Large ribosomal subunit protein eL43A,2,0,101230,147560,107000,119256
P0CX27;P0CX28,RL44A_YEAST;RL44B_YEAST,RPL42A;RPL42B,Large ribosomal subunit protein eL42A,1,0,,38942.1,,53017.1
P0CX35;P0CX36,RS4A_YEAST;RS4B_YEAST,RPS4A;RPS4B,Small ribosomal subunit protein eS4A,7,0,2.66E+06,3.14E+06,2.76E+06,3.12E+06
P0CX37;P0CX38,RS6A_YEAST;RS6B_YEAST,RPS6A;RPS6B,Small ribosomal subunit protein eS6A,6,0,2.21E+06,2.52E+06,2.25E+06,2.45E+06
P0CX39;P0CX40,RS8A_YEAST;RS8B_YEAST,RPS8A;RPS8B,Small ribosomal subunit protein eS8A,2,0,1.70E+06,2.08E+06,1.72E+06,2.06E+06
P0CX41;P0CX42,RL23A_YEAST;RL23B_YEAST,RPL23A;RPL23B,Large ribosomal subunit protein uL14A,2,0,31246,,,23036.7
P0CX43;P0CX44,RL1A_YEAST;RL1B_YEAST,RPL1A;RPL1B,Large ribosomal subunit protein uL1A,3,0,1.58E+06,1.96E+06,1.47E+06,1.89E+06
P0CX45;P0CX46,RL2A_YEAST;RL2B_YEAST,RPL2A;RPL2B,Large ribosomal subunit protein uL2A,2,0,941752,1.57E+06,1.03E+06,1.25E+06
P0CX47;P0CX48,RS11A_YEAST;RS11B_YEAST,RPS11A;RPS11B,Small ribosomal subunit protein uS17A,7,0,3.89E+06,4.50E+06,4.29E+06,4.66E+06
P0CX49;P0CX50,RL18A_YEAST;RL18B_YEAST,RPL18A;RPL18B,Large ribosomal subunit protein eL18A,4,0,1.90E+06,2.19E+06,1.87E+06,2.11E+06
P0CX51;P0CX52,RS16A_YEAST;RS16B_YEAST,RPS16A;RPS16B,Small ribosomal subunit protein uS9A,1,0,47378.8,,59409.2,23977.1
P0CX53;P0CX54,RL12A_YEAST;RL12B_YEAST,RPL12A;RPL12B,Large ribosomal subunit protein uL11A,2,0,1.18E+06,1.50E+06,1.31E+06,1.50E+06
P0CX55;P0CX56,RS18A_YEAST;RS18B_YEAST,RPS18A;RPS18B,Small ribosomal subunit protein uS13A,3,0,3.40E+06,3.82E+06,3.47E+06,3.80E+06
P0CX82;P0CX83,RL19A_YEAST;RL19B_YEAST,RPL19A;RPL19B,Large ribosomal subunit protein eL19A,2,0,417973,524557,516113,509389
P0CX84;P0CX85,RL35A_YEAST;RL35B_YEAST,RPL35A;RPL35B,Large ribosomal subunit protein uL29A,2,0,3.20E+06,3.61E+06,3.28E+06,3.74E+06
P0DMC7,RCSB_ECOLI,rcsB,Transcriptional regulatory protein RcsB,1,1,,,,
P0DMM9;P0DMN0,ST1A3_HUMAN;ST1A4_HUMAN,SULT1A3;SULT1A4,Sulfotransferase 1A3,2,0,116376,162519,104142,181499
P0DMV8;P0DMV9,HS71A_HUMAN;HS71B_HUMAN,HSPA1A;HSPA1B,Heat shock 70 kDa protein 1A,7,0,1.72E+06,2.14E+06,1.86E+06,2.09E+06
P0DP23;P0DP24;P0DP25,CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN,CALM1;CALM2;CALM3,Calmodulin-1,3,0,2.23E+06,2.52E+06,2.16E+06,2.39E+06
P0DP89;P0DP90,ILVGP_ECOLI;ILVG_ECOLI,ilvG,Putative acetolactate synthase isozyme 2 large subunit,1,1,72428.5,68977.5,68260.2,
P0DPB6,RPAC2_HUMAN,POLR1D,DNA-directed RNA polymerases I and III subunit RPAC2,2,2,80117.2,91179.5,89360.2,72551.4
P0DPD7;P0DPD8,EFCE2_HUMAN;EFMT4_HUMAN,EEF1AKMT4;EEF1AKMT4-ECE2,EEF1A lysine methyltransferase 4,2,0,,,4613.86,
P0DPI2,GAL3A_HUMAN,GATD3,"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",1,1,,,,
P0DTT0,BIPA_ECOLI,bipA,Large ribosomal subunit assembly factor BipA,7,7,50372.6,62783.3,54107.9,62022.9
P10080,SSBP1_YEAST,SBP1,Single-stranded nucleic acid-binding protein,2,2,217914,336770,225792,292896
P10081,IF4A_YEAST,TIF1,ATP-dependent RNA helicase eIF4A,10,9,818230,941527,804453,853938
P10100,RLPA_ECOLI,rlpA,Endolytic peptidoglycan transglycosylase RlpA,1,1,,,,
P10109,ADX_HUMAN,FDX1,"Adrenodoxin, mitochondrial",1,1,,,5414.57,5912.53
P10114;P61225;Q9Y3L5,RAP2A_HUMAN;RAP2B_HUMAN;RAP2C_HUMAN,RAP2A;RAP2B;RAP2C,Ras-related protein Rap-2a,2,0,57572,66649.2,58433.3,65213
P10121,FTSY_ECOLI,ftsY,Signal recognition particle receptor FtsY,5,5,57712.9,67725.3,45537.4,
P10155,RO60_HUMAN,RO60,RNA-binding protein RO60,5,5,256520,299199,219619,290106
P10253,LYAG_HUMAN,GAA,Lysosomal alpha-glucosidase,5,5,221844,255855,222014,260354
P10301,RRAS_HUMAN,RRAS,Ras-related protein R-Ras,1,1,,,,
P10321,HLAC_HUMAN,HLA-C,"HLA class I histocompatibility antigen, C alpha chain",4,2,163345,210782,162340,208151
P10346,GLNQ_ECOLI,glnQ,Glutamine transport ATP-binding protein GlnQ,2,2,,21830.3,,
P10356,YEY2_YEAST,YER152C,Uncharacterized protein YER152C,1,1,8692.38,5647.64,6189.97,
P10378,ENTE_ECOLI,entE,Enterobactin synthase component E,3,3,,,,
P10398,ARAF_HUMAN,ARAF,Serine/threonine-protein kinase A-Raf,8,5,1.08E+06,1.15E+06,1.12E+06,932379
P10408,SECA_ECOLI,secA,Protein translocase subunit SecA,9,9,19427.6,15035,14194.3,18409.5
P10412,H14_HUMAN,H1-4,Histone H1.4,3,1,3.71E+07,4.32E+07,3.93E+07,4.30E+07
P10515,ODP2_HUMAN,DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",3,3,200452,207916,160342,202267
P10586,PTPRF_HUMAN,PTPRF,Receptor-type tyrosine-protein phosphatase F,12,10,38685.1,44240.1,39399.2,42420.7
P10588,NR2F6_HUMAN,NR2F6,Nuclear receptor subfamily 2 group F member 6,2,2,2561.14,,2001.91,6948.37
