Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
Q02931,UTP17_YEAST,NAN1,NET1-associated nuclear protein 1,1,1,,,,
Q02932,KA120_YEAST,KAP120,Importin beta-like protein KAP120,2,2,,4789.22,4484.6,
Q02952,AKA12_HUMAN,AKAP12,A-kinase anchor protein 12,8,8,13777.3,10527.1,12326.1,12984.8
Q02978,M2OM_HUMAN,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,3,3,168088,226740,171005,223192
Q02979,GDE1_YEAST,GDE1,Glycerophosphocholine phosphodiesterase GDE1,1,1,,1255.5,,
Q03001,DYST_HUMAN,DST,Dystonin,1,1,,,,
Q03020,ISU1_YEAST,ISU1,"Iron sulfur cluster assembly protein 1, mitochondrial",1,1,5166.62,6039.09,8424.86,11868.3
Q03088,SVL3_YEAST,SVL3,Styryl dye vacuolar localization protein 3,1,1,,10971.1,10376.9,10668.6
Q03103,ERO1_YEAST,ERO1,Endoplasmic oxidoreductin-1,3,3,31688.1,44564.1,44837.9,42250.3
Q03104,MSC1_YEAST,MSC1,Meiotic sister chromatid recombination protein 1,3,3,106120,118536,132313,108442
Q03111,ENL_HUMAN,MLLT1,Protein ENL,1,1,,,,
Q03135,CAV1_HUMAN,CAV1,Caveolin-1,1,1,,,,
Q03148,SNZ1_YEAST,SNZ1,Pyridoxal 5'-phosphate synthase subunit SNZ1,4,2,104338,125760,118101,129895
Q03154,ACY1_HUMAN,ACY1,Aminoacylase-1,3,3,27519.4,22613.5,29811.3,37966
Q03161,YMY9_YEAST,YMR099C,Glucose-6-phosphate 1-epimerase,6,6,125819,142995,109910,153646
Q03164,KMT2A_HUMAN,KMT2A,Histone-lysine N-methyltransferase 2A,4,4,,,,1488.3
Q03167,TGBR3_HUMAN,TGFBR3,Transforming growth factor beta receptor type 3,1,1,13428.5,10929.5,17775.2,23268.3
Q03169,TNAP2_HUMAN,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,3,3,5524.44,9987.93,8692.25,8326.82
Q03177,YMZ2_YEAST,YMR102C,WD repeat-containing protein YMR102C,1,1,,,,
Q03178,PIR1_YEAST,PIR1,Cell wall mannoprotein PIR1,1,0,13011.6,,12840.3,20901.3
Q03188,CENPC_HUMAN,CENPC,Centromere protein C,3,3,6908.26,,,
Q03195,RLI1_YEAST,RLI1,Translation initiation factor RLI1,1,1,,,,10872.9
Q03219,YM44_YEAST,YMR178W,Uncharacterized protein YMR178W,1,1,19240,28207.4,,
Q03252,LMNB2_HUMAN,LMNB2,Lamin-B2,14,14,198075,210973,202444,224411
Q03262,PGM3_YEAST,PRM15,Phosphoribomutase,1,1,,,,404.624
Q03266,PABC_YEAST,ABZ2,Aminodeoxychorismate lyase,1,1,,,,
Q03280,TOM1_YEAST,TOM1,E3 ubiquitin-protein ligase TOM1,4,4,2550.58,,2508.54,1430.66
Q03305,RMT2_YEAST,RMT2,Protein arginine N-methyltransferase 2,1,1,35170.8,,21635.9,
Q03322,TLG1_YEAST,TLG1,t-SNARE affecting a late Golgi compartment protein 1,1,1,,,,
Q03393,PTPS_HUMAN,PTS,6-pyruvoyl tetrahydrobiopterin synthase,1,1,,10307.8,5228.27,
Q03405,UPAR_HUMAN,PLAUR,Urokinase plasminogen activator surface receptor,2,2,33158.3,51724.3,43213.6,42286.9
Q03426,KIME_HUMAN,MVK,Mevalonate kinase,1,1,,5905.4,,
Q03434;Q03612;Q12273,YE11B_YEAST;YM12B_YEAST;YO11B_YEAST,TY1B-ER1;TY1B-ML2;TY1B-OL,Transposon Ty1-ML2 Gag-Pol polyprotein,5,0,548010,665169,594102,589618
Q03468,ERCC6_HUMAN,ERCC6,DNA excision repair protein ERCC-6,5,5,11518.6,9893.21,4232.32,10574.3
Q03497,STE20_YEAST,STE20,Serine/threonine-protein kinase STE20,3,3,5842.49,4875.07,,2891.8
Q03516,RSN1_YEAST,RSN1,Uncharacterized protein RSN1,1,1,4193.77,5476.98,,10243.6
Q03518,TAP1_HUMAN,TAP1,Antigen peptide transporter 1,4,4,24469.2,26381,25280.5,37167.6
Q03519,TAP2_HUMAN,TAP2,Antigen peptide transporter 2,2,2,40153.5,57990.8,48864.3,63564
Q03529,SCS7_YEAST,SCS7,Ceramide very long chain fatty acid hydroxylase SCS7,1,1,19179.4,18150.6,29359.8,20635.6
Q03532,HAS1_YEAST,HAS1,ATP-dependent RNA helicase HAS1,5,5,34984.2,19793.5,32405.5,31389.6
Q03533,TDA1_YEAST,TDA1,Serine/threonine-protein kinase TDA1,1,1,,2983.96,,
Q03558,OYE2_YEAST,OYE2,NADPH dehydrogenase 2,8,7,541824,752544,631957,656016
Q03629,YMH9_YEAST,YML079W,Uncharacterized protein YML079W,1,1,27051.7,12391.8,19230.3,
Q03640,TCB3_YEAST,TCB3,Tricalbin-3,6,6,46221.1,58843.2,44751.3,53327.6
Q03653,EFR3_YEAST,EFR3,Protein EFR3,1,1,,,,
Q03655,GAS3_YEAST,GAS3,"Probable 1,3-beta-glucanosyltransferase GAS3",5,5,12871.3,12747,11068.4,11160.6
Q03656,SKY1_YEAST,SKY1,Serine/threonine-protein kinase SKY1,1,1,,8738.25,,5371.75
Q03661,ESC1_YEAST,ESC1,Silent chromatin protein ESC1,3,3,4928.58,,,7697.7
Q03690,CLU_YEAST,CLU1,Clustered mitochondria protein 1,17,17,363430,417399,403476,423317
Q03701,CEBPZ_HUMAN,CEBPZ,CCAAT/enhancer-binding protein zeta,9,9,96809.1,109188,111766,118661
Q03705,CG121_YEAST,CGI121,EKC/KEOPS complex subunit CGI121,2,2,2168.77,3771.92,2035.69,
Q03707,SRC1_YEAST,SRC1,Inner nuclear membrane protein SRC1,1,1,,58578.7,,81990.6
Q03713,RCF1_YEAST,RCF1,"Respiratory supercomplex factor 1, mitochondrial",1,1,,2911.03,,6520.71
Q03735,NAB6_YEAST,NAB6,RNA-binding protein NAB6,2,2,1647.18,3072.07,,1055.53
Q03761,TAF12_YEAST,TAF12,Transcription initiation factor TFIID subunit 12,1,1,3224.51,,,
Q03768,GIR2_YEAST,GIR2,Protein GIR2,3,3,7362.41,10437.8,7488.84,10806.2
Q03769,ENT5_YEAST,ENT5,Epsin-5,2,2,,1384.85,977.591,
Q03771,ACL4_YEAST,ACL4,Assembly chaperone of RPL4,1,1,1076.04,1245.98,,1049.89
Q03778,RIFK_YEAST,FMN1,Riboflavin kinase,1,1,3675.86,5284.85,3057.26,4326.11
Q03784,TRS23_YEAST,TRS23,Trafficking protein particle complex subunit 23,1,1,,,,
Q03786,GNTK_YEAST,YDR248C,Probable gluconokinase,1,1,,27097.3,12255.1,21727.4
Q03798,AIM36_YEAST,AIM36,"Altered inheritance of mitochondria protein 36, mitochondrial",2,2,,,5053.62,
Q03834,MSH6_YEAST,MSH6,DNA mismatch repair protein MSH6,2,2,307.262,,,
Q03835,GLRX3_YEAST,GRX3,Monothiol glutaredoxin-3,1,1,41826,69383.2,54745.4,56051.3
Q03862,ARX1_YEAST,ARX1,Probable metalloprotease ARX1,6,6,49352.1,57177.2,50373.2,49012.6
Q03921,DOP1_YEAST,DOP1,Protein DOP1,4,4,918.869,3025.7,,1194.14
Q03940,RUVB1_YEAST,RVB1,RuvB-like protein 1,7,7,167612,158912,161023,167962
Q03973,HMO1_YEAST,HMO1,High mobility group protein 1,1,1,81231.2,55480.7,80220.2,62157.8
Q04062,RPN9_YEAST,RPN9,26S proteasome regulatory subunit RPN9,3,3,84885.1,73592.2,79981.6,91214.1
Q04066,KFA_YEAST,BNA7,Kynurenine formamidase,1,1,5608.54,,,
Q04067,EIF3G_YEAST,TIF35,Eukaryotic translation initiation factor 3 subunit G,3,3,17719.9,17794.9,3813.18,4115.44
Q04080,GPI17_YEAST,GPI17,GPI transamidase component GPI17,1,1,,23291.1,,
Q04081,LCMT1_YEAST,PPM1,Leucine carboxyl methyltransferase 1,2,2,1922.57,3484.66,2235.63,
Q04119,PPN1_YEAST,PPN1,Endopolyphosphatase,1,1,10699.3,21520.4,,
Q04175,SXM1_YEAST,SXM1,Importin beta SMX1,5,5,44619.6,38928.2,22254.2,34293.7
Q04178,HPRT_YEAST,HPT1,Hypoxanthine-guanine phosphoribosyltransferase,5,5,150954,173432,131254,164139
Q04182,PDR15_YEAST,PDR15,ATP-dependent permease PDR15,1,1,,2442.65,2039.99,903.278
Q04206,TF65_HUMAN,RELA,Transcription factor p65,5,5,70067.7,106242,94227,69245.8
Q04212,ARA2_YEAST,ARA2,D-arabinose 1-dehydrogenase,2,2,2782.49,,,
Q04225,RRB1_YEAST,RRB1,Ribosome assembly protein RRB1,3,3,26308.8,57066.4,45276.6,55482
Q04264,PDS5_YEAST,PDS5,Sister chromatid cohesion protein PDS5,1,1,,,,
Q04304,YMY0_YEAST,YMR090W,UPF0659 protein YMR090W,4,4,118266,209621,190996,217540
Q04305,UTP15_YEAST,UTP15,U3 small nucleolar RNA-associated protein 15,1,1,,,,493.433
Q04322,GYL1_YEAST,GYL1,Probable GTPase-activating protein GYL1,4,4,2368.47,3460.89,2898.97,2887.9
Q04323,UBXN1_HUMAN,UBXN1,UBX domain-containing protein 1,3,3,213683,175331,173242,221065
Q04336,YM54_YEAST,YMR196W,Uncharacterized protein YMR196W,4,4,114994,119060,101150,113530
Q04338,VTI1_YEAST,VTI1,t-SNARE VTI1,1,1,3401.92,4958.37,,4066.93
Q04341,MIX14_YEAST,MIX14,Mitochondrial intermembrane space cysteine motif-containing protein MIX14,1,1,2873.27,6800.95,2223.61,2336.21
Q04344,HNT1_YEAST,HNT1,Adenosine 5'-monophosphoramidase HNT1,1,1,75441.2,80973.1,92008.4,103841
Q04371,ARMT1_YEAST,YMR027W,Damage-control phosphatase YMR027W,8,8,43482.9,70962,71416.9,69172.8
Q04373,PUF6_YEAST,PUF6,Pumilio homology domain family member 6,2,2,25426.7,22484.8,36568.6,18362.4
Q04409,EMI2_YEAST,EMI2,Putative glucokinase-2,6,6,203197,210131,197443,238338
Q04430,PANK_YEAST,CAB1,Pantothenate kinase CAB1,1,1,,,19906.3,19066.1
Q04432,HSP31_YEAST,HSP31,Glutathione-independent glyoxalase HSP31,1,1,10458.1,10629,8476.38,5952.42
Q04438,SPG4_YEAST,SPG4,Stationary phase protein 4,2,2,78382.8,83500.7,85205.1,96794.9
Q04439,MYO5_YEAST,MYO5,Myosin-5,6,4,14535.4,18433.1,15495.9,19695.5
Q04446,GLGB_HUMAN,GBE1,"1,4-alpha-glucan-branching enzyme",6,6,272773,335041,270272,274994
Q04458,HFD1_YEAST,HFD1,Fatty aldehyde dehydrogenase HFD1,3,3,7205.39,18864.1,20569.3,30197.7
Q04491,SEC13_YEAST,SEC13,Protein transport protein SEC13,4,4,221672,292895,207667,277233
Q04493,PFD5_YEAST,GIM5,Prefoldin subunit 5,2,2,59486.1,72551.7,71784.4,70354.1
Q04500,UTP14_YEAST,UTP14,U3 small nucleolar RNA-associated protein 14,3,3,739.018,1004.3,524.669,1090.06
Q04562,TMN2_YEAST,TMN2,Transmembrane 9 superfamily member 2,1,0,,,,
Q04600,TMA64_YEAST,TMA64,Translation machinery-associated protein 64,2,2,,,,
Q04602,VBA4_YEAST,VBA4,Vacuolar basic amino acid transporter 4,2,2,3996.27,3208.59,,6575.75
Q04603,DPB4_YEAST,DPB4,DNA polymerase epsilon subunit D,1,1,,,,8568.39
Q04632,COG8_YEAST,COG8,Conserved oligomeric Golgi complex subunit 8,1,1,,,,813.156
Q04636,POB3_YEAST,POB3,FACT complex subunit POB3,5,5,22859.6,22941.6,17646.7,13637.8
Q04637,IF4G1_HUMAN,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,17,14,395245,452220,449804,492220
Q04651,ERV41_YEAST,ERV41,ER-derived vesicles protein ERV41,1,1,,3849.59,,
Q04656,ATP7A_HUMAN,ATP7A,Copper-transporting ATPase 1,4,4,22813.6,41576.8,32462.9,43172.5
Q04660,ERB1_YEAST,ERB1,Ribosome biogenesis protein ERB1,3,3,8501.53,,,
Q04695,K1C17_HUMAN,KRT17,"Keratin, type I cytoskeletal 17",18,9,8.58E+06,1.03E+07,8.92E+06,1.00E+07
Q04697,GSF2_YEAST,GSF2,Glucose-signaling factor 2,3,3,187111,201798,186343,217750
Q04721,NOTC2_HUMAN,NOTCH2,Neurogenic locus notch homolog protein 2,6,6,2862.27,2872.25,2005.39,5265.57
Q04726,TLE3_HUMAN,TLE3,Transducin-like enhancer protein 3,4,4,79149.5,108723,108660,112281
