Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,150H100Y_1,150H100Y_2,150H100Y_3,200H50Y_1,200H50Y_2,200H50Y_3,240H10Y_1,240H10Y_2,240H10Y_3
P30038,AL4A1_HUMAN,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",4,4,21622.4,18666.8,16454,22795.7,31158.7,27814.5,18252.9,25111.8,18309.2
P30040,ERP29_HUMAN,ERP29,Endoplasmic reticulum resident protein 29,7,7,765620,795005,789200,690652,991621,961990,712600,874949,844926
P30041,PRDX6_HUMAN,PRDX6,Peroxiredoxin-6,8,8,4.46E+06,4.24E+06,4.28E+06,4.34E+06,5.85E+06,5.18E+06,4.74E+06,4.61E+06,4.66E+06
P30043,BLVRB_HUMAN,BLVRB,Flavin reductase (NADPH),3,3,652015,578463,544145,624762,766973,735435,592864,666635,676827
P30044,PRDX5_HUMAN,PRDX5,"Peroxiredoxin-5, mitochondrial",9,9,1.33E+06,1.09E+06,1.01E+06,1.19E+06,1.69E+06,1.48E+06,1.29E+06,1.17E+06,1.25E+06
P30046,DOPD_HUMAN,DDT,D-dopachrome decarboxylase,3,1,709442,531052,455891,474100,737651,611912,575489,552500,526291
P30047,GFRP_HUMAN,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,2,2,193091,121076,115333,129175,183017,118060,154181,134241,136725
P30048,PRDX3_HUMAN,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",5,5,1.30E+06,1.27E+06,1.27E+06,1.30E+06,1.75E+06,1.86E+06,1.28E+06,1.34E+06,1.40E+06
P30049,ATPD_HUMAN,ATP5F1D,"ATP synthase subunit delta, mitochondrial",1,1,610895,759434,849114,651418,719724,923249,609338,806092,817940
P30050,RL12_HUMAN,RPL12,Large ribosomal subunit protein uL11,5,4,7.31E+06,6.84E+06,6.37E+06,5.81E+06,7.71E+06,7.12E+06,4.86E+06,5.77E+06,5.44E+06
P30084,ECHM_HUMAN,ECHS1,"Enoyl-CoA hydratase, mitochondrial",11,11,657952,457725,463489,533359,786213,578471,573803,512943,500667
P30085,KCY_HUMAN,CMPK1,UMP-CMP kinase,10,9,443897,426116,388888,410679,570754,522526,434311,407356,442106
P30086,PEBP1_HUMAN,PEBP1,Phosphatidylethanolamine-binding protein 1,4,4,1.73E+06,1.28E+06,1.27E+06,1.38E+06,1.95E+06,1.58E+06,1.51E+06,1.57E+06,1.44E+06
P30101,PDIA3_HUMAN,PDIA3,Protein disulfide-isomerase A3,16,16,3.39E+06,3.77E+06,3.98E+06,3.22E+06,4.72E+06,4.73E+06,4.10E+06,4.07E+06,3.87E+06
P30153,2AAA_HUMAN,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,16,12,502007,484278,457396,489420,638689,564396,518338,539536,526064
P30154,2AAB_HUMAN,PPP2R1B,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,7,7,33533.9,30286.9,28508.9,24386.1,33975.7,35778.8,28008.9,29172.9,30997.9
P30260,CDC27_HUMAN,CDC27,Cell division cycle protein 27 homolog,6,6,64768.4,55477.1,68470,66527.1,81277.8,87331.7,54118.2,70753.2,71021
P30405,PPIF_HUMAN,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",2,2,274738,220989,203181,254468,304167,245175,201205,236827,248997
P30414,NKTR_HUMAN,NKTR,NK-tumor recognition protein,10,10,6460.38,8786.82,6456.51,9375.74,9101.81,10731.5,10700.4,9429.59,9411.78
P30419,NMT1_HUMAN,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,5,5,183175,177634,185595,165673,219870,200962,214133,212278,202619
P30519,HMOX2_HUMAN,HMOX2,Heme oxygenase 2,4,4,134605,130276,127548,139640,158519,159314,131640,147809,162959
P30520,PURA2_HUMAN,ADSS2,Adenylosuccinate synthetase isozyme 2,9,8,259306,199731,199763,204440,292859,234271,213537,214868,226989
P30530,UFO_HUMAN,AXL,Tyrosine-protein kinase receptor UFO,1,1,,,,9301.64,,3422.6,942.558,6680.59,
P30533,AMRP_HUMAN,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,4,4,39450.9,47465.1,45012.1,34202.3,58146.2,59908.8,38288.3,42799.9,46110.6
P30566,PUR8_HUMAN,ADSL,Adenylosuccinate lyase,4,4,164827,235740,238503,201413,277730,288904,265250,235654,228804
P30619,SEC1_YEAST,SEC1,Protein transport protein SEC1,4,4,30253.3,32033.8,25789.2,17930.1,15552,20873.1,,,9892.39
P30622,CLIP1_HUMAN,CLIP1,CAP-Gly domain-containing linker protein 1,25,24,497106,563429,525055,512501,670969,650289,494547,551346,514194
P30624,LCF1_YEAST,FAA1,Long-chain-fatty-acid--CoA ligase 1,11,11,419442,378437,354219,144213,212033,179089,38627.7,42701.7,33743.8
P30626,SORCN_HUMAN,SRI,Sorcin,9,9,192480,214247,193901,199519,248087,261079,197680,256706,239274
P30656,PSB5_YEAST,PRE2,Proteasome subunit beta type-5,7,7,226795,229455,208219,103241,98054.8,96012.5,14293.3,23099.4,19343.8
P30665,MCM4_YEAST,MCM4,DNA replication licensing factor MCM4,7,7,29458.7,29424.5,26565.2,14467.4,16544.3,17522.2,2950.65,4406.21,6390.54
P30740,ILEU_HUMAN,SERPINB1,Leukocyte elastase inhibitor,11,10,538061,519587,527580,525409,707256,659529,503323,563729,558143
P30771,RENT1_YEAST,NAM7,ATP-dependent helicase NAM7,6,6,15930.9,19722.2,18862.4,5439.7,9750.46,6787.85,4155.71,,1892.77
P30822,XPO1_YEAST,CRM1,Exportin-1,7,7,225843,204776,163256,74893.8,107898,93194.4,21739.8,24386.5,23936.1
P30825,CTR1_HUMAN,SLC7A1,High affinity cationic amino acid transporter 1,3,3,94081.8,89102.2,69061.1,66683.1,112964,86843.4,89957.5,82150.6,87938
P30837,AL1B1_HUMAN,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",8,8,111618,91824.2,87991,113371,130159,111074,102814,109113,101719
P30838,AL3A1_HUMAN,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",2,2,,,,2998.39,4768.37,6079.89,,3917.74,2620.26
P30876,RPB2_HUMAN,POLR2B,DNA-directed RNA polymerase II subunit RPB2,12,11,149625,123934,120101,125605,156102,130651,98389.4,106730,94457.1
P30902,ATP7_YEAST,ATP7,"ATP synthase subunit d, mitochondrial",1,1,21099.9,17033.9,13711.6,7478.01,13086,9984.86,,,
P31025;Q5VSP4,LC1L1_HUMAN;LCN1_HUMAN,LCN1;LCN1P1,Lipocalin-1,1,0,13240.5,,,12737,13049.9,,15416.4,12725.2,13691.5
P31040,SDHA_HUMAN,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",14,13,522239,571675,533718,554276,662048,644731,503657,598642,586318
P31109,SNC1_YEAST,SNC1,Synaptobrevin homolog 1,1,1,48115.4,41160.5,42100.2,20282.2,22200.3,28500.6,,3542.61,
P31116,DHOM_YEAST,HOM6,Homoserine dehydrogenase,10,10,1.70E+06,1.84E+06,1.80E+06,675877,898814,868594,187466,191982,194252
P31146,COR1A_HUMAN,CORO1A,Coronin-1A,2,2,6753.98,6118.23,6320.68,4940.83,9343.26,8561.87,5848.45,5611.46,6380.15
P31150,GDIA_HUMAN,GDI1,Rab GDP dissociation inhibitor alpha,5,5,169705,162928,147038,158752,208958,193111,148028,193074,179554
P31151,S10A7_HUMAN,S100A7,Protein S100-A7,1,1,,13159.9,14954.7,12203.8,,14117.7,17822,,9671.46
P31153,METK2_HUMAN,MAT2A,S-adenosylmethionine synthase isoform type-2,10,8,3.82E+06,3.51E+06,3.36E+06,3.56E+06,4.49E+06,3.91E+06,2.94E+06,3.44E+06,3.02E+06
P31271;P31276,HXA13_HUMAN;HXC13_HUMAN,HOXA13;HOXC13,Homeobox protein Hox-A13,1,0,10374.7,,15932,,13141.3,17509.5,17152.6,10904.5,12770.2
P31327,CPSM_HUMAN,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",42,42,3.23E+06,2.93E+06,2.78E+06,3.17E+06,4.09E+06,3.41E+06,2.79E+06,3.05E+06,2.97E+06
