Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,150H100Y_1,150H100Y_2,150H100Y_3,200H50Y_1,200H50Y_2,200H50Y_3,240H10Y_1,240H10Y_2,240H10Y_3
Q01831,XPC_HUMAN,XPC,DNA repair protein complementing XP-C cells,6,6,30849.8,29149.6,28133,32207,37338.6,32817.5,35391.2,32616.7,34984.4
Q01844,EWS_HUMAN,EWSR1,RNA-binding protein EWS,3,3,497390,645292,612356,566868,790406,780823,654610,670567,686390
Q01852,TIM44_YEAST,TIM44,Mitochondrial import inner membrane translocase subunit TIM44,6,6,161306,180800,181188,68842.4,80225.7,78037.1,17527.4,16225.2,17188.2
Q01855,RS15_YEAST,RPS15,Small ribosomal subunit protein uS19,4,4,2.96E+06,4.21E+06,4.37E+06,1.27E+06,2.28E+06,2.06E+06,376499,415007,422201
Q01896;Q12691,ATN2_YEAST;ATN5_YEAST,ENA2;ENA5,Sodium/potassium exporting P-type ATPase 2,1,0,33454.2,37856.3,36204.6,8035.17,18094.4,19340.3,,,
Q01939,PRS8_YEAST,RPT6,26S proteasome regulatory subunit 8 homolog,6,6,209267,191721,190599,72370.6,125923,99258.3,25197.9,27529.5,22270.3
Q01968,OCRL_HUMAN,OCRL,Inositol polyphosphate 5-phosphatase OCRL,11,11,31202.1,40651.2,30404.9,35730,40082.6,44803.8,33393.3,37523.8,36531.4
Q01970,PLCB3_HUMAN,PLCB3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",13,13,64299.7,56361.4,58483.6,69904.5,97921.1,84513.3,65138.8,63774.4,58925.2
Q01976,ADPP_YEAST,YSA1,ADP-ribose pyrophosphatase,1,1,137180,104269,94435.2,,59335.1,,,,
Q01995,TAGL_HUMAN,TAGLN,Transgelin,2,2,1758.8,1828.4,,2318.31,2410.72,,,1261.08,948.485
Q02040,AK17A_HUMAN,AKAP17A,A-kinase anchor protein 17A,11,11,45005.7,47600.1,55289.7,47621.3,58621.4,59252.1,55278.9,59430.7,51745.9
Q02046,MTD1_YEAST,MTD1,Methylenetetrahydrofolate dehydrogenase [NAD(+)],5,5,132486,149063,138394,54963.6,79955.9,63698.8,10839.7,14907.3,14298.9
Q02083,NAAA_HUMAN,NAAA,N-acylethanolamine-hydrolyzing acid amidase,1,1,11017.4,11778.2,,,,,,16176.2,14654.8
Q02086,SP2_HUMAN,SP2,Transcription factor Sp2,1,1,4159.25,5977.96,8092.09,4339.79,7932.54,10513.2,6984.29,10092.6,7668.27
Q02100,SKO1_YEAST,SKO1,CRE-binding bZIP protein SKO1,2,2,13914.4,11481.3,27632.3,,,,,,
Q02127,PYRD_HUMAN,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",4,4,49210.8,43549.4,37125.7,35931.7,53613.1,48573.6,38457.7,45624.2,43667.5
Q02159,UBC7_YEAST,UBC7,Ubiquitin-conjugating enzyme E2 7,2,2,112740,122312,108495,44926.5,62987.6,58793.3,12227.8,,3027.05
Q02196,KAPS_YEAST,MET14,Adenylyl-sulfate kinase,2,2,84742.1,90827.5,111898,,56535,51869.1,,,
Q02197,NAA35_YEAST,MAK10,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",1,1,,,64.5101,,,,,,
Q02199,NUP49_YEAST,NUP49,Nucleoporin NUP49/NSP49,3,3,32888.7,28375.4,45172.2,11142.1,18308.7,11673.5,,7706.76,6821.31
Q02201,OSH6_YEAST,OSH6,Oxysterol-binding protein homolog 6,7,6,46171.3,47958.4,43701.4,18493.7,20765.9,19059.3,,7444.99,7209.95
Q02206,RSC4_YEAST,RSC4,Chromatin structure-remodeling complex subunit RSC4,3,3,36375.5,32642.5,34702,13553.1,14454.8,11042.2,,3223.11,
Q02218,ODO1_HUMAN,OGDH,2-oxoglutarate dehydrogenase complex component E1,17,11,210716,185629,192254,183908,267837,233787,216592,210927,198076
Q02241,KIF23_HUMAN,KIF23,Kinesin-like protein KIF23,9,9,24350.1,22052.7,23336.1,23734.2,30593.5,30826.9,24437.1,29180.1,27713.9
Q02252,MMSA_HUMAN,ALDH6A1,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial",11,11,81982.4,70033.7,64906,83192,94376.8,78192.4,73545.5,81615.4,78283.5
Q02256,PVH1_YEAST,YVH1,Tyrosine-protein phosphatase YVH1,2,2,12547.8,11077.7,9409.53,4958.68,4631.57,6475.15,,,
Q02326,RL6A_YEAST,RPL6A,Large ribosomal subunit protein eL6A,2,2,1.21E+06,1.77E+06,1.39E+06,599930,848792,749001,139679,156996,165430
Q02354,UTP6_YEAST,UTP6,U3 small nucleolar RNA-associated protein 6,5,5,14517.6,20538.1,16434.8,5647.59,5663.59,7114.44,,,
Q02388,CO7A1_HUMAN,COL7A1,Collagen alpha-1(VII) chain,13,13,15087.2,16685.9,19391,19708.8,21617.4,21232.1,17197.5,21434.1,18688.8
Q02455,MLP1_YEAST,MLP1,Protein MLP1,22,22,32598.5,30110.4,31986.7,15002.8,16911.9,15411.4,,5677.26,4648.32
Q02457,TBF1_YEAST,TBF1,Protein TBF1,4,4,18059.4,19993.8,21161.3,7997.5,7665.75,8339.85,,,
Q02486,ABF2_YEAST,ABF2,"ARS-binding factor 2, mitochondrial",3,3,238214,305438,304536,104830,139417,148228,31170,37414.6,28624.7
Q02509,OC90_HUMAN,OC90,Otoconin-90,1,1,26857.1,17635.7,17333.2,26325.5,,25837.7,22326.2,20484,20166.7
Q02535,ID3_HUMAN,ID3,DNA-binding protein inhibitor ID-3,2,2,,,,4285.49,8993.77,,4557.82,7734.98,4428.25
Q02543,RL18A_HUMAN,RPL18A,Large ribosomal subunit protein eL20,4,4,2.41E+06,2.83E+06,2.73E+06,2.65E+06,3.35E+06,3.36E+06,2.29E+06,3.25E+06,3.28E+06
Q02555,RNT1_YEAST,RNT1,Ribonuclease 3,1,1,6328.22,5675.31,8976.41,,10351.1,,,,
Q02629,NU100_YEAST,NUP100,Nucleoporin NUP100/NSP100,1,1,7535.56,10288.1,10764.5,3658.32,4968.94,3238.6,,,
Q02630,NU116_YEAST,NUP116,Nucleoporin NUP116/NSP116,4,4,33161,32682.6,36621.1,12544.1,22034.8,15148,,5201.17,
Q02642,NACB1_YEAST,EGD1,Nascent polypeptide-associated complex subunit beta-1,1,1,83285,63971.2,55855.4,18061.5,30719.6,31756.6,,,
Q02648,TRM44_YEAST,TRM44,tRNA (uracil-O(2)-)-methyltransferase,1,1,14354.4,8074.68,10322,6781.18,7649.81,5866.82,,,
Q02725,VTC3_YEAST,VTC3,Vacuolar transporter chaperone 3 complex subunit 3,16,16,535310,491467,464298,216137,257441,246973,56340.1,48678.3,55232.6
Q02750,MP2K1_HUMAN,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,3,3,67273.9,61987.5,63435.3,71910.8,108492,69756.1,62546.4,61735.5,59315.1
Q02753;Q12672,RL21A_YEAST;RL21B_YEAST,RPL21A;RPL21B,Large ribosomal subunit protein eL21A,1,0,2.30E+06,2.96E+06,3.14E+06,1.06E+06,1.35E+06,1.44E+06,218765,317118,325214
Q02771,PT117_YEAST,PET117,"Protein PET117, mitochondrial",1,1,18906.1,23438,15766.6,12225.3,,13612.4,,,
Q02772,PT191_YEAST,PET191,Mitochondrial protein PET191,1,1,23350.3,24617.8,18420.5,,,,2062.17,,4492.74
Q02774,SHR3_YEAST,SHR3,Secretory component protein SHR3,1,1,79488.5,82002.6,101288,36419.3,48216.1,45727.8,11871.6,6846.41,9072.41
Q02776,TIM50_YEAST,TIM50,Mitochondrial import inner membrane translocase subunit TIM50,8,8,484824,471201,422983,213320,228087,207100,66729.9,86340.2,39465.3
Q02784,GLRX5_YEAST,GRX5,"Monothiol glutaredoxin-5, mitochondrial",1,1,27333.4,29570.1,26740.7,,11667.9,,,,
Q02790,FKBP4_HUMAN,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,19,19,984536,963736,974126,967874,1.30E+06,1.21E+06,1.08E+06,1.11E+06,1.08E+06
Q02792,XRN2_YEAST,RAT1,5'-3' exoribonuclease 2,5,5,9645.67,8369.5,11960.4,4154.69,2600.53,5738.04,,1110.94,
Q02793,SKI8_YEAST,SKI8,Antiviral protein SKI8,2,2,43759.5,34282.7,35427.4,14002,18970.8,11337.7,,,
Q02795,OSTD_YEAST,SWP1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit SWP1,5,5,204026,151970,151949,77609.7,102657,91757.6,28308.8,,32683.1
Q02799,LEE1_YEAST,LEE1,Zinc finger protein LEE1,1,1,6786.18,6696.09,5350.76,,,6639.2,,,
Q02805,ROD1_YEAST,ROD1,Protein ROD1,1,1,,9298.24,8180.19,3978.83,2433.03,,,,
Q02809,PLOD1_HUMAN,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",13,13,311168,317227,316546,299457,399192,394731,335002,369583,349811
Q02818,NUCB1_HUMAN,NUCB1,Nucleobindin-1,10,10,115210,144236,143883,124491,156832,166161,128207,153686,143952
Q02821,IMA1_YEAST,SRP1,Importin subunit alpha,6,6,216047,237016,226491,78906.8,107040,104211,26982.2,23314.8,16920
Q02863,UBP16_YEAST,UBP16,Ubiquitin carboxyl-terminal hydrolase 16,1,1,,,549.323,,,,,,
Q02866,MUK1_YEAST,MUK1,Protein MUK1,7,7,14719.5,16202.7,21820.8,3166.7,5857.97,7901.92,,,3756.55
Q02875,SYH1_YEAST,SYH1,SMY2 homolog 2,4,4,18296.7,21146.3,27303.5,9239.01,14273.5,6463.94,2814.98,,6037.32
Q02878,RL6_HUMAN,RPL6,Large ribosomal subunit protein eL6,11,11,2.62E+06,3.12E+06,2.91E+06,2.75E+06,3.55E+06,3.63E+06,2.84E+06,3.31E+06,3.34E+06
Q02880,TOP2B_HUMAN,TOP2B,DNA topoisomerase 2-beta,23,17,230145,223079,211962,238979,292870,277414,248702,253500,253485
Q02887,ATG21_YEAST,ATG21,Autophagy-related protein 21,2,2,2723.11,2120.12,1809.08,,1481.17,,,,
Q02888,INA17_YEAST,INA17,Inner membrane assembly complex subunit 17,1,1,,16662.8,23940.9,,,,,,
Q02890,PNG1_YEAST,PNG1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,1,1,7735.8,5824.31,6424.47,1790,3710.79,3362.95,,,416.635
Q02892,NOG1_YEAST,NOG1,Nucleolar GTP-binding protein 1,7,7,279373,222368,179248,112535,159368,193831,63004.7,188040,
Q02908,ELP3_YEAST,ELP3,Elongator complex protein 3,3,3,21094,18584.4,21146,8292.1,10305,9441.18,,,
Q02931,UTP17_YEAST,NAN1,NET1-associated nuclear protein 1,5,5,31182.2,21545.4,24637.3,10281.7,18544,10476.5,,,
Q02932,KA120_YEAST,KAP120,Importin beta-like protein KAP120,2,2,160531,218552,218395,140598,201343,,210162,201736,138538
Q02939,TFB2_YEAST,TFB2,General transcription and DNA repair factor IIH subunit TFB2,3,3,7279.19,11775.3,11521.2,3128.74,5737.08,4517.43,1287.71,2344.55,
Q02952,AKA12_HUMAN,AKAP12,A-kinase anchor protein 12,3,3,3721.91,4439.06,2668.12,3914.89,4484.75,2307.79,2592.69,4094.77,3070.2
Q02959,HOS3_YEAST,HOS3,Histone deacetylase HOS3,4,4,15384.3,18423.5,15033.4,5426.44,10093.5,6520.42,,,
Q02969,PEX25_YEAST,PEX25,Peroxisomal membrane protein PEX25,1,1,5292.39,3558.75,2117.5,,,3523.53,,,
Q02978,M2OM_HUMAN,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,7,7,227599,187578,185429,174964,261327,229074,226527,209038,198905
Q02979,GDE1_YEAST,GDE1,Glycerophosphocholine phosphodiesterase GDE1,5,5,7974.17,10986.1,9862.2,5282.3,7352.81,5248.55,,,
Q03001,DYST_HUMAN,DST,Dystonin,9,9,13347.3,8952.6,11449.1,12024.5,14399.3,17907.8,8618.78,9663.46,11918.1
Q03010,UME1_YEAST,UME1,Transcriptional regulatory protein UME1,2,2,23494.4,20963.6,21762.8,5411.71,8926.53,4137.68,,,
Q03012,SPP1_YEAST,SPP1,COMPASS component SPP1,1,1,1849.86,,,,,,,,
Q03016,GIP3_YEAST,GIP3,GLC7-interacting protein 3,4,4,13952,12917.1,15323.2,4934.44,,6862.53,,,
Q03020,ISU1_YEAST,ISU1,"Iron sulfur cluster assembly protein 1, mitochondrial",1,1,59262.7,76605.3,51924.4,16771,29743.5,33356,7177.28,,9684.93
Q03034,FDC1_YEAST,FDC1,Ferulic acid decarboxylase 1,2,2,27392.7,23917.8,16527.7,6451.89,9326.91,11119.4,,7076.66,
Q03048,COFI_YEAST,COF1,Cofilin,3,3,688394,751568,739120,261360,426567,329936,,103547,79457
Q03063,DIG1_YEAST,DIG1,Down-regulator of invasive growth 1,4,4,6121.32,8140.24,10246.6,3364.88,3109.28,2166.61,,,
Q03088,SVL3_YEAST,SVL3,Styryl dye vacuolar localization protein 3,2,2,31506.8,26287,22240.4,10796.9,12284.1,20915.9,1176.37,,1289.99
Q03102,YMN1_YEAST,YML131W,Uncharacterized membrane protein YML131W,2,2,71370.3,90860.9,88497.9,35336,50813.6,51200.9,,,
Q03103,ERO1_YEAST,ERO1,Endoplasmic oxidoreductin-1,5,5,79434.5,82092.1,72038.8,27820,32911.2,31597.2,7554.79,7588.86,10703.8
Q03104,MSC1_YEAST,MSC1,Meiotic sister chromatid recombination protein 1,6,6,306085,289548,244773,104825,139672,146658,33092.1,33398.2,28032.6
Q03111,ENL_HUMAN,MLLT1,Protein ENL,3,3,17824.2,59705.2,30232.1,53886.3,47223.5,55630.6,57187.5,63478.2,28360.6
Q03124,RSC9_YEAST,RSC9,Chromatin structure-remodeling complex subunit RSC9,3,3,15239.5,12407.1,13479.1,5358.42,9419.69,5015.42,,,1913.18
Q03135,CAV1_HUMAN,CAV1,Caveolin-1,2,2,13691.2,12833.9,12566.6,12987.5,16593.7,20848.5,15202.8,12313.7,14604
Q03144,SNO1_YEAST,SNO1,Pyridoxal 5'-phosphate synthase subunit SNO1,1,1,16789.1,19431.4,16450.5,,5533.79,9191.62,,2182.68,
Q03148,SNZ1_YEAST,SNZ1,Pyridoxal 5'-phosphate synthase subunit SNZ1,5,3,534002,481313,469144,186154,248691,208547,52259.2,44541.6,44661.3
Q03154,ACY1_HUMAN,ACY1,Aminoacylase-1,6,6,15808.5,15785.2,16158.1,18011.9,25682,25121,20196.8,17145,17751
Q03161,YMY9_YEAST,YMR099C,Glucose-6-phosphate 1-epimerase,10,10,250157,220582,205147,83967.5,107838,104512,31402.3,33193.5,32821.3
Q03164,KMT2A_HUMAN,KMT2A,Histone-lysine N-methyltransferase 2A,13,12,5709.11,7334.19,4818.49,6119.56,7766.74,7582.9,7290.8,8072.68,7546.41
Q03167,TGBR3_HUMAN,TGFBR3,Transforming growth factor beta receptor type 3,2,2,36756.8,37088.1,30715.1,33981.1,37706.2,35773.3,31017.7,32311.5,30502.2
Q03169,TNAP2_HUMAN,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,9,9,26455.6,23998.5,21513.6,26359.1,34182.3,32767.1,21668.2,27469.5,26204.4
Q03177,YMZ2_YEAST,YMR102C,WD repeat-containing protein YMR102C,4,4,13881.1,21768.9,20921,7128.9,9304.48,9725.5,2990.43,3718.59,4537.27
Q03180,PIR3_YEAST,PIR3,Cell wall mannoprotein PIR3,1,0,37180.3,57840,59885.2,16593.7,25675.5,23129.5,5554.65,1960.8,5775.35
Q03188,CENPC_HUMAN,CENPC,Centromere protein C,10,10,5656.19,10381.8,6323.99,6335.99,10052.8,7551.9,7393.48,7732.39,9428.83
Q03195,RLI1_YEAST,RLI1,Translation initiation factor RLI1,5,5,93096.6,77447.2,71054.6,29179.6,47411.9,30928.4,14958.9,11858.2,7456.67
Q03219,YM44_YEAST,YMR178W,Uncharacterized protein YMR178W,2,2,68420.3,34374.3,51333.7,30687.4,48620.3,40689.7,19044.4,20148.9,
Q03233,ADD37_YEAST,ADD37,Alpha1-proteinase inhibitor-degradation deficient protein 37,2,2,11573.9,14012.9,16635.7,,5139.51,5661.15,,,2367.09
Q03252,LMNB2_HUMAN,LMNB2,Lamin-B2,16,16,270092,278087,261568,291478,343463,337505,259960,277028,279505
Q03262,PGM3_YEAST,PRM15,Phosphoribomutase,2,2,30157.6,36527.8,36716.9,14000.4,19280,12994.1,,13151.3,
Q03266,PABC_YEAST,ABZ2,Aminodeoxychorismate lyase,1,1,17851.1,17597.3,17127.2,,,7552.83,,,
Q03280,TOM1_YEAST,TOM1,E3 ubiquitin-protein ligase TOM1,13,13,29000.5,36208.5,31798.6,10959.6,16561.3,18340.4,6689.63,,
Q03290,TFB3_YEAST,TFB3,RNA polymerase II transcription factor B subunit 3,2,2,20903.8,,,,,,,,
Q03305,RMT2_YEAST,RMT2,Protein arginine N-methyltransferase 2,2,2,40444.3,20353.1,24547.6,11134.1,12199.8,12567.8,,,
Q03306,PKH3_YEAST,PKH3,Serine/threonine-protein kinase PKH3,2,2,7927.35,11399.1,7140.01,,3672.55,2843.87,,,
Q03308,VPS16_YEAST,VPS16,Vacuolar protein sorting-associated protein 16,1,1,43034.5,52602.1,19219.5,,,,,,
Q03322,TLG1_YEAST,TLG1,t-SNARE affecting a late Golgi compartment protein 1,1,1,40732,31109.6,24308.9,11734.2,21456,,,,
Q03323,SDC1_YEAST,SDC1,COMPASS component SDC1,1,1,24276.7,20627.5,22328.6,9533.83,14943.5,11731.3,,,4589.16
Q03330,GCN5_YEAST,GCN5,Histone acetyltransferase GCN5,1,1,13347.1,30116.3,,,17284.7,9196.63,,,
Q03337,TRS31_YEAST,TRS31,Trafficking protein particle complex subunit 31,4,4,11618.3,21420.7,19123.5,6760.31,6752.35,6037.47,,,
Q03362,YD476_YEAST,YDR476C,Uncharacterized protein YDR476C,2,2,66737.4,51721,49392.2,27593.6,33723.7,21168.2,,,
Q03375,CWC21_YEAST,CWC21,Pre-mRNA-splicing factor CWC21,1,1,9828.95,15375.3,9788.76,3417.89,,,,,
Q03393,PTPS_HUMAN,PTS,6-pyruvoyl tetrahydrobiopterin synthase,1,1,26951.1,15789.1,15301.4,20521,26697.1,34884.8,15168.5,12419.3,15079.4
Q03405,UPAR_HUMAN,PLAUR,Urokinase plasminogen activator surface receptor,3,3,49195.8,55432.6,52032.7,52852.1,77911.7,75590.6,62929.6,67951.4,67085.4
Q03407,PKH1_YEAST,PKH1,Serine/threonine-protein kinase PKH1,3,3,7517.61,7156.18,8907.61,5854.29,7215.5,6517.88,,,
Q03426,KIME_HUMAN,MVK,Mevalonate kinase,5,5,16329.3,14973.5,14692.5,13255,27994.8,26256.8,22019.1,16793.6,18778.6
Q03435,NHP10_YEAST,NHP10,Non-histone protein 10,1,1,299625,243184,289660,45461.8,,99082.5,,,
Q03441,RMD1_YEAST,RMD1,Sporulation protein RMD1,1,1,2895.17,11157.1,,2517,3102.89,3647.89,,,
Q03455,MSC2_YEAST,MSC2,Probable zinc transporter MSC2,1,1,,6018.84,,,5002.86,,,,
Q03468,ERCC6_HUMAN,ERCC6,DNA excision repair protein ERCC-6,13,13,31287.1,29487.4,27340,32276.3,29899.7,36663.4,28081.2,30142.7,30032.9
Q03496,THADA_YEAST,TRM732,tRNA (32-2'-O)-methyltransferase regulator TRM732,1,1,7305.45,,3227.95,,,,,,
Q03497,STE20_YEAST,STE20,Serine/threonine-protein kinase STE20,6,6,25366.5,31370.6,29222.6,12747.4,11689.2,9348.46,2975.3,,
Q03516,RSN1_YEAST,RSN1,Uncharacterized protein RSN1,2,2,7372.47,11162.8,7854.97,,5864.54,3801.56,,,
Q03518,TAP1_HUMAN,TAP1,Antigen peptide transporter 1,5,5,45334.2,48062.1,52116.4,48219.6,62159.7,56374.3,51288.3,55377.4,55844.6
Q03519,TAP2_HUMAN,TAP2,Antigen peptide transporter 2,7,7,79116.8,75992.8,69424.7,74883,93587.2,92912.5,84352.5,79682.8,77381.7
Q03525,TMA23_YEAST,TMA23,Protein TMA23,1,1,862.721,1526.8,1613.04,742.997,591.736,,,,
Q03529,SCS7_YEAST,SCS7,Ceramide very long chain fatty acid hydroxylase SCS7,3,3,138118,107344,98299.3,48920.1,80126.6,69155.5,,8056.81,9495.24
Q03532,HAS1_YEAST,HAS1,ATP-dependent RNA helicase HAS1,7,7,62412.5,59666.9,66175.6,25554.6,30517.4,29044.8,7671.46,10272.1,5196.25
Q03533,TDA1_YEAST,TDA1,Serine/threonine-protein kinase TDA1,5,5,84772.3,92155.7,88381.3,34571.6,41494.8,46939,21684,9127.4,20893.1
Q03558,OYE2_YEAST,OYE2,NADPH dehydrogenase 2,11,10,1.47E+06,1.49E+06,1.52E+06,610997,749776,691321,169603,173709,157779
Q03559,YM8V_YEAST,YMR295C,Uncharacterized protein YMR295C,1,1,6487,,7025.17,,,,,,1447.25
Q03629,YMH9_YEAST,YML079W,Uncharacterized protein YML079W,1,1,116001,117969,94915.1,41097.4,45281.3,50978.7,,13984,
Q03640,TCB3_YEAST,TCB3,Tricalbin-3,12,12,168205,121276,116562,48565.9,70261.5,62412.6,16306.4,12665.9,14616.9
Q03648,YM59_YEAST,YMR209C,Uncharacterized protein YMR209C,2,2,7697.04,6115.02,,2764.37,3777.77,4313.89,,,2485.32
Q03653,EFR3_YEAST,EFR3,Protein EFR3,4,4,30042.4,36779.1,41429.2,10036.4,20102,17879.3,,,
Q03655,GAS3_YEAST,GAS3,"Probable 1,3-beta-glucanosyltransferase GAS3",7,7,94127.1,96373.8,91100.9,31657.9,49282.9,39005,10652.4,7823.21,5398.28
Q03656,SKY1_YEAST,SKY1,Serine/threonine-protein kinase SKY1,4,4,28429.2,27201.5,27617.9,13357.4,13752,7964.85,,,
Q03661,ESC1_YEAST,ESC1,Silent chromatin protein ESC1,9,9,21491.6,26576.7,22261.7,7001.21,10463.8,12275,,,2282.58
Q03674,PLB2_YEAST,PLB2,Lysophospholipase 2,2,2,53484.1,25798.2,18793.7,20196.8,,5194.63,,,
Q03677,MTND_YEAST,ADI1,Acireductone dioxygenase,1,1,7195.52,9377.53,9992.97,,,5064.08,,,
Q03690,CLU_YEAST,CLU1,Clustered mitochondria protein 1,21,21,506466,504336,528416,185804,256182,248707,49311.8,60549.6,47609.4
Q03701,CEBPZ_HUMAN,CEBPZ,CCAAT/enhancer-binding protein zeta,16,16,126927,104091,118166,127267,146875,126246,126897,124764,119078
Q03705,CG121_YEAST,CGI121,EKC/KEOPS complex subunit CGI121,1,1,28268.4,26308.7,24034.4,13132.5,15707.3,13700.2,,2400.59,2852.31
Q03707,SRC1_YEAST,SRC1,Inner nuclear membrane protein SRC1,2,2,16212.9,12275.7,10544.5,6851.35,8747.06,6414.92,5390.74,,2718.48
Q03713,RCF1_YEAST,RCF1,"Respiratory supercomplex factor 1, mitochondrial",1,1,29219.7,49070.5,48714.8,3407.77,19028.2,17194.7,,,
Q03735,NAB6_YEAST,NAB6,RNA-binding protein NAB6,9,9,35260.8,43869,45543,15597.6,19485.4,19552.9,11741.6,7139.12,9463.67
Q03750,TAF8_YEAST,TAF8,Transcription initiation factor TFIID subunit 8,1,1,9647.26,10216,6450.46,,6696.8,4546.64,,,
Q03761,TAF12_YEAST,TAF12,Transcription initiation factor TFIID subunit 12,4,4,27564.3,31015.5,33041.2,10389.7,12308.8,15750.5,,,
Q03768,GIR2_YEAST,GIR2,Protein GIR2,4,4,77771.2,106713,98398.3,36247.3,44655.8,37388.2,9693.12,10430.9,7587.91
Q03769,ENT5_YEAST,ENT5,Epsin-5,3,3,57172.5,39837.3,44201.8,17206,25074.3,17445,15686.8,,6499.33
Q03771,ACL4_YEAST,ACL4,Assembly chaperone of RPL4,2,2,32514.3,44720.3,41929.2,10132.6,16649.4,23105.8,3114.85,,3690.36
Q03772,CWC15_YEAST,CWC15,Pre-mRNA-splicing factor CWC15,1,1,6246.73,5335.37,6430.42,2521.67,2145.19,,,,
Q03774,TRM82_YEAST,TRM82,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82,1,1,3324.69,5103.73,,,,2664.79,,,
Q03778,RIFK_YEAST,FMN1,Riboflavin kinase,1,1,32820,38186,20995.5,11807.3,14020.6,9785.07,,,
Q03780,YD239_YEAST,YDR239C,Uncharacterized protein YDR239C,1,1,,4204.29,6585.13,,1207.22,2203.96,,,
Q03784,TRS23_YEAST,TRS23,Trafficking protein particle complex subunit 23,2,2,14287.4,23673.1,25836.6,4673.66,10550.8,8778.7,,2385.86,2271.06
Q03786,GNTK_YEAST,YDR248C,Probable gluconokinase,2,2,51089.5,61760.7,31397.4,22872.9,21449.7,33555.7,,2634.4,2589.77
Q03790,NUP53_YEAST,NUP53,Nucleoporin NUP53,3,3,23911,27668.9,32385.9,9102.89,9454.73,13176.5,,2663.73,6574.83
Q03798,AIM36_YEAST,AIM36,"Altered inheritance of mitochondria protein 36, mitochondrial",3,3,29667.7,21243.2,19168.7,9530.26,13445.6,,,,
Q03799,RT08_YEAST,MRPS8,Small ribosomal subunit protein uS8m,1,1,7799.9,5164.18,9807.53,,3349.82,,,,
Q03833,GIS1_YEAST,GIS1,Transcriptional activator/repressor GIS1,2,2,7894.76,11397.4,17219.4,5984.35,8494.99,7603.38,3431.37,,
Q03834,MSH6_YEAST,MSH6,DNA mismatch repair protein MSH6,4,4,24550.4,26874.6,26412.1,12899.4,5573.29,12242,,,
Q03835,GLRX3_YEAST,GRX3,Monothiol glutaredoxin-3,1,1,147912,132410,134792,58438.7,84538,60552.6,17891.1,11479.4,8100.39
Q03862,ARX1_YEAST,ARX1,Probable metalloprotease ARX1,7,7,155921,148515,160328,67460.9,92851.1,92779.8,14661.1,20368.8,13413.4
Q03919,RUB1_YEAST,RUB1,NEDD8-like protein RUB1,1,1,34293.8,35441.2,46832.5,9447.15,16965.8,18985.9,,,
Q03921,DOP1_YEAST,DOP1,Protein DOP1,9,9,53813.6,45117.9,44318.6,17119.6,28742.5,19997,,7701.76,
Q03940,RUVB1_YEAST,RVB1,RuvB-like protein 1,8,8,185298,203082,197964,79408.4,103287,96338.2,17109,22677.8,20385.3
Q03954,SPC19_YEAST,SPC19,DASH complex subunit SPC19,1,1,4922.44,,2157.06,,1862.57,950.752,,,
Q03956,RAV2_YEAST,RAV2,Regulator of V-ATPase in vacuolar membrane protein 2,1,1,1078.45,573.636,441.574,,,,,,
Q03957,CTK1_YEAST,CTK1,CTD kinase subunit alpha,2,2,1632.6,5730.95,5440.32,1861.43,,,,,
Q03973,HMO1_YEAST,HMO1,High mobility group protein 1,2,2,169882,188084,113462,64922.3,61334.2,93942.8,17693.5,11309.7,19254.2
Q04031,RRP17_YEAST,RRP17,Ribosomal RNA-processing protein 17,2,2,32172.1,22542.8,32270.8,9803.17,,11368.6,,,6619.64
Q04053,SNX41_YEAST,SNX41,Sorting nexin-41,1,1,14906.7,16803.1,10475.9,,,,,,
Q04062,RPN9_YEAST,RPN9,26S proteasome regulatory subunit RPN9,7,7,400244,319875,302763,149407,182895,167411,40035.1,33595.4,25517.3
Q04066,KFA_YEAST,BNA7,Kynurenine formamidase,2,2,110256,76295,26957.7,35441.2,,20338.4,13708,,
Q04067,EIF3G_YEAST,TIF35,Eukaryotic translation initiation factor 3 subunit G,5,5,69762.9,68480.7,76995.2,25851.1,38246.2,31934.6,7516.6,7805.26,8253.14
Q04080,GPI17_YEAST,GPI17,GPI transamidase component GPI17,5,5,59263.8,40968,43990.6,14237.4,33313,28990.1,11425.8,,8381.51
Q04081,LCMT1_YEAST,PPM1,Leucine carboxyl methyltransferase 1,4,4,29866.2,26276.5,25616.1,8886.22,7963.11,11439.2,,,
Q04119,PPN1_YEAST,PPN1,Endopolyphosphatase,7,7,41801.2,41476.9,38563.5,15231.3,22357.6,17390,11285.1,,
