run order,250pgWet,SC,DM
300,#N/A,4132,#N/A
301,#N/A,3894,#N/A
302,#N/A,4101,#N/A
303,5260,#N/A,#N/A
304,5181,#N/A,#N/A
305,#N/A,4433,#N/A
306,#N/A,4506,#N/A
307,#N/A,4734,#N/A
308,#N/A,3997,#N/A
309,#N/A,3608,#N/A
310,#N/A,3764,#N/A
311,#N/A,4547,#N/A
312,#N/A,4430,#N/A
313,#N/A,480,#N/A
314,#N/A,4537,#N/A
315,#N/A,4321,#N/A
316,#N/A,4678,#N/A
317,#N/A,3815,#N/A
318,#N/A,4162,#N/A
319,#N/A,3694,#N/A
320,#N/A,4357,#N/A
321,#N/A,3822,#N/A
322,#N/A,4245,#N/A
323,5195,#N/A,#N/A
324,5100,#N/A,#N/A
325,#N/A,4237,#N/A
326,#N/A,4441,#N/A
327,#N/A,4427,#N/A
328,#N/A,3808,#N/A
329,#N/A,4273,#N/A
330,#N/A,3390,#N/A
331,#N/A,4328,#N/A
332,#N/A,4334,#N/A
333,#N/A,4301,#N/A
334,#N/A,4652,#N/A
335,#N/A,4550,#N/A
336,#N/A,4447,#N/A
337,#N/A,4207,#N/A
338,#N/A,448,#N/A
339,#N/A,4531,#N/A
340,#N/A,4158,#N/A
341,#N/A,4242,#N/A
342,#N/A,5112,#N/A
343,5058,#N/A,#N/A
344,5140,#N/A,#N/A
345,#N/A,4885,#N/A
346,#N/A,4201,#N/A
347,#N/A,4143,#N/A
348,#N/A,4135,#N/A
349,#N/A,4430,#N/A
350,5045,#N/A,#N/A
351,5150,#N/A,#N/A
352,#N/A,3592,#N/A
353,#N/A,4212,#N/A
354,#N/A,3998,#N/A
355,#N/A,3893,#N/A
356,#N/A,4694,#N/A
357,#N/A,4010,#N/A
358,#N/A,4430,#N/A
359,#N/A,4608,#N/A
360,#N/A,4182,#N/A
361,#N/A,4355,#N/A
362,#N/A,3856,#N/A
363,#N/A,4509,#N/A
364,#N/A,3476,#N/A
365,#N/A,4509,#N/A
366,#N/A,4077,#N/A
367,#N/A,3459,#N/A
368,#N/A,4509,#N/A
369,#N/A,4097,#N/A
370,5022,#N/A,#N/A
371,5101,#N/A,#N/A
372,#N/A,#N/A,108
373,#N/A,#N/A,186
374,#N/A,4200,#N/A
375,#N/A,3884,#N/A
376,#N/A,3715,#N/A
377,#N/A,3966,#N/A
378,#N/A,4322,#N/A
379,#N/A,4027,#N/A
380,#N/A,4126,#N/A
381,#N/A,4580,#N/A
382,#N/A,4305,#N/A
383,#N/A,4598,#N/A
384,#N/A,4146,#N/A
385,#N/A,3966,#N/A
386,#N/A,4061,#N/A
387,#N/A,4226,#N/A
388,#N/A,4224,#N/A
389,#N/A,4133,#N/A
390,#N/A,3819,#N/A
391,#N/A,276,#N/A
392,5034,#N/A,#N/A
393,5005,#N/A,#N/A
394,#N/A,#N/A,513
395,#N/A,#N/A,472
396,#N/A,3996,#N/A
397,#N/A,4284,#N/A
398,#N/A,4517,#N/A
399,#N/A,4294,#N/A
400,#N/A,2357,#N/A
401,#N/A,4880,#N/A
402,#N/A,4057,#N/A
403,#N/A,4221,#N/A
404,#N/A,3976,#N/A
405,#N/A,4752,#N/A
406,#N/A,4348,#N/A
407,#N/A,3508,#N/A
408,#N/A,4122,#N/A
409,#N/A,4026,#N/A
410,#N/A,3816,#N/A
411,#N/A,4034,#N/A
412,#N/A,3773,#N/A
413,#N/A,4818,#N/A
414,5081,#N/A,#N/A
415,5095,#N/A,#N/A
416,#N/A,#N/A,462
417,#N/A,#N/A,266
418,#N/A,4539,#N/A
419,#N/A,3765,#N/A
420,#N/A,3974,#N/A
421,#N/A,4466,#N/A
422,#N/A,456,#N/A
423,#N/A,4619,#N/A
424,#N/A,3586,#N/A
425,#N/A,4114,#N/A
426,#N/A,4241,#N/A
427,#N/A,4167,#N/A
428,#N/A,3875,#N/A
429,#N/A,4398,#N/A
430,#N/A,4336,#N/A
431,#N/A,424,#N/A
432,#N/A,4147,#N/A
433,#N/A,3791,#N/A
434,#N/A,1980,#N/A
435,#N/A,4560,#N/A
436,5134,#N/A,#N/A
437,5118,#N/A,#N/A
438,#N/A,#N/A,562
439,#N/A,#N/A,375
440,#N/A,4524,#N/A
441,#N/A,4033,#N/A
442,#N/A,4182,#N/A
443,#N/A,4150,#N/A
444,#N/A,4616,#N/A
445,#N/A,3971,#N/A
446,#N/A,4238,#N/A
447,#N/A,4820,#N/A
448,#N/A,3833,#N/A
449,#N/A,4296,#N/A
450,#N/A,3929,#N/A
451,#N/A,4349,#N/A
452,#N/A,4291,#N/A
453,#N/A,4233,#N/A
454,#N/A,556,#N/A
455,#N/A,2735,#N/A
456,#N/A,510,#N/A
457,#N/A,3241,#N/A
458,5208,#N/A,#N/A
459,4828,#N/A,#N/A
460,#N/A,#N/A,694
461,#N/A,#N/A,521
462,#N/A,3829,#N/A
463,#N/A,4467,#N/A
464,#N/A,4685,#N/A
465,#N/A,4633,#N/A
466,#N/A,4073,#N/A
467,#N/A,3869,#N/A
468,#N/A,4620,#N/A
469,#N/A,4251,#N/A
470,#N/A,2877,#N/A
471,#N/A,434,#N/A
472,#N/A,4280,#N/A
473,#N/A,4188,#N/A
474,#N/A,4540,#N/A
475,#N/A,4441,#N/A
476,#N/A,4306,#N/A
477,#N/A,4259,#N/A
478,#N/A,3848,#N/A
479,#N/A,4027,#N/A
480,5052,#N/A,#N/A
481,5232,#N/A,#N/A
482,#N/A,#N/A,562
483,#N/A,#N/A,428
484,#N/A,4210,#N/A
485,#N/A,4060,#N/A
486,#N/A,4585,#N/A
487,#N/A,4428,#N/A
488,#N/A,3756,#N/A
489,#N/A,4205,#N/A
490,#N/A,3847,#N/A
491,#N/A,3763,#N/A
492,#N/A,4056,#N/A
493,#N/A,4106,#N/A
494,#N/A,4062,#N/A
495,#N/A,4241,#N/A
496,#N/A,3453,#N/A
497,#N/A,4086,#N/A
498,#N/A,4259,#N/A
499,#N/A,930,#N/A
500,#N/A,3895,#N/A
501,#N/A,4437,#N/A
502,5075,#N/A,#N/A
503,5079,#N/A,#N/A
504,#N/A,#N/A,331
505,#N/A,#N/A,372
506,#N/A,4280,#N/A
507,#N/A,4339,#N/A
508,#N/A,4138,#N/A
509,#N/A,4216,#N/A
510,#N/A,3694,#N/A
511,#N/A,4238,#N/A
512,#N/A,4414,#N/A
513,#N/A,3867,#N/A
514,#N/A,3736,#N/A
515,#N/A,4485,#N/A
516,#N/A,3840,#N/A
517,#N/A,4192,#N/A
518,#N/A,4121,#N/A
519,#N/A,4449,#N/A
520,#N/A,4189,#N/A
521,#N/A,3894,#N/A
522,#N/A,3855,#N/A
523,#N/A,4164,#N/A
524,5195,#N/A,#N/A
525,5153,#N/A,#N/A
526,#N/A,#N/A,743
527,#N/A,#N/A,421
528,#N/A,4259,#N/A
529,#N/A,3776,#N/A
530,#N/A,3760,#N/A
531,#N/A,3719,#N/A
532,#N/A,4409,#N/A
533,#N/A,4599,#N/A
534,#N/A,4356,#N/A
535,#N/A,4378,#N/A
536,#N/A,4118,#N/A
537,#N/A,4583,#N/A
538,#N/A,3453,#N/A
539,#N/A,4040,#N/A
540,#N/A,345,#N/A
541,#N/A,3375,#N/A
542,#N/A,4170,#N/A
543,#N/A,237,#N/A
544,#N/A,2633,#N/A
545,#N/A,614,#N/A
546,5173,#N/A,#N/A
547,5198,#N/A,#N/A
548,#N/A,#N/A,297
549,#N/A,#N/A,434
550,#N/A,3905,#N/A
551,#N/A,4379,#N/A
552,#N/A,4709,#N/A
553,#N/A,3846,#N/A
554,#N/A,3894,#N/A
555,#N/A,435,#N/A
556,#N/A,4188,#N/A
557,#N/A,4553,#N/A
558,#N/A,4347,#N/A
559,#N/A,4247,#N/A
560,#N/A,1957,#N/A
561,#N/A,4343,#N/A
562,#N/A,2692,#N/A
563,#N/A,3724,#N/A
564,#N/A,3889,#N/A
565,#N/A,4521,#N/A
566,#N/A,3253,#N/A
567,#N/A,2681,#N/A
568,5102,#N/A,#N/A
569,5176,#N/A,#N/A
570,#N/A,#N/A,580
571,#N/A,#N/A,416
572,#N/A,3967,#N/A
573,#N/A,3876,#N/A
574,#N/A,4179,#N/A
575,#N/A,2358,#N/A
576,#N/A,4143,#N/A
577,#N/A,3756,#N/A
578,#N/A,2943,#N/A
579,#N/A,4431,#N/A
580,#N/A,1756,#N/A
581,#N/A,3835,#N/A
582,#N/A,3721,#N/A
583,#N/A,4042,#N/A
584,#N/A,4383,#N/A
585,#N/A,3806,#N/A
586,#N/A,4124,#N/A
587,#N/A,4430,#N/A
588,#N/A,3100,#N/A
589,#N/A,4140,#N/A
590,5151,#N/A,#N/A
591,5182,#N/A,#N/A
592,#N/A,#N/A,273
593,#N/A,#N/A,306
594,#N/A,4467,#N/A
595,#N/A,4614,#N/A
596,#N/A,4765,#N/A
597,#N/A,3793,#N/A
598,#N/A,4088,#N/A
599,#N/A,4222,#N/A
600,#N/A,4244,#N/A
601,#N/A,4209,#N/A
602,#N/A,3343,#N/A
603,#N/A,4651,#N/A
604,#N/A,3901,#N/A
605,#N/A,3988,#N/A
606,#N/A,3848,#N/A
607,#N/A,4566,#N/A
608,#N/A,4545,#N/A
609,#N/A,4035,#N/A
610,#N/A,4112,#N/A
611,#N/A,4681,#N/A
612,5158,#N/A,#N/A
613,5074,#N/A,#N/A
614,#N/A,#N/A,309
615,#N/A,#N/A,0
616,#N/A,3547,#N/A
617,#N/A,4065,#N/A
618,#N/A,3691,#N/A
619,#N/A,4152,#N/A
620,#N/A,3696,#N/A
621,#N/A,4334,#N/A
622,#N/A,3890,#N/A
623,#N/A,3913,#N/A
624,#N/A,4175,#N/A
625,#N/A,4354,#N/A
626,#N/A,4219,#N/A
627,#N/A,313,#N/A
628,#N/A,427,#N/A
629,#N/A,4472,#N/A
630,#N/A,4266,#N/A
631,#N/A,4278,#N/A
632,#N/A,401,#N/A
633,#N/A,4140,#N/A
634,5099,#N/A,#N/A
635,5111,#N/A,#N/A
636,#N/A,4264,#N/A
637,#N/A,4795,#N/A
638,#N/A,4163,#N/A
639,#N/A,3506,#N/A
640,#N/A,4361,#N/A
641,#N/A,4113,#N/A
642,#N/A,2851,#N/A
643,#N/A,4118,#N/A
644,#N/A,3845,#N/A
645,#N/A,4639,#N/A
646,#N/A,4390,#N/A
647,#N/A,3897,#N/A
648,#N/A,4212,#N/A
649,#N/A,4304,#N/A
650,#N/A,3771,#N/A
651,#N/A,4539,#N/A
652,#N/A,4125,#N/A
653,#N/A,4276,#N/A
654,5024,#N/A,#N/A
655,5083,#N/A,#N/A
656,#N/A,3872,#N/A
657,#N/A,3817,#N/A
658,#N/A,4456,#N/A
659,#N/A,4502,#N/A
660,#N/A,4084,#N/A
661,#N/A,4402,#N/A
662,#N/A,4151,#N/A
663,#N/A,4170,#N/A
664,#N/A,4021,#N/A
665,#N/A,4382,#N/A
666,#N/A,3822,#N/A
667,#N/A,4170,#N/A
668,#N/A,3773,#N/A
669,#N/A,4250,#N/A
670,#N/A,4417,#N/A
671,#N/A,4215,#N/A
672,#N/A,2590,#N/A
673,#N/A,4253,#N/A
674,5031,#N/A,#N/A
675,5080,#N/A,#N/A
676,#N/A,4407,#N/A
677,#N/A,4333,#N/A
678,#N/A,4001,#N/A
679,#N/A,4130,#N/A
680,#N/A,3890,#N/A
681,#N/A,3589,#N/A
682,#N/A,3344,#N/A
683,#N/A,4357,#N/A
684,#N/A,3558,#N/A
685,#N/A,4697,#N/A
686,#N/A,3835,#N/A
687,#N/A,4125,#N/A
688,#N/A,4437,#N/A
689,#N/A,4310,#N/A
690,#N/A,3742,#N/A
691,#N/A,4334,#N/A
692,#N/A,4293,#N/A
693,#N/A,3750,#N/A
694,5134,#N/A,#N/A
695,5110,#N/A,#N/A
696,#N/A,3710,#N/A
697,#N/A,4394,#N/A
698,#N/A,3910,#N/A
699,#N/A,4148,#N/A
700,#N/A,4087,#N/A
701,#N/A,3996,#N/A
702,#N/A,4388,#N/A
703,#N/A,4366,#N/A
704,#N/A,3958,#N/A
705,#N/A,3969,#N/A
706,#N/A,3841,#N/A
707,#N/A,4159,#N/A
708,#N/A,4059,#N/A
709,#N/A,4268,#N/A
710,#N/A,519,#N/A
711,#N/A,4024,#N/A
712,#N/A,4143,#N/A
713,#N/A,465,#N/A
714,5050,#N/A,#N/A
715,5063,#N/A,#N/A
716,#N/A,4008,#N/A
717,#N/A,3802,#N/A
718,#N/A,3934,#N/A
719,#N/A,4375,#N/A
720,#N/A,4109,#N/A
721,#N/A,3963,#N/A
722,#N/A,4086,#N/A
723,#N/A,3245,#N/A
724,5138,#N/A,#N/A
725,5117,#N/A,#N/A
726,#N/A,652,#N/A
727,#N/A,3256,#N/A
728,#N/A,4035,#N/A
729,#N/A,4106,#N/A
730,#N/A,4174,#N/A
731,#N/A,4359,#N/A
732,#N/A,4426,#N/A
733,#N/A,350,#N/A
734,#N/A,4116,#N/A
735,#N/A,4159,#N/A
736,#N/A,3334,#N/A
737,#N/A,4002,#N/A
738,#N/A,534,#N/A
739,#N/A,4493,#N/A
740,#N/A,4183,#N/A
741,#N/A,4072,#N/A
742,#N/A,3711,#N/A
743,#N/A,3732,#N/A
744,5212,#N/A,#N/A
