sample,series,condition,file,protein_set,UMAP1,UMAP2
100_39,conc,100,LL2112_NC_conc.csv,post_iqr,3.2550724,0.7146339
100_40,conc,100,LL2112_NC_conc.csv,post_iqr,2.1859162,-2.1917927
100_41,conc,100,LL2112_NC_conc.csv,post_iqr,3.8498673,-0.6201174
100_42,conc,100,LL2112_NC_conc.csv,post_iqr,3.2776856,0.052880522
100_43,conc,100,LL2112_NC_conc.csv,post_iqr,3.6773608,-0.8699352
100_44,conc,100,LL2112_NC_conc.csv,post_iqr,1.855261,-2.1634748
100_45,conc,100,LL2112_NC_conc.csv,post_iqr,3.3502028,0.70406926
100_46,conc,100,LL2112_NC_conc.csv,post_iqr,2.9282658,-1.7764561
100_47,conc,100,LL2112_NC_conc.csv,post_iqr,3.609454,-0.6741221
100_48,conc,100,LL2112_NC_conc.csv,post_iqr,2.48566,-1.933399
100_49,conc,100,LL2112_NC_conc.csv,post_iqr,2.2171533,-1.5816472
100_50,conc,100,LL2112_NC_conc.csv,post_iqr,3.468239,0.51467043
100_51,conc,100,LL2112_NC_conc.csv,post_iqr,11.755411,4.561801
100_52,conc,100,LL2112_NC_conc.csv,post_iqr,11.446108,4.6499243
100_53,conc,100,LL2112_NC_conc.csv,post_iqr,3.0761874,-0.8134587
100_54,conc,100,LL2112_NC_conc.csv,post_iqr,10.053004,4.3140206
100_55,conc,100,LL2112_NC_conc.csv,post_iqr,3.7124321,-0.8270244
100_56,conc,100,LL2112_NC_conc.csv,post_iqr,12.01523,5.811235
100_57,conc,100,LL2112_NC_conc.csv,post_iqr,11.183914,4.411378
100_58,conc,100,LL2112_NC_conc.csv,post_iqr,3.3875093,1.0952578
100_59,conc,100,LL2112_NC_conc.csv,post_iqr,3.3391566,0.56257105
100_61,conc,100,LL2112_NC_conc.csv,post_iqr,11.62426,4.5461445
100_62,conc,100,LL2112_NC_conc.csv,post_iqr,3.5918267,-0.336731
100_63,conc,100,LL2112_NC_conc.csv,post_iqr,2.5387597,-1.6611432
100_64,conc,100,LL2112_NC_conc.csv,post_iqr,3.5975885,-0.39972776
100_65,conc,100,LL2112_NC_conc.csv,post_iqr,2.1749046,-2.0263357
100_66,conc,100,LL2112_NC_conc.csv,post_iqr,3.6503236,0.5798206
100_67,conc,100,LL2112_NC_conc.csv,post_iqr,3.3100786,1.125048
100_68,conc,100,LL2112_NC_conc.csv,post_iqr,3.152612,0.51342815
100_139,conc,100,LL2112_NC_conc.csv,post_iqr,3.0596094,-1.0077136
100_140,conc,100,LL2112_NC_conc.csv,post_iqr,10.558337,4.5033393
100_141,conc,100,LL2112_NC_conc.csv,post_iqr,11.831416,5.774827
100_142,conc,100,LL2112_NC_conc.csv,post_iqr,2.3078468,-0.9094485
100_143,conc,100,LL2112_NC_conc.csv,post_iqr,10.454258,4.730537
100_144,conc,100,LL2112_NC_conc.csv,post_iqr,11.308146,6.1994147
100_145,conc,100,LL2112_NC_conc.csv,post_iqr,3.3119316,-0.782109
100_146,conc,100,LL2112_NC_conc.csv,post_iqr,2.0091867,-1.375261
100_147,conc,100,LL2112_NC_conc.csv,post_iqr,3.1865966,-0.46768367
100_148,conc,100,LL2112_NC_conc.csv,post_iqr,2.2395742,-0.55143386
100_149,conc,100,LL2112_NC_conc.csv,post_iqr,2.543023,-2.0583117
100_150,conc,100,LL2112_NC_conc.csv,post_iqr,2.9455216,0.66911685
100_151,conc,100,LL2112_NC_conc.csv,post_iqr,10.426548,5.245545
100_152,conc,100,LL2112_NC_conc.csv,post_iqr,2.515636,-1.3517507
100_153,conc,100,LL2112_NC_conc.csv,post_iqr,2.303061,-1.8737133
100_154,conc,100,LL2112_NC_conc.csv,post_iqr,3.1492608,0.33989885
100_155,conc,100,LL2112_NC_conc.csv,post_iqr,3.2069125,1.1602138
100_157,conc,100,LL2112_NC_conc.csv,post_iqr,1.985399,0.008575738
100_158,conc,100,LL2112_NC_conc.csv,post_iqr,2.7072964,-1.7150835
100_159,conc,100,LL2112_NC_conc.csv,post_iqr,2.5198312,-1.6490698
100_160,conc,100,LL2112_NC_conc.csv,post_iqr,2.1952157,-1.6147667
100_161,conc,100,LL2112_NC_conc.csv,post_iqr,2.7152395,-0.92895496
100_162,conc,100,LL2112_NC_conc.csv,post_iqr,2.8700275,-1.769782
100_163,conc,100,LL2112_NC_conc.csv,post_iqr,1.8823953,-1.4509704
100_164,conc,100,LL2112_NC_conc.csv,post_iqr,3.505963,0.82319653
100_165,conc,100,LL2112_NC_conc.csv,post_iqr,2.8612285,0.9383724
100_166,conc,100,LL2112_NC_conc.csv,post_iqr,3.1817212,-0.5386385
100_167,conc,100,LL2112_NC_conc.csv,post_iqr,3.3342538,0.48565215
100_168,conc,100,LL2112_NC_conc.csv,post_iqr,3.3854597,-1.4747858
100_169,conc,100,LL2112_NC_conc.csv,post_iqr,11.351123,4.6108646
100_170,conc,100,LL2112_NC_conc.csv,post_iqr,3.0831444,-1.3891779
100_171,conc,100,LL2112_NC_conc.csv,post_iqr,3.2081535,-1.3560188
100_172,conc,100,LL2112_NC_conc.csv,post_iqr,11.724621,4.9599442
100_173,conc,100,LL2112_NC_conc.csv,post_iqr,11.360515,5.7766514
100_174,conc,100,LL2112_NC_conc.csv,post_iqr,2.233739,-1.5485926
100_175,conc,100,LL2112_NC_conc.csv,post_iqr,11.898995,4.809104
100_176,conc,100,LL2112_NC_conc.csv,post_iqr,2.8395371,-1.8739386
100_177,conc,100,LL2112_NC_conc.csv,post_iqr,10.787069,4.562887
100_178,conc,100,LL2112_NC_conc.csv,post_iqr,11.435831,5.763149
100_179,conc,100,LL2112_NC_conc.csv,post_iqr,2.8947299,-1.4479822
100_180,conc,100,LL2112_NC_conc.csv,post_iqr,3.587141,0.26145288
100_181,conc,100,LL2112_NC_conc.csv,post_iqr,2.1657052,-1.3615493
100_183,conc,100,LL2112_NC_conc.csv,post_iqr,2.3577158,-1.6358768
100_184,conc,100,LL2112_NC_conc.csv,post_iqr,3.3081682,-1.4543751
100_185,conc,100,LL2112_NC_conc.csv,post_iqr,2.307736,-2.0601358
100_186,conc,100,LL2112_NC_conc.csv,post_iqr,4.3225017,14.243963
100_187,conc,100,LL2112_NC_conc.csv,post_iqr,9.611845,3.8716965
100_188,conc,100,LL2112_NC_conc.csv,post_iqr,2.6244383,-1.889371
100_189,conc,100,LL2112_NC_conc.csv,post_iqr,3.3418825,-0.063871905
100_190,conc,100,LL2112_NC_conc.csv,post_iqr,10.981122,4.5228963
100_191,conc,100,LL2112_NC_conc.csv,post_iqr,3.6967146,-0.06652305
100_192,conc,100,LL2112_NC_conc.csv,post_iqr,3.406598,0.57307273
100_193,conc,100,LL2112_NC_conc.csv,post_iqr,3.5159261,0.9592486
100_194,conc,100,LL2112_NC_conc.csv,post_iqr,3.66583,0.93651587
100_195,conc,100,LL2112_NC_conc.csv,post_iqr,3.5643506,-1.1246997
100_196,conc,100,LL2112_NC_conc.csv,post_iqr,3.6408582,-0.6913816
100_197,conc,100,LL2112_NC_conc.csv,post_iqr,3.2979493,1.2104127
100_198,conc,100,LL2112_NC_conc.csv,post_iqr,11.856043,6.029673
100_199,conc,100,LL2112_NC_conc.csv,post_iqr,1.7533339,-1.9493632
100_200,conc,100,LL2112_NC_conc.csv,post_iqr,2.1644971,-0.0675365
100_201,conc,100,LL2112_NC_conc.csv,post_iqr,12.091934,5.7079387
100_202,conc,100,LL2112_NC_conc.csv,post_iqr,2.469088,-1.4203635
100_204,conc,100,LL2112_NC_conc.csv,post_iqr,3.5663261,0.3707796
100_205,conc,100,LL2112_NC_conc.csv,post_iqr,3.1183078,0.8525124
100_206,conc,100,LL2112_NC_conc.csv,post_iqr,2.0231037,-1.1358113
100_207,conc,100,LL2112_NC_conc.csv,post_iqr,3.4693878,-0.81071365
100_208,conc,100,LL2112_NC_conc.csv,post_iqr,2.2810707,-2.0136516
100_209,conc,100,LL2112_NC_conc.csv,post_iqr,3.5056536,0.31756425
100_211,conc,100,LL2112_NC_conc.csv,post_iqr,3.561438,-0.021547625
100_212,conc,100,LL2112_NC_conc.csv,post_iqr,1.9632499,-2.3154707
100_213,conc,100,LL2112_NC_conc.csv,post_iqr,3.558802,0.04370743
100_214,conc,100,LL2112_NC_conc.csv,post_iqr,3.721849,0.76149887
100_294,conc,100,LL2112_NC_conc.csv,post_iqr,2.4414055,-0.69772226
100_295,conc,100,LL2112_NC_conc.csv,post_iqr,2.9311025,-0.46312815
100_296,conc,100,LL2112_NC_conc.csv,post_iqr,1.9118452,-0.70029527
100_297,conc,100,LL2112_NC_conc.csv,post_iqr,2.6394103,-1.3242373
100_298,conc,100,LL2112_NC_conc.csv,post_iqr,3.1618142,1.2024518
100_300,conc,100,LL2112_NC_conc.csv,post_iqr,9.533961,3.8283544
100_301,conc,100,LL2112_NC_conc.csv,post_iqr,2.273436,-0.8131359
100_302,conc,100,LL2112_NC_conc.csv,post_iqr,3.2305121,-0.9695644
100_303,conc,100,LL2112_NC_conc.csv,post_iqr,2.1414313,-1.4206002
100_304,conc,100,LL2112_NC_conc.csv,post_iqr,1.9217677,0.07147681
100_305,conc,100,LL2112_NC_conc.csv,post_iqr,1.8710698,-1.2034756
100_306,conc,100,LL2112_NC_conc.csv,post_iqr,10.793945,4.268678
100_307,conc,100,LL2112_NC_conc.csv,post_iqr,11.922667,4.5503473
100_308,conc,100,LL2112_NC_conc.csv,post_iqr,2.4692116,-1.4643086
100_309,conc,100,LL2112_NC_conc.csv,post_iqr,1.8744785,0.04030176
100_310,conc,100,LL2112_NC_conc.csv,post_iqr,11.696946,5.059167
100_312,conc,100,LL2112_NC_conc.csv,post_iqr,2.2734375,-1.4101604
100_313,conc,100,LL2112_NC_conc.csv,post_iqr,3.0722141,-1.1433396
100_314,conc,100,LL2112_NC_conc.csv,post_iqr,2.2997613,-1.4677081
100_315,conc,100,LL2112_NC_conc.csv,post_iqr,2.772435,0.6378956
100_316,conc,100,LL2112_NC_conc.csv,post_iqr,2.4613008,-0.21216123
100_317,conc,100,LL2112_NC_conc.csv,post_iqr,1.8496963,-1.3426898
100_318,conc,100,LL2112_NC_conc.csv,post_iqr,2.8945763,-1.0095556
100_319,conc,100,LL2112_NC_conc.csv,post_iqr,1.9126009,-0.07287916
100_320,conc,100,LL2112_NC_conc.csv,post_iqr,11.086572,4.4947762
100_321,conc,100,LL2112_NC_conc.csv,post_iqr,2.7081342,0.8373983
100_322,conc,100,LL2112_NC_conc.csv,post_iqr,2.1202807,0.3116438
100_323,conc,100,LL2112_NC_conc.csv,post_iqr,11.644551,5.9299827
100_324,conc,100,LL2112_NC_conc.csv,post_iqr,2.0362475,-1.6480309
100_325,conc,100,LL2112_NC_conc.csv,post_iqr,11.979024,5.8716793
100_326,conc,100,LL2112_NC_conc.csv,post_iqr,10.238605,4.498505
100_327,conc,100,LL2112_NC_conc.csv,post_iqr,1.8526083,-1.6460427
100_328,conc,100,LL2112_NC_conc.csv,post_iqr,2.1978447,0.17616875
100_329,conc,100,LL2112_NC_conc.csv,post_iqr,2.9169066,-0.03768056
100_330,conc,100,LL2112_NC_conc.csv,post_iqr,1.9531777,-1.024073
100_331,conc,100,LL2112_NC_conc.csv,post_iqr,3.523306,-0.65807384
100_332,conc,100,LL2112_NC_conc.csv,post_iqr,2.4412274,-0.6095061
100_333,conc,100,LL2112_NC_conc.csv,post_iqr,10.685772,4.5761647
100_334,conc,100,LL2112_NC_conc.csv,post_iqr,2.4746265,-1.6539962
100_335,conc,100,LL2112_NC_conc.csv,post_iqr,1.7423971,-0.010031786
100_336,conc,100,LL2112_NC_conc.csv,post_iqr,2.1230373,-1.6389974
100_337,conc,100,LL2112_NC_conc.csv,post_iqr,1.7295153,-0.17624971
100_338,conc,100,LL2112_NC_conc.csv,post_iqr,2.0118601,-1.9329948
100_339,conc,100,LL2112_NC_conc.csv,post_iqr,2.5401967,-1.6656578
100_340,conc,100,LL2112_NC_conc.csv,post_iqr,9.59373,3.8691456
100_342,conc,100,LL2112_NC_conc.csv,post_iqr,1.7663506,-0.24471602
100_344,conc,100,LL2112_NC_conc.csv,post_iqr,2.3066864,-1.7040309
100_345,conc,100,LL2112_NC_conc.csv,post_iqr,2.9362104,-1.1713669
100_346,conc,100,LL2112_NC_conc.csv,post_iqr,1.7032126,-0.25982693
100_347,conc,100,LL2112_NC_conc.csv,post_iqr,2.1980035,-1.2449522
100_348,conc,100,LL2112_NC_conc.csv,post_iqr,2.249093,-0.9851371
100_350,conc,100,LL2112_NC_conc.csv,post_iqr,1.6655902,-0.77454734
100_351,conc,100,LL2112_NC_conc.csv,post_iqr,1.811431,-0.55390716
100_352,conc,100,LL2112_NC_conc.csv,post_iqr,11.187727,4.788409
100_353,conc,100,LL2112_NC_conc.csv,post_iqr,3.8130774,-0.27100852
100_355,conc,100,LL2112_NC_conc.csv,post_iqr,2.5126157,0.27910045
100_356,conc,100,LL2112_NC_conc.csv,post_iqr,12.331867,5.833445
100_357,conc,100,LL2112_NC_conc.csv,post_iqr,2.589667,-0.85228413
100_358,conc,100,LL2112_NC_conc.csv,post_iqr,3.4401727,-2.1377466
100_359,conc,100,LL2112_NC_conc.csv,post_iqr,2.146407,-0.7465649
100_360,conc,100,LL2112_NC_conc.csv,post_iqr,2.3740833,-1.6779742
100_361,conc,100,LL2112_NC_conc.csv,post_iqr,2.472201,0.8444949
100_362,conc,100,LL2112_NC_conc.csv,post_iqr,3.3181305,-0.38013226
100_443,conc,100,LL2112_NC_conc.csv,post_iqr,2.29589,0.015505819
100_444,conc,100,LL2112_NC_conc.csv,post_iqr,11.705672,4.3670015
100_445,conc,100,LL2112_NC_conc.csv,post_iqr,11.454765,4.393216
100_446,conc,100,LL2112_NC_conc.csv,post_iqr,11.319799,4.502
100_447,conc,100,LL2112_NC_conc.csv,post_iqr,2.1994047,-0.9945308
100_449,conc,100,LL2112_NC_conc.csv,post_iqr,12.298272,5.3817677
100_450,conc,100,LL2112_NC_conc.csv,post_iqr,2.3197381,-0.9353446
100_451,conc,100,LL2112_NC_conc.csv,post_iqr,3.2331564,0.2991065
100_452,conc,100,LL2112_NC_conc.csv,post_iqr,9.945631,4.684068
100_453,conc,100,LL2112_NC_conc.csv,post_iqr,2.4330995,0.23532015
100_454,conc,100,LL2112_NC_conc.csv,post_iqr,11.970284,6.052384
100_455,conc,100,LL2112_NC_conc.csv,post_iqr,12.276843,5.4069314
100_456,conc,100,LL2112_NC_conc.csv,post_iqr,2.5571566,-1.9951717
100_457,conc,100,LL2112_NC_conc.csv,post_iqr,11.314758,5.611037
100_458,conc,100,LL2112_NC_conc.csv,post_iqr,2.2825425,-0.074734084
100_459,conc,100,LL2112_NC_conc.csv,post_iqr,11.550989,5.164233
100_460,conc,100,LL2112_NC_conc.csv,post_iqr,9.877378,4.6150975
100_461,conc,100,LL2112_NC_conc.csv,post_iqr,2.2442987,-1.3629432
100_462,conc,100,LL2112_NC_conc.csv,post_iqr,2.620294,-1.9621447
100_464,conc,100,LL2112_NC_conc.csv,post_iqr,3.0885484,1.0161748
100_465,conc,100,LL2112_NC_conc.csv,post_iqr,11.60291,4.6722465
100_466,conc,100,LL2112_NC_conc.csv,post_iqr,12.21768,4.557614
100_467,conc,100,LL2112_NC_conc.csv,post_iqr,1.9003415,-0.36618847
100_468,conc,100,LL2112_NC_conc.csv,post_iqr,3.4970872,-0.6744076
100_469,conc,100,LL2112_NC_conc.csv,post_iqr,2.1998537,-1.1447914
100_471,conc,100,LL2112_NC_conc.csv,post_iqr,9.557509,3.9572062
100_472,conc,100,LL2112_NC_conc.csv,post_iqr,10.779245,4.446003
100_473,conc,100,LL2112_NC_conc.csv,post_iqr,2.4558642,0.56826496
100_474,conc,100,LL2112_NC_conc.csv,post_iqr,11.871141,5.0850153
100_475,conc,100,LL2112_NC_conc.csv,post_iqr,1.83157,-0.56872535
100_476,conc,100,LL2112_NC_conc.csv,post_iqr,11.951232,4.8708043
100_477,conc,100,LL2112_NC_conc.csv,post_iqr,1.7441645,-1.6475066
100_478,conc,100,LL2112_NC_conc.csv,post_iqr,3.4564128,0.13531353
100_479,conc,100,LL2112_NC_conc.csv,post_iqr,2.6460907,0.117997766
100_480,conc,100,LL2112_NC_conc.csv,post_iqr,2.797667,-0.71607125
100_481,conc,100,LL2112_NC_conc.csv,post_iqr,3.5543675,-0.2664744
100_482,conc,100,LL2112_NC_conc.csv,post_iqr,3.3759685,0.4494124
100_483,conc,100,LL2112_NC_conc.csv,post_iqr,11.987579,5.889796
100_484,conc,100,LL2112_NC_conc.csv,post_iqr,3.2576141,1.096542
100_485,conc,100,LL2112_NC_conc.csv,post_iqr,2.3966644,0.6762089
100_486,conc,100,LL2112_NC_conc.csv,post_iqr,3.0512865,-0.11422459
100_487,conc,100,LL2112_NC_conc.csv,post_iqr,3.7643762,-0.10386954
100_488,conc,100,LL2112_NC_conc.csv,post_iqr,3.36628,-0.27140507
100_489,conc,100,LL2112_NC_conc.csv,post_iqr,9.451776,3.7312336
100_490,conc,100,LL2112_NC_conc.csv,post_iqr,11.653419,5.201731
100_492,conc,100,LL2112_NC_conc.csv,post_iqr,12.03235,4.6217937
100_493,conc,100,LL2112_NC_conc.csv,post_iqr,2.3536575,-0.33739743
100_494,conc,100,LL2112_NC_conc.csv,post_iqr,11.457793,4.4109898
100_495,conc,100,LL2112_NC_conc.csv,post_iqr,3.6831727,-0.30598894
100_496,conc,100,LL2112_NC_conc.csv,post_iqr,11.948544,5.933095
100_497,conc,100,LL2112_NC_conc.csv,post_iqr,3.365769,-0.22253808
100_498,conc,100,LL2112_NC_conc.csv,post_iqr,1.8336729,-0.51609236
100_499,conc,100,LL2112_NC_conc.csv,post_iqr,2.5024803,-1.3351083
100_500,conc,100,LL2112_NC_conc.csv,post_iqr,2.6507952,-0.39937288
100_501,conc,100,LL2112_NC_conc.csv,post_iqr,2.1697884,0.39810076
100_502,conc,100,LL2112_NC_conc.csv,post_iqr,2.3199234,-0.5028843
100_504,conc,100,LL2112_NC_conc.csv,post_iqr,3.9833722,-0.2371839
100_505,conc,100,LL2112_NC_conc.csv,post_iqr,10.948068,4.676187
100_506,conc,100,LL2112_NC_conc.csv,post_iqr,11.328555,5.571752
100_507,conc,100,LL2112_NC_conc.csv,post_iqr,2.063708,-0.88071156
100_508,conc,100,LL2112_NC_conc.csv,post_iqr,11.226315,5.3368
100_509,conc,100,LL2112_NC_conc.csv,post_iqr,2.0424614,-0.44125018
100_510,conc,100,LL2112_NC_conc.csv,post_iqr,3.1582713,-0.65742534
100_511,conc,100,LL2112_NC_conc.csv,post_iqr,1.9527591,-0.12475722
100_512,conc,100,LL2112_NC_conc.csv,post_iqr,11.616026,4.400564
100_513,conc,100,LL2112_NC_conc.csv,post_iqr,11.108632,5.160117
100_515,conc,100,LL2112_NC_conc.csv,post_iqr,9.856539,3.7707677
100_516,conc,100,LL2112_NC_conc.csv,post_iqr,2.6674848,-1.0724196
100_518,conc,100,LL2112_NC_conc.csv,post_iqr,1.9767624,-1.0010171
100_519,conc,100,LL2112_NC_conc.csv,post_iqr,3.254176,-1.8733584
100_520,conc,100,LL2112_NC_conc.csv,post_iqr,12.014626,4.770033
100_521,conc,100,LL2112_NC_conc.csv,post_iqr,2.6007817,-1.51861
100_523,conc,100,LL2112_NC_conc.csv,post_iqr,11.796782,4.956391
100_524,conc,100,LL2112_NC_conc.csv,post_iqr,11.553193,5.2776337
100_525,conc,100,LL2112_NC_conc.csv,post_iqr,2.537779,-1.1058424
100_526,conc,100,LL2112_NC_conc.csv,post_iqr,11.988658,4.905849
100_527,conc,100,LL2112_NC_conc.csv,post_iqr,11.022914,5.6772375
100_528,conc,100,LL2112_NC_conc.csv,post_iqr,12.001267,5.2276597
100_529,conc,100,LL2112_NC_conc.csv,post_iqr,11.939164,5.707802
100_530,conc,100,LL2112_NC_conc.csv,post_iqr,3.5291462,-0.19599444
100_531,conc,100,LL2112_NC_conc.csv,post_iqr,2.1212587,-0.9105367
100_532,conc,100,LL2112_NC_conc.csv,post_iqr,10.8492565,5.877693
100_533,conc,100,LL2112_NC_conc.csv,post_iqr,12.016585,5.831689
100_535,conc,100,LL2112_NC_conc.csv,post_iqr,12.004779,6.051503
100_536,conc,100,LL2112_NC_conc.csv,post_iqr,11.435482,4.317849
100_537,conc,100,LL2112_NC_conc.csv,post_iqr,11.903931,5.3649383
100_538,conc,100,LL2112_NC_conc.csv,post_iqr,2.721026,-1.9882187
100_539,conc,100,LL2112_NC_conc.csv,post_iqr,11.945392,4.3301616
100_540,conc,100,LL2112_NC_conc.csv,post_iqr,11.6806345,5.6263804
100_541,conc,100,LL2112_NC_conc.csv,post_iqr,1.7264289,-0.761637
100_542,conc,100,LL2112_NC_conc.csv,post_iqr,3.0004246,-2.1809072
100_543,conc,100,LL2112_NC_conc.csv,post_iqr,1.813474,-0.7125165
100_544,conc,100,LL2112_NC_conc.csv,post_iqr,2.7943146,0.22497651
100_545,conc,100,LL2112_NC_conc.csv,post_iqr,12.100859,4.502006
100_546,conc,100,LL2112_NC_conc.csv,post_iqr,2.1925015,0.12919073
100_547,conc,100,LL2112_NC_conc.csv,post_iqr,10.135687,4.2269063
100_548,conc,100,LL2112_NC_conc.csv,post_iqr,12.087477,6.06791
100_549,conc,100,LL2112_NC_conc.csv,post_iqr,10.190528,4.6670465
100_550,conc,100,LL2112_NC_conc.csv,post_iqr,11.560888,5.9500475
100_551,conc,100,LL2112_NC_conc.csv,post_iqr,4.943352,13.6367655
100_552,conc,100,LL2112_NC_conc.csv,post_iqr,2.899873,-2.0513487
100_553,conc,100,LL2112_NC_conc.csv,post_iqr,2.8944938,-0.12562694
100_554,conc,100,LL2112_NC_conc.csv,post_iqr,1.7775993,-0.24326423
100_555,conc,100,LL2112_NC_conc.csv,post_iqr,2.8448231,-1.7198168
100_556,conc,100,LL2112_NC_conc.csv,post_iqr,2.368573,-0.10458816
100_557,conc,100,LL2112_NC_conc.csv,post_iqr,2.3814237,-1.1696362
100_558,conc,100,LL2112_NC_conc.csv,post_iqr,10.313027,4.629683
100_559,conc,100,LL2112_NC_conc.csv,post_iqr,11.918379,6.1235166
100_560,conc,100,LL2112_NC_conc.csv,post_iqr,11.924649,5.9764466
100_561,conc,100,LL2112_NC_conc.csv,post_iqr,3.1517513,0.9948124
100_562,conc,100,LL2112_NC_conc.csv,post_iqr,2.4556222,-0.4547276
100_563,conc,100,LL2112_NC_conc.csv,post_iqr,3.7026372,-1.9926863
100_564,conc,100,LL2112_NC_conc.csv,post_iqr,2.8643343,-0.40636545
100_566,conc,100,LL2112_NC_conc.csv,post_iqr,11.523995,5.9164257
100_567,conc,100,LL2112_NC_conc.csv,post_iqr,11.73494,4.532591
100_568,conc,100,LL2112_NC_conc.csv,post_iqr,11.3973055,4.836328
100_569,conc,100,LL2112_NC_conc.csv,post_iqr,3.2649648,1.1666214
100_570,conc,100,LL2112_NC_conc.csv,post_iqr,3.775263,-0.6779064
100_571,conc,100,LL2112_NC_conc.csv,post_iqr,3.0855765,0.22494523
100_572,conc,100,LL2112_NC_conc.csv,post_iqr,11.471072,5.0810614
100_573,conc,100,LL2112_NC_conc.csv,post_iqr,2.480169,0.11565594
100_574,conc,100,LL2112_NC_conc.csv,post_iqr,2.6834424,-2.1240342
100_576,conc,100,LL2112_NC_conc.csv,post_iqr,2.7461264,-1.659394
100_577,conc,100,LL2112_NC_conc.csv,post_iqr,2.1406977,-1.248463
100_578,conc,100,LL2112_NC_conc.csv,post_iqr,11.941187,5.323199
100_579,conc,100,LL2112_NC_conc.csv,post_iqr,1.9970367,-0.65164804
100_580,conc,100,LL2112_NC_conc.csv,post_iqr,12.058335,6.019464
100_581,conc,100,LL2112_NC_conc.csv,post_iqr,2.0144675,0.13157073
100_582,conc,100,LL2112_NC_conc.csv,post_iqr,1.81698,-0.20163023
100_583,conc,100,LL2112_NC_conc.csv,post_iqr,1.8043443,-0.9834194
100_585,conc,100,LL2112_NC_conc.csv,post_iqr,2.4191844,-0.2535894
100_586,conc,100,LL2112_NC_conc.csv,post_iqr,3.832203,-0.1830794
100_587,conc,100,LL2112_NC_conc.csv,post_iqr,10.806765,4.781803
100_588,conc,100,LL2112_NC_conc.csv,post_iqr,9.602532,4.0663404
100_589,conc,100,LL2112_NC_conc.csv,post_iqr,2.9282649,-0.3671174
100_590,conc,100,LL2112_NC_conc.csv,post_iqr,2.6906102,-0.17606825
100_591,conc,100,LL2112_NC_conc.csv,post_iqr,2.609086,-1.2593043
100_593,conc,100,LL2112_NC_conc.csv,post_iqr,1.8152616,-0.269316
100_594,conc,100,LL2112_NC_conc.csv,post_iqr,11.171901,5.072796
